,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.191925759799858,0.0953515377564055,0.111515280032834,0,0.105288431124433,0.0623487161180807,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0247456780737662,0.0163515983580065,0.107300495795325,0.0542984751117234,0.0426017130147212,0.0716005523867426,0.118450465296258,0,0.0426663396010927,0,0.14277503696338,0,0.0868151437596955,0,0,0,0,0
BCH,0,0,0,0.0249994296733421,0,0,0.899885385599106,0.283067217519404,-0.417083495875698,-0.13427283541322,0.213027946420217,0.39415717194985,0,0.370148985652949,-1.013960023159,0,0,0,0,-0.0585675753574736
XRP,0,0.210093383791901,0.0368839676167546,0,0,0,0,0,0.102591516270735,0,0,0,0.0376138208892239,0,0.203991195696849,0,0,0,0,0
LTC,0,0,0,0.0191704080210056,0,0,0,0,0,0.020270824490488,0.770932780695737,0,0,0,0,0,0,0,0,0
DASH,0,0,0.00869202993056461,0,0,0,0.112953248382148,0,0.111012161099578,0,0.123458342588998,0.126954704773514,0.105316215980451,0.132715373778078,0,0,0,0,0,0
XEM,0.0113719640202337,0.0733610104607792,0.0561983090548133,0,0.0849219961804441,0.400022985211962,0,-0.0866704425725293,0.0266944810129986,0.132345577303328,0,-0.104738567201899,0,0,0.413386187226069,0,0,0,0,0.150636862080759
XMR,0,0,0.0845806214854255,0,0.0561836414871743,0,0.0301987500689908,0,0.148041663930111,0.0639910634403173,0.0197623313675877,0.120406670309706,0,0,0.339937179844707,0,0,0,0,0
MIOTA,0,0.20437567250487,0,0,0,0.192256803654211,0,0.162640508514674,0,0,0,0.0893376295772676,0.185693976720378,0.139489920184893,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.296630288275238,0.130447325590292,0,0,0,0.104181835159073,0.0814819103584044,0.387616888737479,0,0,0,0,0,0
ETC,0,0,0.0270048128279997,0,0.595935801071479,0.0752534935390628,0,0.0407960492725816,0.117419707548602,0,0,0,0.0171717256226479,0,0,0,0,0,0,0
ZEC,0,0,0.0298350575150041,0,0,0,0.0739578945746071,0,0.221456084397411,0,0.0226726152327157,0,-0.000000000000000000867361737988404,0.0173696716956476,0.194256419591774,0,0,0,0,0
BAT,0,0.118958011496468,-0.0173755489619287,0,0,0,0.132193199219421,0,0.026320755850919,0.191569775571142,0,0.243416032142977,0,0.0559304391265945,0.278409629909589,0,0,0,0,-0.149485656987471
EOS,0,0,0.0516269544723533,0,0.371131034420236,0,0,0.178553539668664,0.222002183553551,0.155280551943275,0,0.0418571166890291,0.0824146128351313,0,0.113516371357607,0,0,0,0,0
XLM,0,0,0.0419400379812191,0.389795287059204,0,0,0.0643412457867149,0.144405746569924,0,-0.00559376793838402,0.178106186565404,0.0720006575736012,0.123652460614416,0,0,0,0,0,0,0
BV010082.INDEX,-0.00602112588591615,0.0418798772204033,-0.0100542369657008,0.00845545425089358,0,0,0,0,-0.0207209898270522,-0.00634099073897101,0,0.0514946778981054,0.0156395679456723,0,0,0,0,0,0,-0.0814703650231099
CVIX.INDEX,0.0200654998815475,0,0,0.0280587474283835,0.0676027687521879,0.0296599217122905,0,0.0327100717439291,0.0663645013214189,0.0120033246826628,0,-0.135717075866382,0.00794811469477669,-0.107973765593672,0,0,0,0,0,0.0555819761639929
DXY.INDEX,0,0,0,0,0.00354127452047024,-0.00434571255640383,-0.00130432495242623,0,0.00560608488121809,0.00515803415073886,0,0,0,0,-0.0033728640086332,0,0,0,0,0
SPX.INDEX,0,0.000965951080013596,0,0,0,-0.00346794366440909,0,-0.00383182519272163,0,0.00172230104596495,0,0,0.00116687496037592,0,-0.00157132104896091,0,0,0,0,-0.0406582396168182
VIX.INDEX,0,0.261034994275284,0,-0.133165193296255,0,-0.197844944513418,0.116014013341493,0,0.0178374043494657,-0.00815302259033044,-0.0655004154297342,0,0.11712975037257,-0.250620270062578,0.0803231983389341,0,0.830558301836898,0,0,0
