,BTC,ETH,DASH,XMR,XRP,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0501500991709412,0.170088054580029,0,-0.12382372186527,0.213072546235142,0,0.170675729225738,-0.225980311620849,0.576387576027703,0,-0.116112475545707,0,0,0,0,0,-0.134594059474764
ETH,0.221157409563741,0,0.101365291446628,0.467598524502167,0,-0.000000000000000000867361737988404,0,0.0969460869420068,0.00000000000000000173472347597681,0,0,0,0.171261789696144,0,0,0,0,0
DASH,0,0,0,0.0642073099379553,0,-0.119853043213814,0,0.0549413742247748,0.137382578338705,0,0,0.330780440245983,0.0298192480073193,0,0.439927133013558,0,0,0
XMR,0,0.536910370954028,-0.035673279005982,0,0,0,0.0900725839300465,0,0,0,-0.144484957040787,-0.0442800330643878,0,0,0,0,0,-0.0388952915195563
XRP,0,0,0,-0.0576722339659852,0,0,0,0.060244656697271,0.0414744131958292,0.437469843392203,0,-0.0696540742142318,0.02362033960022,0.237844424981439,0,0,0,0
ETC,0.749062670337028,0.0255903428684384,0.017191379352843,0,0,0,0.543577367142265,-0.0411190540950426,0.0706055765770402,0.103364588852081,0.264342305956056,0.0955750671152703,0,0,0,0,0,0
LTC,0.129830310658872,0,0,0.100492963353769,0,0.086194139415277,0,-0.0702349064812667,0.0288804860968838,0,0,0,-0.0131975612217755,0,0.0540497337743149,0,0,0
XEM,0.769308279069826,0.2631318204135,0.124927275338129,0,0,0,0,0,0,-0.0349520578569431,0,0,0,0,0,0,0,-0.439507928887178
ZEC,0,0.238439524758484,0.191212723072851,0,0,-0.0944082965603681,0,-0.127513532527015,0,0.482787016858793,0,0.109507658395573,-0.113897263052926,0,0.0491054316921365,0,0,-0.0320127305300667
DOGE,0.344515608827258,0,-0.0363213808798359,0.0148564136127465,0.134932267693241,0,0,0,0.174721069593659,0,0.155821594861596,0,0.0599793243250033,0.162277796418963,0.0250108657663935,0,0,0
XLM,0.137379084541662,0.150693696613596,-0.12074444019846,0,-0.218181753223567,0,0.80953484497809,0,-0.143899063552432,0,0,0.0321951392537369,0.257956416123368,0,0,0,0,-0.208996502825608
NEO,0,-0.259874278157047,0.0246601345483322,0.0532393108950841,-0.346124824471209,0.347607331487249,0,0.0000000000000000138777878078145,0.138401981230849,0,0,0,0.260077006377386,0,0,0,0,0
DGB,0.284894497916228,0.0909926731199644,0.0465703593942891,-0.0393193175624846,0.0328837263342252,0,0,0,0,0,0.330647905477856,0.0877641877100841,0,0,0.282079882905514,0,0,0
BV010082.INDEX,0.116230518124664,-0.0315795898176224,0.0555248300837475,0,0.0818667754395555,-0.117947997744173,0,0.00761919947210033,-0.0662297306666089,0.0609923937702875,0.127278679777947,-0.0347616592147274,0,0,0.106007871092197,0,0,0.0756056677463669
CVIX.INDEX,0,-0.0142170289367917,-0.0304225773571551,0,0,0,0,-0.0654017984692038,0,0.381631118560352,0,0,-0.0435427495158309,0,0,0,0,0.289416802127192
DXY.INDEX,0,0,-0.0106952846629234,-0.00013626065615235,0,0.0200558964161978,0,-0.0116475592977857,0,0.0130721732100299,0,0.00712283447047814,0,0.138342361303243,0.0309073571363412,0,0,0
SPX.INDEX,0.0303503162330768,0.0123014804830261,0,-0.00192677840660626,-0.0121698588485837,-0.0130039914667028,0,-0.000990186338421501,-0.00439137004075691,0,0.0289717773031999,-0.00450791332074702,-0.00869683535899264,0,0,0,0,-0.0443026329115634
VIX.INDEX,-0.252565638915819,0,0,0,0,-0.0840424801647931,0,-0.0244658317004367,0,0,0.300088241017485,0,0,0,0.460705033773931,0,0,0
