,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0337950423460504,0,0.015135353392297,0.0495080686637219,0,0.0356721872150177,0.26313185644054,0.144522086171279,0,0.0657706032298099,0,0,0,0,0,0,0,0
INNBCL,13.8913600678317,0,16.9917902745498,0,0,0,0,-13.0629867010155,-16.0453375709583,2.15788371432018,4.56623638145598,0,9.7046338586929,2.77101083328704,-19.8893929723923,-1.49816784696296,0,0,8.49000369721656,-0.328109435869851
ETH,0,0,0,0,0.296238581208412,0.072265129634987,0,0.0696245911222585,0.105295238851622,0.260852895970374,0,0.00490779644098648,0,0,0.141618264292015,0,0,0,0,0
XRP,0,-0.000446598908954353,0.174062986741521,0,0.0396995799583385,0,0.174815269910091,0.00000000000000000693889390390723,0.162495436329167,0,0,0.0330439248225133,0.170184911025851,0.0188304668597361,0,0,0,0,0,0.00526528417369358
BCH,0,0,0.396904840291667,0,0,0.276122525925742,0,0.121531263217409,0,0.073890801080516,0.0116574909179374,0,0,0,0,0,0,0,0,0
BSV,0.0403264868077104,-0.00390735619040438,0,0,0.256111585906578,0,0,0.315995179910156,0.104463538429859,0,0,0,0,0,0.316298132021628,0,0.0935435857521929,0,0,-0.0678918583248048
LTC,0,0.00192037114707653,0,0.0602438911000391,0.0311459167843326,0.119333124224044,0,0.318618957956861,0.0719425797084645,0.0369471354815308,0,0,0,0.258499518778609,0,0,0,0,0,-0.0112596530761035
EOS,0,0,0.203782061080694,0,0.468381290355072,0.0955432662113361,0,0,0.101945903278074,0,0,0,0,0,0,0,0,0,0,0
BNB,0,-0.00710625162393068,0.321594370300848,0,0.239876202616399,0.107026878133149,0,0,0,0.1082245517614,0,0.0285388004805171,0,0,0,0,0,0,0,0
XTZ,0,-0.000277061247308908,0.0221340514890287,0,0,0.257440917506695,0,0,0.151200251796492,0,0,0.47879349779642,0,0,0,0,0,0,0,0
TAGZ5,0,-0.000677581653549911,0,0,0.648969292067395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700763038974426
LINK,0,-0.00285383166871907,0.1791441258638,0,-0.00000000000000000693889390390723,0.166209858445281,0,0,0.0785394181142643,0.553158502189637,-0.0106941794801465,0,0,0.0412354183253606,0,0,0,0,0,0
XLM,0,-0.00200060144090132,0.154609600217842,0,0.307045341926382,0.0339758537325064,0,0,0,0.0191928870707913,0,0,0,0.113318725786517,0.111795366165783,0,0,0,0,0
ADA,0,-0.00231841928725305,0.22785499983203,0,0,0,0.39994092459705,0.0520945912412604,0.145350990975671,0.0572475499973208,0,0.0755446293508353,0,0,0,0,0,0,0,0
XMR,0,-0.000116966496735679,0.152781583578107,0,0.110970737611668,0.0946980606860001,0,0,0.214961452961837,0.224585882498453,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00594837368630866,0.14256035618584,0,0,0.299393366138703,0,-0.296715282490642,-0.868962636058456,-0.830543972658806,0.0915459087699456,0.459415753822868,1.18862263043782,0,0,0,0.112229938632869,0,0.121844010578999,0
CVIX.INDEX,0,-0.00420628334839892,0,-0.553126305044162,0,0,0.307976586663215,0,-0.201004359059669,0.408462673953771,-0.175914875009032,0,0,0,0,0.330526764742474,0,0,-0.459379326051247,0.348378709033228
DXY.INDEX,0.0906426131835827,0.000116870946059286,0,-0.078399863968896,0,0,0,0,0,0.00782048262725022,0,-0.0161023811581445,0,0,0,0,-0.0166550736341634,0,-0.0211195847137689,-0.0095875834162609
SPX.INDEX,0,0.0124293348184067,0,0,0,-0.042340221184093,0,0,0,0.0159992904487734,-0.00325243503014925,0,0,0,0,0.150290614733877,0,0,0,-0.308227855871535
VIX.INDEX,0,0.0287279908344008,0,0,0,0,0,0,0,0,0,-0.140015941963271,0,0,0,0,0.0566060143842245,0,-1.82179072891664,0
