,BTC,ETH,XRP,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.112613286202122,0.0772049944382843,-0.0270273623247173,0.136765803308227,0,0.292099121101906,0.0349294882302399,0,0.0516208177908608,-0.135987349494314,-0.117949704718076,0.204778014876586,0,0,0,0,-0.123103448148571
ETH,0,0,0.109159865929506,-0.0403542858828401,-0.112457152300348,-0.146723242218107,0.38288662241547,1.0352208744142,-0.117317219286618,0,-0.2425120867978,0,0.135897964631779,0,-0.502199900442225,0,0,0
XRP,0,0.0124120100134636,0,0,0,0,0.141869677550499,0,0.494123704933158,-0.0826495447075179,0.0920727942863996,0.0853728000351104,-0.480897855325556,0,0,0,0,0
LTC,-0.269010574782328,0,0.0447249423851688,0,0,0.0465479397691144,0.155257884973912,0.276814541109894,0.0194270889086354,0.345932762329387,-0.41992353361954,0,0.0227193642256591,0.566756155906734,0,0,0,0
XEM,0,0.0482396143869408,0.0717508994516703,0,0,0.105057353539616,0,0.142163051379359,0.0376397887226431,-0.260501029363698,0,0.319045167641353,0.359519205096416,0,0,0,0,-0.490417303007145
DASH,-0.198492605975261,0,-0.105683826041127,0.0607920100224203,0.173278730153346,0,0,-0.132317066847477,0,-0.0253462521560994,0.125608889101374,0,0,0,0,0,0,-0.154517799125533
ETC,0,0.328659167033888,-0.0392847196680073,0.223513611788823,0.0262224793489167,0,0,0,-0.0105507946881378,0,0.173668813143917,-0.117807097423675,-0.0415612206244618,0,0,0,0,0.0504241317139487
XMR,0.255194189336912,0.292115858363827,-0.0206972529347514,-0.113407866268737,-0.0654465684184319,0.0191791299276956,0,0,0.107840016200708,-0.0740278018122587,0.22201127355405,0,-0.0332978021577904,0,-0.0876536560265159,0,0,0
XLM,0,0.107619056310041,0.255907127442692,0.315474886772328,-0.0158917327356782,0,0,0.350685379834733,0,0.0282904148851348,0.0553008227490202,0.129041238924521,-0.206865758090156,0.462350291698912,0,0,0,-0.0865284064756873
DOGE,-0.233322286465392,0.100773166296902,0,0.267001402255247,-0.0656391610683571,0.14252025753373,-0.000000000000000000867361737988404,0.0162489075537825,0.260018738888038,0,0.143003453696135,0.10050787896807,0.0608732286579957,0,0,0,0,0.44042462175963
ZEC,-0.127916881845065,0,0.035099979155214,-0.0157784076444629,0,0.176156116305619,0,0.29345692397648,-0.0986697471546354,0.285585035826022,0,0,0.0166480812569443,0,0.239685735100571,0,0,-0.155735523955593
NEO,-0.566236887951092,0,-0.0312134843284201,0.0978280031829615,-0.0539243967199732,0.20014795265393,-0.0218046044529595,0,-0.0167992232554717,0.101495060189119,0.207709706957382,0,0.132465409147825,0,0,0,0,-0.0191544956759891
DGB,0.217149777230177,0.0697694946516318,-0.0245789421102663,0,0.0397828165125631,0,0,0,-0.0445290853924376,0,0,0.191137100888994,0,0,0,0,0,0
BV010082.INDEX,0.0351501253595522,0,0,-0.00266102247277382,0,0,-0.047473390403468,0,0.0125876574893107,0,0,0,0.0261693230975449,0,0,0,0,-0.0324036995189436
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0.0394682113173474,0,0,0.00125417999237954,0,-0.00449511181894457,0,-0.0127638412941683,0.00192993551281969,0.00112760756006933,0,0.0000000000000000000271050543121376,-0.000763942039627045,0.00986630530308845,0,0,0,0.0195272334141004
SPX.INDEX,0.00815482888277293,0.00655916112946914,0.000806332788228827,0.00241452271735128,-0.00127325942625169,0,0,0.00169228977504374,0.00235722613917874,0,-0.00108933214178665,-0.00299132997105485,0,0,0,0,0,-0.0397273211818867
VIX.INDEX,0,-0.184324356880683,-0.0270537631749109,-0.0482263451882285,-0.0835772015646932,0.0427939346510321,0,-0.0494814783533137,0.0534102764170713,0.0977026569205313,-0.103668878123447,0.105238840838314,0,-0.613570869171174,-0.287077227933851,0,0,0
