,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.294885037212754,0.00538523260629449,0,0.0478160316287356,0,0.0454238456521247,0,0,0.0666106051579882,0.0762904298093674,0.00351797660528975,0.0306841130400733,0,0,0,0,0
ETH,0,0,0,0,0.0824104895321571,0.105436251382672,0.0404159648428024,0,0.00458114972924765,0.347097198075,0,0,0.0886925351364092,0.128063436083512,0,0,0,0,0,0
XRP,0,-0.164420409310781,0,0,0.207950931214689,0.208416796861483,0,0.0501501266925833,0,0,0.126485281774363,0,0.126523105161758,0.28414702032101,0.132695515941855,0,0,0,0,0
BCH,0,0,0,0,0.338843186122909,0,0.205862216629331,0,0,0,0,0.132859319516686,0,0.194122827492843,0.0140917790403849,0,0,0,0,0
LTC,0,0,0,0.19061415120778,0,0,0,0,0.127711470851471,0.062118086347745,0.0386837914940702,0,0,0.159513513246448,0,0,0,0,0,0
ADA,0,0,0.0478876283054372,0,0,0,0.0319890448691335,0.054306185439727,0.0176601190676823,0,0.294897536741783,0.20539775285228,0.0972076336568055,0,0.0580842628446762,0,0,0,0,0
NEO,0,0.183125662385804,0,0.161212297973137,0,0.0300852556585653,0,0.092390672176133,0,0,0,0,0.105193621484702,0.245758762927271,0,0,0,0,0,0
XLM,0,0,0.227292816853258,0.193103947697968,0,0.389568271708848,0.134386174563355,0,0,0,0.173049597428604,0,0.0516213798917391,0,-0.196578821295079,0,0,0,0,0
EOS,0.103716846487287,0,0.108018171693862,0,0.0194014601618237,0,0,0,0,0,0,0.404251606176067,0.0385139923266559,0.140246372185189,0.124653749535497,0,0,0,0,-0.017652927681319
DASH,0,0,0,0.0415651577508069,0.0623535013264862,0,0,0,0.147166923610092,0,0.0604382963177049,0.138844581086012,0,0.195356292823029,0.0273463917077641,0,0,0,0,0
MIOTA,0,0,0.126785045150374,0,0.0638998395472937,0.0401791769968832,0,0,0.149538613899773,0,0,0.225610063887278,0.036987060459877,0.130648883483119,0.0420363425100336,0,0,0,0,0
XMR,0,0,0.033872360315019,0.223779591550862,0.0682967398212977,0,0,0,0.0468300532298389,0.0324044228168613,0,0,0,0.205173491681252,0.0480756394284137,0,0,0,0,0
XEM,0,0,0.167226644344894,0,0.102957399180218,0,0.00000000000000000346944695195361,0.114187086230212,0.0477923820956328,0,0.246639815432749,0.0298567282348578,0,0.0660681625467495,0,0,0,0,0,0
ETC,0,0,0.148791962720114,0.167635098301859,0,0,0.0604421860982695,0,0,0,0,0.222770737611333,0,0,0.0761737934134385,0,0,0,0,0
TRX,0.722690723875457,0,0,0.0808633725943155,-0.192398375547405,0,-0.602203942966181,0,0,0.470014960498562,0.25564176938384,0,0,0.329413513419083,0,0,0,0,0,0.0717921111670522
BV010082.INDEX,0,0,0,0,0,-0.0325436331368037,0,0,0,0,0,0.0209774811094501,0,0,0,0,0,0,0,-0.0392211663421791
CVIX.INDEX,0.0232188199077978,0,0,-0.00805257080106375,-0.0227902186865287,0.055945948259837,0,-0.036455815554119,0,0,0,-0.00149462055052535,0.0521894500354303,-0.0704976665177226,-0.0158668971561127,0,0,0,0,0.0498605467685194
DXY.INDEX,0,0.0211249973566153,0.0024948526785148,-0.00492992889404728,-0.00185886495389794,-0.00880125486171913,-0.00738710048873984,0,-0.00636763036121574,0,-0.000418549833957102,0,0.00482829977286088,0,-0.00483172501309599,-0.0868838001518783,-0.00914006308226365,0,0,0
SPX.INDEX,0,0,0,-0.0255459526545119,0,0.00310744963144597,0.0172527484773531,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646335222694588
VIX.INDEX,-0.339632476098029,0,-0.228382340969266,0,-0.00000000000000000693889390390723,-0.0219534985525686,0.300644179669138,0,0.0905753048748874,0,0,0,0,0,0.0508686408375729,-2.72186322029183,0,0,0,0
