,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,XTZ,ADA,TRX,XMR,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.107818432763416,0,0.113025831669654,0,0.147070825743543,0.0256210930408598,0,0.0770690585917584,0,0,0.176956736764227,0,0.000000000000000000867361737988404,0,0,0,0,0
ETH,0.116733135305143,0,0,0.104957615414189,0.0886337656482234,0.117861223441078,0.287241442273135,0.00729431773792603,0.076265721837016,0,0,0.00113448088208826,0.123756113896816,0,0.00789777700863094,0,0,0,0,0.0324681516374143
XRP,0,0,0,0.257656910403217,0,0,0.12959638148251,0.0481779074667681,0.0869649175695433,0.0207429384262502,0.0856496205264781,0.0402936070024009,0,0,-0.0963138597423957,0,0,0,0,0
BCH,0,0.015267907335005,0.140247810650922,0,0,0,0.122245037125335,0.113763076768339,0,0,0,0.242957590334907,0.134926677593546,0,0.103300691577909,0,0,0,0,0
LTC,0,0,0,0.0395914085839559,0,0.573730005549655,0.0767755984080637,0.0667760978344907,0,0,0,0,0,0,0.0484725343104728,0,0,0,0,0
EOS,0.184960186307688,0.230545682970158,-0.0183301004712694,-0.0526343504272901,0.430611983824048,0,0,-0.0164194140733258,0,0,0.0476673492718471,0.257116052220308,0,0,0.0696166047517742,0,0,0,0,0
BNB,0.0302476283607725,0.439086553566768,0,0.208027479978881,-0.0000000000000000000542101086242752,0,0,0.0160957162212082,0,0.0687426473415495,0,0.0456190762223623,0.0407259036667347,0,0.0292796363384496,0,0,0,0,0
BSV,0,0,0,0.444769539018975,0,0,0.0708608606023592,0,0.211994817174857,0.0731021642332531,0.0158303774268137,0.0766655516501357,0,0,0.0392880478080761,0,0,0,0,-0.0945319056533561
XLM,0,0,0.135282639870271,0,0,0.176648935852473,0,0.111249490126692,0,-0.0570144809367451,0.0447059364645325,0.0141108757135908,0,0,0.18357776512294,-0.0417205188976245,0,0,0,0
XTZ,0.295640374643096,0,0.565946868882642,0,0,0,-0.0000000000000000138777878078145,0.127343421211344,0,0,0.177899227516802,-0.142952113995344,-0.0127568470293921,0.232817498786615,0,0,-0.114610194477546,0,0,0.0483129502714404
ADA,0,0,0.062116760457809,0.0182723487521712,0,0.437216165959007,0.066576579348582,0,0,0.00598950927424215,0,0,0,0,0.129857174854909,0,0,0,0,0
TRX,0,0,0.0923475372820955,0.164666077660216,0,0.230455143736769,0,0,0.0771145696403935,0,0.0598767771260289,0,0.205822134659097,0,0.160239479438294,0,0,0,0,0
XMR,0,0,0,0.0693580844534301,0,0.171905122407157,0.24453306360647,0,0.00944156765389856,0.111563666935602,0,0.104744055900761,0,0,0,0,0,0,0,0
LEO,0.304066909194917,0,0,0,0,0,0,0,0,0.0986829514848555,0,-0.143727787969059,0,0,-0.0551629106095156,-0.0373973646707658,0,0,0,0.0761673932092239
ATOM,0,0,0,0,0,0.395838079446039,0.079718081682915,0,0.452111580854481,0,0.32314231140779,0,-0.319972532563992,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.248139129937268,0,0,0,0,-0.0794861737886165,0,-0.11687248637535,0,-0.146150971613066,-0.306338021470962,0.0307723852002172,0,-0.358656664400861,0,0,-0.0765750362591957
CVIX.INDEX,0,0,0,0.0920284179136951,0,0,-0.0552227173688217,0,0.0233051549305281,0.00849954041581071,0,0,-0.0999298290380217,0,0.134571234426507,-0.512691202185115,0,0,0,-0.029560060435012
DXY.INDEX,0,0.0650965811950066,-0.00620527367438686,0.0174262377414357,0,-0.0340849941964893,-0.0449795515855874,0,0.00904664860649181,0.0113246563606472,0,0,0.0103973946642136,0,0.0100902013499482,0,0,0,0,-0.00413256793008715
SPX.INDEX,0,0,0,0,0,0.0310108530243926,-0.0395845471236856,-0.0121392896743937,0,0,0.0294267133939224,-0.00254744379101949,0,0,0,0.0320202599739844,0,0,0,-0.0776441294919635
VIX.INDEX,-0.0736863680859028,0,-0.018151783192736,0,0,0,-0.174800797198741,-0.0294367170660891,0.101492677220389,0.0583563554828354,0,0.391796308060078,-0.615598984817406,-0.872593568559786,0,-0.993889951391313,-0.495468057847729,0,0,0
