,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0317945819726394,0,0.194011116477706,0,0,0,0,0.0958085986055377,0.0833692714832189,0,0,0.0888422189564038,0.021947118422562,0,0,0,0,0,0
ETH,0,0,0.103709350667203,0.249579691304995,0,0.28418059077181,0.0649174576432372,0,0.0421362687112942,0,0,0,0.00214810133654629,0.0508426381025099,0,0,0,0,0,0
XRP,0,0.0583221423107462,0,-0.00000000000000000173472347597681,0.118837755347345,0.142980810307207,0,0.0864686550774789,0.00000000000000000346944695195361,0.200318019079072,0,0,0,0.0357192430710461,0.0740501504031555,0,0,0,0,0
BCH,0.0495516062719921,0.404751506212882,0.039000520114606,0,0.0231043092196112,0.148883280123244,0,0.158035746973479,0.00000000000000000346944695195361,0.0964975641696301,0,0.0251636931825762,0.0786855096698996,0,0,0,0,0,0,0
EOS,0,0,0.286795116482296,0,0,0,0,-0.0831483729549866,0,0,0.102980357831675,0,0.0333993007672741,0,0.263932752996997,0,0,0,0,0
LTC,0,0.150082728679944,0.0249669313547801,0.266740474240276,0,0,0.0659453762358007,0,0.17286693011142,0.0626105604194669,0,0,0,0.0762755116405231,0,0,0,0,0,0
ADA,0,0.038710153199946,0.348602399718879,0,0.121080914310613,0,0,0.0248126459021872,0,0.148162864463818,0.146493835388573,0,0,0.104249158444282,0,0,0,0,0,0
XLM,0,0,0,0.134120753992266,0,0,0.151690101022675,0,0.254861562504312,0,0,0.203276741276057,0.0305654308875712,0.218391230796239,0,0,0,0,0,-0.0365652857932343
MIOTA,0.069604070725108,0.0722807902653246,0.226064934675051,0.17560429586972,0,0,0.0679826351265729,0,0,0.184082920069227,0.0783406192374191,0.0404328824781784,0.0907518377902932,0.0953236261712343,0,0,0,0,0,0
NEO,0,0.314050109877668,0,0,0,0,0.0537125441362926,0.104026476878704,0.0724673603945814,0,0.13732144387474,0,0,0,0.200654659296711,0,0,0,0,0
XMR,0.262097022492491,0,0,0,0,0.219346179935094,0,0.0940109491399543,0.168218490464312,0.202967697512325,0,0,0,-0.050229454006265,0,0,0,0,0,0.115238971568157
DASH,0.17666120733127,0.0768331059084353,0,0.0419272978827206,0,0,0.0830968270833121,0,0.106125643371575,0.154881245760864,0,0,0.0726109755039852,0.0614917714951582,0,0,0,0,0,0.0580046960074276
TRX,0,0,0,0.323076481156705,0,0,0,-0.233844610144812,0.314062229249519,0,0,0.418334689407071,0,0,0.0284078502078198,0,0,0,0,0.054145697981956
XEM,0,0.159200023440871,0,0,-0.0687659874121837,0,0.288408188127842,0,0,0.432841345757922,0,0,0.135045110305382,0,0,0,0,0,0,0
ETC,0,0,0.123090762781162,0.014714369828762,0.197011010888473,0,0,0.0743439691572926,0.267690951120287,0,0,0,0.0955997342678763,0.11637435622764,0,0,0,0,0,-0.0258699445678095
BV010082.INDEX,0,0,0,0,0.0264545150983917,0,0,0.0122884186232718,0,0,0,0.104723066286024,-0.0420537850227429,0,-0.0130190189102341,0,0,0,0,-0.0643556953611201
CVIX.INDEX,0,-0.101688872257041,0.0281591692106552,-0.0980085061761659,-0.0816434905300402,0,0.103149402008344,0.142483339990646,0,-0.0527894829231318,-0.0982122575817702,0.28722782291912,0.0538275362188718,-0.249134777625379,0,0,0,0,0,-0.00935944839107137
DXY.INDEX,0,0.00243724249709439,0.00888385736951907,0,-0.00326671323214756,0,0,-0.0369838903984217,0,0,-0.00411977394896043,0.0468161247511202,-0.0107375447574582,0,0.00402063413206347,0,0,0,0,-0.00218269026559463
SPX.INDEX,0,0,0,0,0.0145867556534024,0,0,-0.0308306573707498,0,0,0,0,-0.0322164986194536,0,0.023224699750643,0,0,0,0,-0.101284654835771
VIX.INDEX,0,-0.165103226933091,0,0,0.039432164679218,-0.0132840097407024,0,-0.201786692160017,-0.107780899244265,0.113745837652223,0,0.218643930055382,0.141839847125864,0.00797945715300045,-0.00000000000000000173472347597681,0,0,0,-4.27841382619925,0
