,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.250762554318394,0,-0.0306320218158096,0.249570427774635,0.137382875950672,0.0397705908971018,0.306795574015237,-0.335268266889419,0,0.195749917699668,0,0.107352196005089,0.129210695782896,0,0,0,-0.10923046984259
ETH,0,0,0,-0.0401003513814431,0.228622692254126,0,0,0.72493689066287,-0.183255278997134,0,0.138822413788485,0,0,0,0,0,0,0
XRP,0,0.0745865146708309,0,-0.0285790923361657,0,-0.184158796904885,0,0,0,0,0.863164341044288,0.116041002232748,-0.324589908547548,0,0,0,0,0
LTC,0,0,-0.0193188683890977,0,0.0770376521764406,0,0,0,0,0.351089839346715,0.113686400979444,0,0.115691633248464,0.666871666619507,-0.000000000000000000216840434497101,0,0,-0.0186452402187792
ETC,0,0.32965217201716,-0.0246937107682542,0.157400471772914,0,0,0.0787697997315031,0,0.15580026059356,0.047684326129042,-0.0644172355582824,-0.143471026056063,0,-0.22668680325055,0,0,0,0.167820116794959
DASH,-0.292637113390679,0.0355604366670357,0,0.0445104030529585,0.114289816484881,0,0.0966709629800971,0,0.095798291883316,-0.188816072508119,-0.0680259186743953,0.0197567001457277,0.0848972774170907,0.302805697674709,0.520530456491743,0,0,-0.0359154261669063
XEM,0,0.0898451951128341,0.0896344079192904,0,0,0.095964922881002,0,0.0998943019659471,0,-0.230533166973455,0,0.283851527617476,0.368070070219931,0,0,0,0,-0.497067602420808
XMR,0.411792124262732,0.318630124793036,0.022638451316253,-0.0721071573078869,-0.039010506625307,0,0,0,0.256865668965768,-0.0477444984186765,-0.0597644762344937,0,0,0,0,0,0,0
ZEC,-0.163645505123521,0,0,-0.0511527207094829,0,0.229789845164095,-0.0769287365650637,0.295922254727618,0,0.277698428242813,0.00244225144509571,0.0833218211514541,0,0,0.23225527835709,0,0,-0.139467109923154
DOGE,-0.104724476201219,0.0642646337776259,0,0.260020829062469,0,0.161370141044593,-0.120659678720975,0.0719396291210978,0.049923576225851,0,0.25189452549948,0.14386911072507,0.032004559300722,0,0,0,0,0.363739722649163
XLM,0.242157465880505,0,0.35384173908338,0.14887751112003,0.0837065493960426,0,0.000000000000000000867361737988404,0,0.107887818540568,0.262136517601239,0,0.0819719952088081,0.0582599978679952,0,0,0,0,-0.101296713445274
NEO,0,0,-0.0185688998244957,0,-0.173518187738231,0.162792129270954,0,0,0.182168056831539,0.234957898853976,0,0,0.0276929498738832,0,0,0,0,0
DGB,0.244496197781407,0.0428045534076542,-0.0687894763957099,-0.0945203934231042,0,0.0443095553803867,0.0615885934699985,0,0,-0.0698141032762203,0.200887795332753,0.109497494306326,0,0,0,0,0,0
BV010082.INDEX,0.0632887552561764,-0.00296455766414588,0.0000000000000000000135525271560688,0,-0.0547028689673578,0,0,0,0,0,0,-0.00527717522518201,0.0242775681598424,0,0,0,0,-0.0589354192418328
CVIX.INDEX,0.153183171928584,0,0,0.0847455831043731,0,0,-0.219484133386812,0,0.0644344859837515,0.0285717173579369,0,0.0663077765220821,0.135505477779358,0,0,0,0,0.0278374065713088
DXY.INDEX,0.028672917287271,0.00225337742772121,0,0.00255631545589284,0.00816163724628206,-0.00617103327430308,-0.0119274176223213,0.00548335390210441,0,-0.00397438954528634,0.00566681754739688,0,-0.00452265069471699,0.109391959744486,0,0,0,0.0296830351580992
SPX.INDEX,0,0.00915115201642586,0,0.00476060446445245,-0.00107231689386591,-0.00719009947855388,-0.00270908038984556,0.0135177716868886,-0.0150449607022009,0,0.00251625453879734,0,-0.000000000000000000433680868994202,0,0,0,0,-0.0403314714632972
VIX.INDEX,-0.132700741532438,-0.144783899303535,0.0717310370464173,-0.0912027787620078,0.00332253106747126,0.0729799640709839,-0.248672886715715,0,-0.227808440103216,0.101424668770908,-0.181082125468754,0.147572027271269,0.157761129661117,-0.779376315836596,0,0,-1.34124575653354,0
