,BTC,ETH,LTC,XRP,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0211574938179244,0.471020675957805,0.00000000000000000346944695195361,0.121962505996998,0.048147307797056,0.232405692778593,0.0157022046256899,-0.166459763249406,0,-0.0622895685218583,0.186255596272949,0,0,-0.0858842425638114
ETH,0,0,0,0,1.9109375845595,-0.372619582846541,0.8704806051211,-0.798879676864142,-0.542395828462417,0.247294200787398,0,0.345733461391017,0,0,0.612357161624646
LTC,0.702932623712693,-0.00925880808488685,0,0.232652609671972,-0.255033940152039,0.0145225424085461,-0.12621482900715,0.0165559548015487,0,0,0,0,0,0,0
XRP,0.0169649650749582,-0.0242426688431691,0,0,-0.0388096693781166,0.0450348502724222,0.143691671473742,-0.0529957718938853,0.192599635912179,-0.154397367512949,0,0.327187611721989,0,0,0
DASH,0,0.0119370687694118,0.165744461193794,0,0,-0.0184453888345179,0,0,0,0.143533096431293,-0.365782151928432,0,0,0,0.122833168547583
XEM,0.719513997999341,-0.100618387894629,0,0.400249986341208,0.447385809361673,0,0,0.1527868520152,-0.135003710183299,0.203178408447968,-0.0620602533968748,0.299651111909038,0,-2.19409450159606,0.024836813958799
DOGE,0.379971309688404,0,0.0178577697553253,0.169743471336532,0,0.00557031466145085,0,-0.0645675012812821,0.433569010562446,0.0857841253699658,-0.0328997152762312,-0.276733019104604,0,0,0
XMR,0.481057985392118,0.262041051785302,0.156306463938562,0,0.291930618777532,-0.104761081984427,0.293925090575267,0,0,-0.0403691403161798,-0.71754118839415,0.380466770992022,0,0,-0.184461766694874
XLM,-0.361710777436005,0.0297024977164499,0.180839853128982,0.344878500091355,0,0.00733627606510718,0,0.076762024136313,0,0,-0.138963294495398,0.260887245190698,0,0,-0.106163282535332
DGB,-0.722406217884681,0.335305469217176,0.590847888612694,0,0,0.278116398538426,-0.247092998194001,0.430576149268418,-0.338935644128418,0,-0.42723588124747,0,0,0,0.0365120438102341
BV010082.INDEX,-0.193378712803523,0.0924562839436659,0.0654201902586139,0.132225645177414,-0.177158168208491,-0.0193547042246831,0,-0.061240416410553,0.0600686582260563,-0.0125954421110771,0,0.207934757312026,0,0,-0.181406779143699
CVIX.INDEX,0,-0.0229459708938191,-0.0975540449375509,0.180797290445187,0,0.0149488759084044,-0.177824280805795,0,0.177054769679275,0.00588099364944776,0,0,0,0,0
DXY.INDEX,0,0.00566318217781802,0.0588015728736529,0.0216071935790661,0.0130821524992821,0.0089446077406512,0,0.015249529289546,0,0.0148663364430578,0.153315442530654,0,0,0,-0.00395070738590763
SPX.INDEX,0,-0.00571724563128698,-0.00538257971605697,0,0,0.00458072452994634,0.000636922179760705,-0.0180860756047666,0,0,0.00527378128649603,0,0,0,-0.0842201414410906
VIX.INDEX,-0.112420683470916,0.0456323551735592,-0.363377780171158,0.113349054104101,0,0.00754555546693218,0.309745055841423,-0.139207929372801,0,-0.139894522014926,-0.278927751152884,0.628546981631993,0,-3.35384598865471,0
