,BTC,ETH,BCH,XRP,LTC,MIOTA,ADA,DASH,XEM,EOS,BTG,XMR,XLM,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.73486854927989,-0.137681314745954,-0.069621660416765,-0.0680097327542611,0,-0.0104469396565624,0,-0.00339522779829693,0.125096876729484,0.0214551082981265,0,0.114168489993523,0.129484033887655,0.159840536510983,0,0,0,0,0
ETH,-0.156529017400808,0,-0.0464054367467152,0,0.163895912264789,0,-0.0163934372876985,0,0.0246839437525755,0.079664247772338,0.0433356219502384,0.0997163487645946,0,0.145716394832835,0.0551180043627552,0,0,0,0,0.124441433890248
BCH,0,0,0,0.119153376017573,0,0,-0.0163418049323558,0,0,0,0.100249862440576,0,0.0525303467447629,0.211841523228366,0,0,0,0,0,0
XRP,0,0.286232983402781,0.196393428353376,0,0.0518193342719919,-0.0571135420338227,0.0458624505953743,-0.200914697269589,0.125930897400894,0.0416972727447916,-0.0626319040847808,0.145604467138234,0,-0.0331318458726292,0.141972897039735,0,0,0,0,-0.0410870063805964
LTC,0,0,-0.119448726305015,-0.0556857327319759,0,0.00488977495458312,-0.000000000000000000216840434497101,0,0,0,-0.0311037154272255,0,0,0.0178551659058443,0.269559451273333,0,0,0,0,0
MIOTA,0,-0.16971826886925,0,-0.249944226712207,0.0759520507777652,0,-0.0909454470996988,0,0.100728862456087,-0.0138413927947507,-0.130851662765369,0.496928936031583,0.194752671785441,0,0.24441733786665,0,0,0,0,0.294627199492983
ADA,0,0,-0.111354934889695,0.360973369358919,0,0.0597298266310032,0,0,0.08543096768513,-0.0759227389435306,0,0,0.0478517206675517,0.134335497447782,0.327378286648842,0,0,0,0,0
DASH,-0.16188297163353,0,0,-0.0971894163353563,0.105930749283058,0.024946071990357,0.0416399950130812,0,0.0247832551368329,0,0.0777318516137011,0.125430503916113,-0.0638254533174097,0.0696825843067591,0,0,0,0,0,-0.11179119051189
XEM,-0.192418839867335,0.305639160034523,0,0,0,0.168846189742545,0.112605341002924,0.0537755297006901,0,0.0651265838974878,-0.0197992737270029,0,0.0451110920338711,0.135913975146391,0,0,0,0,0,0
EOS,0,0.394309512081741,0,0.249482913499866,0.0615741755831553,-0.0992390946634351,-0.0352216302285669,0,0.0832435898162451,0,-0.0584562907474512,0,0.10043723263764,0,0,0,0,0,0,0
BTG,0.365212494772225,0,0.972516497899653,0,0.684646269830512,0,0.0014739298725262,-0.38690685306921,0.0147193590236485,-0.690251480732272,0,0,-0.00000000000000000693889390390723,0,0.286758706916479,0,0,0,0,-0.194656635403431
XMR,0.0861707929325077,0,-0.0480499728406478,0.0213351580888319,0,0.0842541780691128,0.0958254920117825,0,-0.00291543935083669,0,0,0,0.0851368793907323,0.236103919366946,0,0,0,0,0,0
XLM,0,0,0,0.183316558093448,0,0.14031328099504,0.270797291905432,0,0,0.0187697747919571,-0.0443857638997266,0.170168971244321,0,0.0979534334137016,0.179345687437062,0,0,0,0,0
NEO,0,0.341474765748079,0,0,0.175701704233179,-0.18470882305594,0,0,0.0000918672494500811,0.0764341712011972,-0.0930668325673374,0.172075752095142,0,0,0.169760906828842,0,0,0,0,0
ETC,0,0.260363773645905,0.0629662264227199,0,0.107165029794857,0.0748319575078787,0.222877186725543,-0.335881484336809,0.0527856221000105,0.017561857348701,0.0130317852942942,0,0,0.0055289406056165,0,0,0,0,0,0
BV010082.INDEX,-0.0331053031954869,0,-0.0510902563999276,-0.0137077262482176,0.01499144299165,0.00548347789549216,-0.0111075158161649,0,0.00486577081071343,0.0153130942592168,0,0,0.0210685097850681,0,0,0,0,0,0,-0.0147327726712236
CVIX.INDEX,0,0,0,0.00000000000000000010842021724855,-0.00927158310126945,0.0162784481999292,0.00676343887402267,0.0433115024587192,0.0302924138234312,0,0,0,0.0000950787410621569,0,0,0,0,0,0,0.0861682312116574
DXY.INDEX,-0.0166109078454742,0,-0.00657656868255006,-0.00907141220952826,0,0,0.00327567028976816,-0.00738103909611883,0.00354255751023502,0.000337840068940149,-0.00403940063974527,0,0.00440646693766014,0.0000000000000000000033881317890172,0,0,-0.0644269429977766,0,0,-0.0160061840611274
SPX.INDEX,-0.0089516761131771,0.00987669735969206,0.0001442233443002,0,0,0,0.00250607994238713,0,0.000976879303383339,0,0.000904223281487197,0,0,0.00140383120147392,0,0,0,0,0,-0.0251843114728288
VIX.INDEX,-0.00795225334600972,0,-0.101104933504368,0.213381925131096,-0.112894446572763,0.156391072676137,-0.0521724701658898,0,-0.0748503917543231,0.110768815401894,-0.0218310628954925,-0.157465439511939,-0.0740434746968012,-0.0643218245869515,0.102274111655347,-0.630640695750755,0.484613534340172,0,0,0
