,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,NEO,MIOTA,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.083186604832114,0,0.0493583397220329,0.0470451382648204,0,0.0922485931492068,0.0366944040955505,0.0502487022740216,0.0257485756878975,0.220625725248638,0,0,0.0398123351299726,0,0,0,0,0,0.0261365897961387
ETH,0.105877554015827,0,0.164128559583984,0.124915784940963,0,0,0.403659807491662,0,0,0,0.0201190551535918,0.0239211896300351,0,0.0445041801214812,0,0,0,0,0,0
XRP,0,0.244829954429106,0,0,0,0,0,0.111009991713364,0,0,0,0.173555164343626,0,0.0404570251815645,0.194060499208342,0,0,0,0,-0.0263337321508651
BCH,0,0.317852406459693,0,0,0.00990204561466077,0,0,0,0.00367207302112041,0,0.0732806057928409,0.172208904948151,0.2985832582954,0,0,0,0,0,0,0
EOS,0,0,0.0548506105628308,0.317256288140646,0,0.0000000000000000138777878078145,0,0,0,0,0,0.175708899603091,0,0,0.147266355165443,0,0,0,0,-0.158502364815236
ADA,0,0.0956994342407625,0.0591098037400777,0,0.00000000000000000173472347597681,0,0,0,0,0.333017457850869,0.0535107644223865,0.114254829776366,0,0.273845778941216,0,0,0,0,0,-0.0289846056703272
LTC,0,0.240799334058032,0,0.178817108585651,0,0,0,0.198433078356514,0,0.0519950714495281,0.0811199780890043,0,0,0,0,0,0,0,0,0
XLM,0,0,0.0994756073077409,0.0735473086802069,0,0.21273112130998,0,0,0.038932316150727,0.106206017965444,0.207146422111486,0.0350617825983711,0,0.161170963920123,0,0,0,0,0,-0.0504009568348353
TRX,0,0,0,0.329778261523508,0,0,0,0,0,0,0.334855340334302,-0.11101277126916,0,0.0981452798204085,0.0489779856367138,0,0,0,0,0.0841342754226197
NEO,0,0.159145815872628,0,0,0.0645585710418116,0.0412636695441993,0.0717131866788061,0.149271115232427,0.0140628200527131,0,0.125473322951144,0.124753256105613,0,0.015371510868963,0.161108134483878,0,0,0,0,0.074118042209719
MIOTA,0,0,0,0.370104283827027,0,0.0993828583796947,0,0,0,0.144514990511123,0,0.126539815498725,0,0.0509113080433916,0.151459318051664,0,0,0,0,0
XMR,0,0.426545618084052,0.230454440441634,0.0644815168126076,0,0,0.034844919711235,0,0.0653382983540203,0,0.0841527844284571,0,0.0638838513794827,-0.0475377108792678,0,0,0,0,0,0
DASH,0.217758770020089,0.325276507413758,0,0.128630804868278,0,0.0715779244240368,0,0,0.0797800715045545,0.0286929806195338,0.0704593557362706,0.0106495167945596,0,0.0251922918502096,0,0,0,0,0,0.0391992324954263
XEM,0,0.456078006635473,-0.137734259363684,-0.211272554592147,-0.152366228375872,0.28063026619798,0,0.2247363833765,0.214038393339488,0.258080674424348,-0.170959124131459,0,0,0,0.243440568892168,0,0,0,0,-0.00651398595371102
ETC,0,0,0.115084363887247,0,0.178554998355259,0.0827232730583829,0,0,0.0830664891102181,0.0176307238899515,0.272843182359894,0,0,0.106511151545766,0,0,0,0,0,-0.0483348353720489
BV010082.INDEX,0,0,0,0,0.00832011410319884,0,0,0.0384178806214297,-0.0292549022313167,0,0,-0.0940886348881114,0.118931799657123,-0.0519883524819458,0,0,0,0,0,-0.0403175635869741
CVIX.INDEX,-0.138415978578498,0,0,-0.0198152870529675,-0.0500112076433498,-0.0330294665802858,0,0.0690962454815826,0.0000185277951455128,-0.0693218335680055,0,-0.105678953816255,0.246839138005378,-0.222065576942415,0.200434224059022,0,0,0,0,0
DXY.INDEX,0,0.00364732119076545,0.0113300235245455,0,-0.00401753916562667,0.00245288433152935,0.0170851694696081,-0.0341198096860959,-0.00628919389799942,0,0,-0.00958714214743741,0.0314523725700592,0,0,0,0,0,0,-0.00535994871855881
SPX.INDEX,0,0,0,0,0,-0.000542622148330131,0,0,-0.0174225271711239,0,0,0,0,0,0,0,0,0,0,-0.106692745118807
VIX.INDEX,0,0,0,0.0295957522520489,0,0,-0.0766320390853541,-0.205900731875088,0.150467492597505,0,0,0,0.188918826599509,0,0,0,0,0,-3.99147948367245,0
