,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,XTZ,ETC,TRX,XLM,XMR,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.174847835535369,0.000000000000000000433680868994202,0.0289967551295857,0.145213093648727,0,0.00741811201613297,0.0223974164751063,0,0.0583080209460525,0,0,0,0,0,0,0,0.00488823041522154
ETH,0,0,0.261820464762035,0,0,0.234559467245702,0.0828117833492471,0.136091409624752,0.0949194268238132,0.0169311373903077,0,0.0246623086620076,0,0,0.0156358705573469,0,0,0,0,0
XRP,0,0.389104937476109,0,0.0978999097886625,0.0108224263817422,0.0366773746421324,0,0,0,0,0,0.0805827597157307,0,0.0141591643549027,0.0183150706339672,0,0,0,0,0.0324413505208545
BCH,0,0,0,0,0.243667600755509,0.239958172936074,0,0,0,0,0.0338741320505177,0,0.185923502439343,0.0805420564436851,0.0122485990138355,0,0,0,0,0
BSV,0,0,0.814485515734297,1.07977885065224,0,0,0.767819153410678,0,0,0,-0.0547504523220608,0.0245692726435612,-1.72647313685293,-0.433544901679181,-0.128062197298401,0,0.736573275055762,0,0,-0.221194370219287
LTC,0,0,0,0.282231007704525,0.0162033310920788,0,0.24290052062444,0.156334701837839,0.0444178416607093,0,0.0458663674040653,0,0,0.104863554388787,0,0,0,0,0,0
EOS,0,0.514339209746321,0,0.0305498583934085,0.0539571976309532,0.128951989815249,0,0,0.0727891025288949,0,0.0504464306099069,0.0699178378436784,0,0,0.0155548627963336,0,0,0,0,0
BNB,0,0,0.267662254547275,0.0272226605124569,0,0.10296721884538,0,0,0.235119538123359,0.00401206296609563,0,-0.00000000000000000173472347597681,0,0,0.105566546578961,0,0,0,0,-0.00583624798389957
ADA,0,0.202786894598189,0.0652828137253562,0,-0.012196048061677,0,0.13564174569218,0,0,0,0.0902041756589021,0.384338437137739,0,0.12919023056164,0,0,0,0,0,-0.035889343475257
XTZ,0,0,0,0.0132737101919436,0,0.192160078169845,0,0,0,0,0,0,0.292461463115505,0,0.0936590633368341,0,0,0,0,-0.0110818365096656
ETC,-0.0772093985272051,0,-0.348547204232875,0.411542596238014,0,0,0,0,0,0.147905463057479,0,0.059004135959385,0,0.217189743292196,0.449038755421086,0,0,0,0,0.0564179220378188
TRX,0,0,0.266756799007374,0.140204573468704,0.00186229179492518,0.100756310466617,0,0,0.220777299971967,0,0.0274288134526821,0,0,0,0.114280400296482,0,0,0,0,0
XLM,0.378659621524638,0,0.276802115926181,0.131413478096355,-0.0779181422413006,-0.0579921576047329,0,0,0,0.0247247764061405,0,0.103488607103809,0,0,0.106620287532125,0,0,0,0,-0.0342889724380727
XMR,0,0.198863197853462,0.115075158213061,0.108494225148836,-0.0834916844559869,0,0,0,0.224276639490899,0.0391171631091718,0,0,0,0,0.153432397806846,0,0,0,0,0
DASH,0,0,0,0,0.228687805478595,0,0.161341823310519,0.306699649064653,0,0.0769125405396982,0.0726179840797848,0,0,0,0,0,0,0,0,0.137086577439017
BV010082.INDEX,0,0,0.0878389242987186,0,0.0262498201029581,-0.382570111080121,0.0383751764070051,0,0,-0.0350862633616997,0.00985181243508785,0.146713122504935,0.102478496888793,-0.0142402495708816,0,0,0.0260636929456441,0,0,-0.0893933778855307
CVIX.INDEX,0,0,0,-0.0803360171377255,0,-0.187014352989447,0,0,0.224039361860475,-0.0293070858669161,-0.0747117503920365,-0.00789702208689616,0.0144239190548494,0.298295721205631,-0.0350172411571325,0.634259943675271,0,0,0,0.17232674914951
DXY.INDEX,0,0,0,0,0.00153728788593642,-0.00904327241578432,0,0,-0.00200783838410544,-0.00512185178601992,0,0,0.027070514718977,0,-0.00239933275135775,0.0550995539542807,-0.0229020487284268,0,0,0.00726597288197494
SPX.INDEX,0,0,0,0.00643351814501935,0.00384214713487801,0,0,0.00651296105578235,0,-0.024726999074369,0,0,0.0142659132089508,0,0,0.132868170022143,0.0163171828302842,0,0,-0.0540965190761793
VIX.INDEX,0,0,0,-0.125882914997853,0,0,0.135137141266142,0,0,0.0596872410079031,0.159366878885218,0.332470669506563,0,-0.325002289523684,0,0.00000000000000000693889390390723,0.395170154665315,0,-7.83200446318907,0
