,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.180627974885039,0,0.0991189822737829,0,0,0.045754760875982,0.0937751902277352,0.0579872647041768,0,0.0946740637587624,0,0.0397117226446471,0,0,0,0,0
ETH,0,0,0.145099879801674,0.0692255370121938,0.159750423526435,0,0,0,0.0915222205874124,0,0.223949855335038,0.0206233279290348,0.035899628853274,-0.000000000000000000216840434497101,0.0191076121628295,0,0,0,0,0
XRP,0,0,0,0,0,0.160348999512478,0.190373645472763,0,0,0,0,0.043486770791884,0.0408654918457731,0.172756029482515,0.0812526185826646,0,0,0,0,0
BCH,0,0,0,0,0.133282574052756,0.0431097125082093,0,0,0.153405131768354,0.109296628393542,0.362895262222211,0,0.022165850012744,0,0,0,0,0,0,-0.00734222203161538
LTC,0,0,0.0457014267739225,0.169072719278165,0,0.0554683627416456,0.0584173864062551,0,0,0.0151492529014702,0,0,0.0102692336959781,0.0155817617574918,0.199077221116392,0,0,0,0,0
EOS,0,0,0.105959418229854,0,0,0,0.0528644054153387,0,0.0666147918043779,0.0752802641994723,0,0.034219886445989,0,0.112250115269208,0.358416503458095,0,0,0,0,0
ADA,0,0,0,0,0,0.475241967878349,0,0,0.11455218281347,0,0,0.0995322521915107,0,0.178055347505923,0,0,0,0,0,0
XLM,0,0,0,0.0175634871992873,0,0,0.187588779066277,0,0,0,0.0375990188258617,0,0.270238214373297,0,0.288911513804379,0,0,0,0,0
NEO,0,0,0,0.12466295195591,0,0,0.166644056676577,0,0,0.0229628330545556,0,0.177757870462722,0.0138699538097968,-0.00000000000000000173472347597681,0.274297532481261,0,0,0,0,0
MIOTA,0,0,0.00573095967565783,0.273962578637756,0.143660097981566,0.0433424514747188,-0.000000000000000000867361737988404,0,0.00175957213190302,0,0,0.228219991565235,0,0.188182856095691,0,0,0,0,0,0
DASH,0,0.296702408711986,0,0.0721548887490579,0,0,0.107503002731085,0,0.0990972719565383,0,0,0.139796824303649,0.101587713708023,0,0,0,0,0,0,0
XMR,0.480303670260336,0,0,0.00000000000000000693889390390723,0.157668962016946,0.0302611190086153,0,0.0212262736919507,0.16418485534708,0.0898418525498313,0,0,0,-0.022862249300358,0.00000000000000000693889390390723,0,0,0,0,0
TRX,0,0,0,0.0150131754524161,0,0.323757975630065,0,0,0.228532328492332,0,0,0,0,0.177932490054929,0.0383571876930638,0,0,0,0,0
XEM,0,0,0,0,0.246089128383357,-0.0914212250226147,0.371282525729732,0.241947859166845,0,-0.103959504011972,0,0,0.325542705990946,0,0,0,0,0,0,0
ETC,0,0,0,0.340065957736711,0,0.116919740829813,0,0,0.161061546561314,0,0,0,-0.00000000000000000346944695195361,0.139243886150467,0,0,0,0,0,0
BV010082.INDEX,0,-0.108417310691465,0,0.0518958692615716,0,0,0,0,0,0.00403465567376812,0.168991417273948,0,-0.117302083096544,0,0,0,0,0,0,-0.0308522610955958
CVIX.INDEX,0,-0.0901319992602237,0,-0.0251606458522381,0.0262474563993959,-0.0158850641846022,0.132513082394645,0.0545687315363855,0,0,0,0,0,-0.1124095952045,-0.0103398629224641,0,0,0,0,0.0878653181698771
DXY.INDEX,0.050764697754243,0.0274687578309549,0.0153359966726817,-0.0183983774827076,-0.00455371178485793,0,-0.0086310258820858,-0.00918074353993641,-0.000420451787544033,0,0,-0.0301278584680022,-0.00659118814662696,-0.00798575746567395,0.000765970232275361,0,0,0,0,0.0126014851469935
SPX.INDEX,0,0,0,0,0.00351609696699532,0,0,0,0.0284258341504651,0,0,0,-0.0576685746053759,0.014637563365371,0,0,0,0,0,-0.0531049609065549
VIX.INDEX,-0.428134694094614,0,-0.162992511510905,0,0,0.254466352288243,0,0,0,-0.0780637837101967,0,-0.0317013103212709,0.239842458778289,0.096466109386413,-0.00009397440902494,-0.573262467830841,0,0,-3.82963123624108,0
