,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.191925759799858,0.0953515377564058,0.111515280032834,0.105288431124432,0,0,0.0623487161180807,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0523085788251313,0.0809364086830445,0.226815763479868,0.0545034556044766,0.0229650362105497,0.225329603905624,0.0218976839542903,0,0,0,0,0.0717501724178985,0.0304612197090501,0,0,0,0,0
BCH,0,0,0,0,0,0,0.901543824425878,-0.342500905428059,0.244670404978977,0.17012059941908,-0.111063193928171,0.330932516492525,0.267519450807476,0,-0.859668416520029,0,0,0,0,-0.162131943149194
XRP,0,0.210093383791901,0.0368839676167546,0,0,0,0,0.102591516270735,0,0,0,0,0,0.037613820889224,0.203991195696849,0,0,0,0,0
LTC,0.159760344832119,0.0512731420819753,0,0.031126841728129,0,0,0,0,0,0.725321042137581,0,0,0,0,0,0,0,0,0,0
DASH,0.0453834925087758,0,0.0418971311157148,0,0,0,0.10028518780606,0.0664529352771449,0,0.138494105810305,0,0.0948008182387834,0,0.164182225139441,0,0,0,0,0,0
XEM,0.0967549868810408,0,0.0830254147998437,0,0.122915049206479,0.22126414981434,0,0.0668467840210918,0,0,0.138598622190523,0,0,0,0.25168874465272,0,0,0,0,0
MIOTA,0.286796801704312,0.057961423363996,-0.0744052406238342,0,0,0.189329644494729,0.0595594472470968,0,0.137376893793092,0.0551762032771111,0,0.0953474521750918,0.242998350731918,0,0,0,0,0,0,0
XMR,0,0,0.0978380428581037,0.067404070321115,0.0649620031892309,0.0763346627163794,0.0725649882952552,0.0106497727147601,0,0,0.0816132646182735,0.288460954458714,0,0,0.160958388511721,0,0,0,0,0
ETC,0,-0.00000000000000000173472347597681,0.027234288240905,0,0.597609255065159,0.0745668929262959,-0.000000000000000000433680868994202,0.120431424625506,0.0185283953953745,0,0.00000000000000000173472347597681,0.0245171310026284,0,0.0149853129191345,-0.000000000000000000433680868994202,0,0,0,0,0
NEO,0,0,0,0,-0.00000000000000000693889390390723,0,0.425842250178603,0.172478203932007,0.145986341492941,0,0,0,0.26764755114391,0.0855940495020712,0,0,0,0,0,-0.10899551080861
ZEC,0,0.0718710816388426,0.0261446100507316,0,0,0.0250758299752229,0.0515243926494743,0.214887804159914,0,0,0,0,0.00454277503396506,0.000281430676626162,0.189321549578137,0,0,0,0,0
EOS,0.0692648095837012,0,0.0457648978147361,0,0.28522058013238,0,0,0.173815898906318,0.139840239242947,0,0.151967288420003,0.0644685214389631,0,0.0783909081814535,0.205842217277821,0,0,0,0,0
BAT,0,0.0532688127590836,-0.0451858181654071,0,0,0,0.017924221472167,0.0387178361053083,0,0,0.180749001096892,0.289534292582029,0.146880750310624,0,0.257252075090926,0,0,0,0,-0.0797702016899163
XLM,0,0,0,0.336916081323317,0,0,0.0614366305137649,0,0.174886510811144,0.195481604059292,-0.0283225090601346,0.0756030777755566,0,0.171659792817769,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00338752255218189,0,0,0,0,0,0,0,0,0.0522035141837232,0,0.00929667017669,0,0,0,0,0,-0.0851808142281843
CVIX.INDEX,0.0375579840608431,0,0,0,0.0704815059433097,0,0,0.0547789674372816,0.0355779306132143,0,0.00768266504308416,-0.110112676207747,-0.0986856250736052,0.0107430716646526,0,0,0,0,0,0.0559706868339103
DXY.INDEX,0.00315415096566216,-0.0072921537341897,0.000646231287166619,0,0.00693957473099285,-0.0121437940058199,0,0.0105331313701598,0,0,0.00296523534280412,0,0,0,-0.00972324048872917,0.0438813052526138,-0.0292650160215081,0,0,0
SPX.INDEX,0,0.00362934168714614,0,0,0,-0.00499808487283551,0,0,-0.0043842998496143,0,0.00126370436848827,0,0,0.00099054744272841,-0.00140654196565298,0,0,0,0,-0.0426435678029679
VIX.INDEX,0,0.286262586940019,0,-0.162995676560882,0,-0.20990575642014,0.160950581063638,0,0,-0.067903251208592,-0.00542421001246262,0,-0.234610973447042,0.0567500230982226,0.114415731734706,0,0.876444635941779,0,0,0
