,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,TRX,XLM,ADA,ATOM,MIN,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.36727807040247,0,0.159437253125734,0,0.143586764829285,0,0.0675829247027769,0,0,0,0,-0.00757003024483758,0,0,0,0,0,0
ETH,0,0,0,0.051811763334532,0.419197602223586,0.0546448012070607,0.270968264788877,0,0,0,0,0,0.0404132899290347,0.00195241805093657,0,0,0,0,0,0
XRP,0,0,0,0.275280028711723,0,0,0.0769164762997808,0,0,0.00878168369285657,0.205503701117311,0.130857271821955,0,-0.0177586766443228,0,0,0,0,0,0.00995617400943507
BCH,0,0,0.208935526079598,0,0,0,0.299144993541562,0.0734208869952473,-0.00956005909639955,0.269228319838488,0,0,0.0691748957098187,0,0,0,0,0,0,0
LTC,0.111098324438334,0,0.0520289302156419,0.112841359309335,0,0.461737060595142,0,0,0,0,0,0.101847659377805,0.118567437562346,0,0,0,0,0,0,0
EOS,0,0.126262982595645,0,0,0.660494849641961,0,0,0.0897516240036405,0,0.0392775923693596,0,0,0.0360116592181244,-0.00197556766697059,0,0,0,0,0,0
BNB,0,0,0,0.269439447847127,0.265741442721683,0.0764057805083373,0,0,0.0807660196909837,0.0560260963844488,0,0,0.0794550582247417,0,0,0,0,0,0,-0.0178366282261296
BSV,0,0,0,0.478372452328622,0,0.136628277309757,0,0,0.0379701974936612,0.0653807921060427,0,0.084196173080701,0,-0.0113842174908586,0,0,0,0,0,-0.0783086290775653
XTZ,0,0,0,0,0,0,0.247653036790286,0.0853599395945634,0,0,0,0.448493825759214,0,0.0229263625241082,0,0,0,0,0,0
TRX,-0.166890291351609,0,0,0.643316623761909,0,0,0,-0.136537221107004,0,0,0.105382413244424,0.58698491427879,0,0.0146357693554145,0.070916479010786,0,0,0,0,0
XLM,0,0,0.258117331471933,0,0.0715257240480026,0,0,0.0556705461886889,0,0.148734496988893,0,0,0.172723930621717,-0.00904078779315736,0,0,0,0,0,0
ADA,0,0.0707880093273044,0,0,0.29468523487578,0.0228941280391561,0,0.0645688903803398,0.0223232820981835,0.0833090676995795,0.149090217877053,0,0.101202427481994,0.00446369005692705,0,0,0,0,0,0
ATOM,0,0,0,0,0,0.288333726047409,0.174016095735761,0.0048717875691106,0.0754900161521351,0,0.263868974854909,0.156937131909983,0,0,0,0,0,0,0,0
MIN,1.61227285112057,0,0,0,0,0,-4.58399085391384,0,0,1.54448709208999,1.71155504252708,-0.000000000000000000867361737988404,1.11735674865266,0,0,6.99422672345685,-0.193349341089308,0,0,1.67133006394281
LEO,0.39837361514265,0,0,-0.0666242577854175,0.256819326557385,-0.388525030403146,0,-0.0789255342360411,0.112800821596068,0,0.172533347204369,0,-0.0613880162950599,0.00123101004305065,0,0,0,0,0,0.0770389104698013
BV010082.INDEX,0,0,0,0.106611047586777,0,0,-0.100048151775975,0,0.0125811349177013,0.11386344027575,-0.101686686930496,-0.0163786264069115,0,0.0106591558426274,-0.249317267016677,0,0,0,0,0
CVIX.INDEX,0,0,-0.20099541124349,0.268495049363832,0,0,0.0196288800392404,0,0.0243813958419962,-0.154576384845503,0.00268942232158198,0,0,0,0,-0.190221322041991,0,0,0,0
DXY.INDEX,0,0,0,0.0061782517559387,0,-0.0150196451156815,0,0.0194777691083379,-0.0028104960364311,0,0.0107397130528311,0,-0.0176626178733867,0.000209837394218341,-0.026273329215867,0.0153694253051332,0,0,0,-0.00422118578635425
SPX.INDEX,0,0.0287994558558231,0,0,0,0,0,-0.00974945348656114,0,0,0.0078592294118123,0.00189873899778241,-0.00481319557161988,-0.00167077645258555,0,0.0938884931829323,0,0,0,-0.0423067375667176
VIX.INDEX,-0.0589997922111738,0,0,-0.0658689085191551,0,0,0,-0.0585894919771024,0.144963920931113,0,0,0,-0.182619199387896,-0.0261303652564105,0,-0.118680690962885,0,0,-1.33539054693088,0
