,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,ADA,XMR,TRX,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.211429412946206,-0.0000000000000000138777878078145,0.0826763104914629,0.0416193575251834,0.0887508392537086,0,0,0.188923248656144,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0929036038674953,0.154685544098245,0.183108779434686,0.265498168389438,0,0,0,0,0.0942567728947315,0.00633584787927967,0,0.035117478548563,0,0,0,0,0.0201978314837437
XRP,0,0,0,0.249489476511895,0,0,0.0567045604425444,0.0313660989590022,0.0261570404980897,0,0.193983258409364,0,0.036913965970671,0,0,0,0,0,0,0
BCH,0,0,0.150629902531977,0,0.0242144657253098,0,0.11100525835937,0.109892452110246,0,0,0,0.139459520385144,0.25013694662131,0,0.0909841337415204,0,0,0,0,0
LTC,0.213216847910509,0.00482685597076562,0.0441982061092016,0.0504149667348359,0,0.460872842788667,0,0.0507761141535396,0,0,0.0653914639225653,0,0,0,0.0692722001845691,0.0204422379560004,0,0,0,0
EOS,0,0.286044106492467,0,0,0.337107451910034,0,0,0,0,0,0.138482064652181,0.034522536102318,0.210799286678207,0,0,0,0,0,0,0
BNB,0.0337344723401229,0.345616735640066,0,0.185713107267648,0.117411590891656,0,0,0.0189018479534134,0.0843976019944742,0,0,0.0841828457099096,0,0,0.0458884882777015,0,0,0,0,0
BSV,0,0,0,0.475904930787281,0,-0.00000000000000000346944695195361,0,0,0.00671178447725355,0.177135960845588,0.176450362900515,0,0.0518058269507594,0,0.0415709983196819,0,0.401159979368481,0,0,-0.0742572647001929
XTZ,0.176305868779297,0,0.400751987560499,0,0,0,0,0,0,0,0.364721812201913,0,0,0,0.0664627477584454,0,0,0,0,-0.0478329428699961
XLM,-0.0124549642028525,0,0.141411003419153,0,0,0.198820502307385,0,0.11468944864358,-0.0548018567214413,0,0.0357190744565886,0,0,0,0.183015756407328,-0.0426157976548711,0,0,0,0
ADA,0,0,0.108803136695868,0.00662818454596529,0.0628565731445389,0.379957615623113,0.0392454082497489,0.0187907756132891,0.0203765659692565,0.0059542624813592,0,0,0.00946212080666282,0,0.136631689476448,0,0,0,0,0
XMR,0,0,0,0.00775717433664257,0,0.233058711462374,0.148206157120898,0,0.121889339398273,0,0,0,0.19244330751116,0,0,0,0,0,0,0
TRX,-0.130632641178079,0,0.23093874850412,0.306278306723285,0,0.0720899646943886,0,0,0.00000000000000000173472347597681,0.106279596395921,0.344388590478421,0.247916406690099,0,0,0.00000000000000000346944695195361,0,0,0,0,0.0105479797171618
LEO,0.319996586979844,0,0.0696661182412634,0,0,0,0,0,0.104721573478177,0.0249714832802452,0,0,-0.1676657535869,0,-0.084405743384829,-0.107655133895452,0,0,0,0.0666860582936361
ATOM,0,0,0,0.0266106760081771,0,0.265560792698953,0.0952067766676786,0,-0.00000000000000000346944695195361,0.359254685584985,0.389871361810011,-0.18983829699082,0,0,0,0,0,0,0,-0.000000000000000000867361737988404
BV010082.INDEX,0,0,0,0.170303352370076,0,0,0,0.0184179901119834,-0.00675622080777189,-0.166006885777688,-0.147691453555992,-0.128004303593714,0.123388999972723,-0.171267915921883,-0.000000000000000000867361737988404,0,-0.291115239242994,0,0,-0.0557973842644842
CVIX.INDEX,0,0,0,0.129963039232433,0,0,-0.104769003756895,0,0.00147257955882178,0.0018734869910089,0,-0.0780480166527871,0,-0.0475863202434836,0.14350278562882,-0.518142278569558,0,0,0,0
DXY.INDEX,0,0.0740018047488766,0,0.0150324841109566,0,-0.0380522262372927,-0.0554334362046818,0.00685431344552522,-0.00398409984069656,0.00870853498727919,0,0.0193773653372243,0,0,0,0.0109698447996841,0,0,0,0.00155942565169678
SPX.INDEX,0,0.0163187732786104,0,0,0,0.0161579386802763,0,-0.00896500447655916,0,0.00491805395979485,0,0,0,-0.0172484778821883,0,0.0501842091804169,0,0,0,-0.0421284009550853
VIX.INDEX,0,0,-0.150264630601699,0,0,0,-0.424324459107865,-0.103516400161057,0.0373665762825682,0,0.490616837981569,-0.231422481723302,0.332540990941842,-0.62453251980199,-0.123116088683774,-0.574969102927512,-0.368604660146633,0,-3.63706745577528,0
