,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,XMR,NEO,ETC,XEM,EOS,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.112651529871631,-0.0511736565369232,0.0274164965420907,0.315945452203562,-0.0763692470682086,-0.0760104361573481,-0.0232253010052449,0.0964559629584628,-0.0493698107198514,-0.194688016596499,0.103011718314347,0,0,0,0,0,0,0
ETH,0,0,0,0.145559081624612,0,0,0,0,0.118255541849825,0,0,0.115795447713718,0.0205601458478645,0.0533217295670494,0,0,0,0,0,-0.00876292271673566
BCH,0,0,0,-0.140316461559778,0.119230978090884,-0.434119462684254,0.141182447308041,0,0.18592097283072,0.308089517164644,0.115592335590688,0.212244837985053,0.104607712539821,-0.179634026972055,0.010665683565354,0,0,0,0,-0.455498555162961
XRP,-0.0984796300734827,0.373439422911451,0,0,-0.0387088100587943,0.182566154207878,-0.0615504057320365,0.13766548626635,0.21349370191136,0.0498422964222139,0.0184985734070313,0,0.0723012784317621,-0.101661153277776,0.0124552661503433,0,0,0,0,-0.124563729358035
BTG,1.8713163790898,0,0.244183830321627,0,0,-0.949766361507389,-0.109744079557562,0,-0.28328415311541,0,1.28487555793861,-1.40032095706062,-1.09737022911322,-0.346392651709397,0.0804147858621738,0,0,0,0,-0.654735989862427
LTC,0,0,-0.0956951215273027,0.227775327948849,0,0,0,0,0.0579849288052644,-0.00886679743349637,0.222399235969861,0,0,-0.000000000000000000433680868994202,-0.00581533575373812,0,0,0,0,0
DASH,-0.152019514458283,0,0.044814992481527,0,0.00948125178737145,0.234776748160368,0,0.0968073235158606,0.117181908439907,0.0589661296658936,0,-0.0144154390581854,0,0,0,0,0,0,0,0
MIOTA,0,0,-0.140882619511897,0.167408160260589,-0.00385112770184882,-0.452998636520021,0.211501939289312,0,0,0.147785133355307,0,0.514680137273938,0.148310604611839,0.216657959108458,0.0832755184983229,0,0,0,0,0
XMR,0,0.125628821290073,-0.0387941074686747,0.00000000000000000346944695195361,0,0,0.218809462946241,0.0916279207874104,0,0.0523898297007223,0,0.409415703167141,0,0.0674567147256202,0,0,0,0,0,-0.0632258872554775
NEO,-0.2154689872058,0.577412724362613,0.0842255199499858,-0.215719007116726,-0.0990945701347039,-0.045338007424786,-0.00000000000000000693889390390723,-0.0637207728120489,0.216414013075489,0,0.132088383069561,-0.312993405408248,0.0465184373702588,0.118519180510848,0.188133840693568,0,-0.465259687440637,0,0,0
ETC,0,0,0.110175054257452,0.11446714966985,0,0.0885690269700435,-0.293230639236295,0.0517293981663564,0,0.111736796976699,0,0,0.0540367371739822,0.101378769198061,0.0298900164458426,0,0,0,0,0
XEM,0,0.0736473017209569,0,0,-0.0428743619966912,0,0,0.179007625431229,0.172807457450251,0.0962305083307172,0.0169883341924078,0,-0.0304452868696082,0.115501534497887,0.057338351119001,0,0,0,0,0
EOS,0.556232136809444,0.25212310217473,0.0120134437644929,0.193935807704881,-0.0789990385763988,0,0.18519247636667,0.0440045092709486,-0.188530784687661,0.116771592872721,0.181875466950069,0.00463537636164933,0,-0.0681951050694707,0.0682068403338675,0,0,0,0,0
ADA,-0.251258453676798,0.538703876144107,-0.129082670115483,0,0,0.333159623886601,-0.109493917079774,0.303495199439178,0,0.294690561957336,0,0.33161392079513,-0.172019390945137,0,-0.206419762348642,0,0.858579407479196,0,0,0.154489837844348
XLM,0.113801702356913,0.584906678385444,0,0,-0.0550690315895154,0,-0.10668145900544,0.384993561498207,0,0.138368206366088,-0.00000000000000000693889390390723,0,0.140669284356539,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0627301683519015,0,-0.00304032786697288,0,0.00803892686047629,0,0,0.0401889969065211,0,0,0.0350732014702484,-0.0261140431255017,0.00264264853682065,0,0,0,0,-0.0497344289825336
CVIX.INDEX,0,0,0.0264500837507547,-0.0671393389091059,-0.00514432720377378,-0.0532363636596603,0,0,0.0170970824843432,-0.0298288017145357,0.00636194528033651,0.0635038147005858,-0.0039505838605751,0.0499359384169941,0.0162428562886526,0,0,0,0,0.0686330206047813
DXY.INDEX,-0.0116169612376708,0,-0.00827324865293258,0,-0.00424793445983345,-0.000437145356956531,0,-0.00587540180788994,0.00465112199738855,0,0.0132366760215457,0,0,-0.00789463919553512,0.00407107703773856,0,-0.0840644893735151,0,0,0
SPX.INDEX,-0.0033629194356145,-0.00195658146535797,0,0,0.000181107317011299,0.000124362612124356,0,-0.00136215746120373,-0.00318169730927012,0,0,0.0083935371053645,-0.00000000000000000010842021724855,-0.0017274960437841,0.000161559305817582,0,-0.0339660633128671,0,0,-0.0317644404098751
VIX.INDEX,-0.228698039962728,0.179454771842952,-0.0308266171930687,0.196339150620445,-0.00989718352232208,0.295425666361575,-0.126262877619326,0.152077128601184,-0.310325884816171,-0.0596907201470921,0.0284740547224191,0,0,0.00203709006083914,0,0,0.548641259998226,0,0,0
