,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0487660121046025,0,0.0380845381914608,0.0714489037088441,0,0.239202547897343,0,0.15681332662134,0,0.0236253379424893,0,0,0,0,0,0,0,0
INNBCL,13.0682556530629,0,12.3050869642202,2.24265866471433,0,0,0,-13.914700595836,0,0,5.4708167878859,0,1.54624915195344,0,-19.3365379461831,0,0.605997472681399,0,8.72002226073784,0
ETH,0,0.0010907273820107,0,0,0.221815609286871,0.0592248191257898,0,0.0584834207010057,0.111227872302434,0.289790786947752,0,0,0,0,0.228865838281184,0,0,0,0,0
XRP,0,0,0.126859349330635,0,0.0369173505304875,0,0.214469249142484,0.152018554414035,0,0.0232161119910091,-0.0000270630677209888,0.0384189252976683,0.189216299580612,0,0,0,0,0,0,0.0109975193972349
BCH,0,0,0.427016432053336,0,0,0.249031944914632,0,0.0444288996430805,0.0949353943313679,0.0673868840524992,0.0128379668671979,0,0,0,0,0,0,0,0,0
BSV,0.0403264868077103,-0.00390735619040438,0,0,0.256111585906579,0,0.00000000000000000010842021724855,0.104463538429859,0.315995179910154,0,0,0,0,0,0.316298132021628,0,0.0935435857521931,0,0,-0.067891858324805
LTC,0,0.000102657496511606,0.264614876896388,0,0.0195216487825704,0.167364088363526,0,0.128017537173308,0.218979567101782,0.00332016707353409,0,0,0,0,0,0,0,0,0,0
BNB,0,-0.00421141582599245,0.346912409712568,0,0.41924745374205,0.00374033684607599,0,0,0,0.0744826478308229,0,0.061319570585742,0,0,0,0,0,0,0,0
EOS,0,0,0.208927448816926,0,0.453920735926676,0.099959360364001,0,0.1070862662805,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,-0.0000113111354457022,0.104042918527776,0,0,0.234426719155214,0,0.131431694645027,0,0,0,0.473217475698619,0,0,0,0,0,0,0,0
TAGZ5,0,-0.000677437819096257,0,0,0.648927678368466,0,0,0,0,-0.0000000000000000138777878078145,0,0,0,0,0,0,0,0,0,0.0700709109341253
LINK,0,-0.00315037499111278,0,0,0.115837080167524,0.205710097078092,0,0,0,0.663405889276477,-0.00543277600617128,0,0,0,0,0,0,0,0,0
XLM,0,-0.00223652654825459,0.195858662431327,0,0.229749401955992,0.00481790265019937,0,0,0.201693491644355,0.0826715039738957,0,0,0,0,0,0,0,0,0,0
LEO,0,0.00560113703383968,0,0,-0.0592878323975947,0,-0.0916142523967981,0,0,0.0932656053774928,-0.0230126558919139,0,0,0,0,-0.0436519987794699,-0.00000000000000000010842021724855,0,0,-0.0755125309349459
XMR,0,-0.0000407645982340873,0.151103040516082,0,0.110844774868052,0.0963959315694944,0,0.218482259768648,0,0.221534150995795,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0062400230408855,0.314743563724531,0,0,0.228860525571572,0,-0.957113876405011,-0.227689747084441,-0.86820422848486,0.0655787999839859,0.4587794805636,1.16519794967529,0,0,0,0.135550161926114,0,0,-0.0283927354890524
CVIX.INDEX,0,-0.00263907910921034,0,-0.265183857192729,0,0.104294837516011,0,-0.0230346033291699,0,0,-0.144407224690502,0.0918144067930843,0,0,0,0.379376482952094,0,0,-0.588226904299848,0.361161774623747
DXY.INDEX,0.0927456146990005,0.0000823916119448453,0,-0.0770425868496026,0,-0.000000000000000000433680868994202,0,0,0,0.0044031971231038,0,-0.0152249062879307,0,0,0,0,-0.0165454997101597,0,-0.0206534594408491,-0.00933080048531845
SPX.INDEX,0,0.0108166821893426,0,0,0,-0.0628231842147224,0,0,0,0,0,0.0369750769875226,0,0,0,0.186059632175096,0,0,0,-0.290562122952972
VIX.INDEX,0,0.0314402729580762,0,0,0,-0.0689603418268179,0,0,0,0.354857642816369,0,-0.201482195705686,0.12677971225859,0,-0.3885805418565,0,0,0,-2.17546835872669,0
