,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0677175620729051,0.143271990337681,0.102643923483173,0.0243896393724739,0,0.0505557283457596,-0.0512236749114815,0,0,0.0652725464562647,0,0,0
XRP,0.661280643406602,0,0.0531181528762052,0.165686540563836,0.0748829562818975,0.241960669931994,-0.0388552466778749,-0.245812206793405,0,0,0.298293775515991,0,0,-0.0938717207726512
LTC,1.12776815494083,-0.177640195926859,0,0.0240237263756315,0.119117803604382,0,0,0.0662439757838184,0.0969726969109273,0,0.114343158575595,0,0,0.118746905603583
DOGE,0,0,0.125516767100974,0,0,0.452971820616801,0,0,0.333259561221126,0,0,0,0,-0.118538024972688
DASH,0.168105462748015,0.0712078278714484,0.0657837378266005,0,0,0.0436343749057028,-0.0103670633760073,0,0,0,0.0756806895434748,0,0,0
XLM,1.9807561639842,0.560915581669665,-0.0254207507256147,0.0736433812632301,-0.419144392790621,0,0,0.218178236180545,-0.126450817595372,-0.111701409784846,0,0.556528150127726,0,-0.173864826661137
XMR,0,0.201297463170028,0.0183327232134985,0,0,-0.125718225494042,0,0.0509522239391162,-0.102207540998014,0,0,0,0,-0.17634206377992
XEM,0,-0.241361880421438,0.244982577729649,0.114472806429782,0.324785321769362,0.193170853475707,0,0,-0.202866167123917,0,0,0,0,0.115575893331735
DGB,0,0.238967100026111,0.129075042939697,0.121929608592227,-0.225075873337838,0.195329440904187,0.447194715241252,0,0,0.307311751202637,0.37435058607983,-0.581536294988237,0,0.0653084255291322
BV010082.INDEX,-0.368646962531561,0.0131259938943536,0.0289182507332053,-0.057115893326098,0,0.0664108184528162,-0.0556839023039313,0.0124189820941435,0.0830592830810412,0,0.109492414963613,1.02138436523347,0,-0.0582211922540034
CVIX.INDEX,0,-0.0458774528768471,0.0287985855855041,-0.00324784144845464,-0.208416084075605,0.150060569936723,-0.0968442662920141,-0.089673466128005,-0.151231494619378,1.01670139600871,0,0,0,0.133708325468238
DXY.INDEX,0,0.0191695471540771,-0.00437079326069035,0.0391709646080058,0,0.0110338919223127,0,-0.018564742529838,-0.0684930645680164,0.080981376467796,0.0921926835531384,0,0,0
SPX.INDEX,0.0064148746229712,0.0121157634618902,-0.00188551044279985,0.0226435942375795,0.00183829850645987,-0.0116612973403142,0,-0.00822507383632631,0,-0.0572620317544791,0,0,0,-0.0775329704901149
VIX.INDEX,0,0,-0.113471315075948,0.12376142192281,-0.133728923887024,-0.10518550694195,0.00000000000000000346944695195361,0.197845679293864,0.606167933887684,-0.381004248824552,0.0319736198271689,-0.0745536510043437,-5.9898097920544,0
