,BTC,ETH,XRP,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0282163096763354,0,-0.0113582758220508,0,0.161722442821304,0,0,0.0204958526773964,0,0.0887839288793353,0.363487680470674,0.111213219979822,0.0204201586824823,0.0653754468200919,0,0,0,0,0
ETH,0,0,0.219659707194732,0.0785562699099899,0.0460966015873222,0.00310209856621214,0,0.0578767127127975,0.00960620073773186,0,0.00479616557232126,0.363900877082848,0.103942192727567,0.0765589750889265,0,0,0,0,0,0
XRP,0,0.19320159662468,0,0.0211693130458732,0,-0.000000000000000000867361737988404,0.196142053614869,0,-0.00477249184413884,0,0,0,0.0867550823950352,0.0572598084797483,0.168706574706019,0,0,0,0,0.0541933983985235
BCH,0,0,0,0,0.297261070044423,0,0.202924714873488,0,0.124176433946234,0.523978330724109,0.0766239705737895,-0.346048810002336,0.352743731250853,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,-0.114827724849011,0,0.76721007757047,0,0,0.101920980819102,0.128188117239398,0,0,0,0,0,0.0343286714311596
XLM,0,0.0361200319479616,0,0.110591903359689,0.0143690367538842,0,0,0,0,0.0959153987222753,0.065074328833976,0.281204181626866,0.12347174462339,0,0,0,0,0,0,0
LTC,0,0,0,0.0276982470439526,0.154866357497629,0,0,0,0.0211925172045611,0.0620565638718034,0.0960732227236415,0.19237733769954,0.0380126108197282,0.0983209732881289,0,0,0,0,0,0
TRX,0.109524110705765,0,0,0.0379019412367173,0,0,0,0,0.0180368336156876,0.262407317571355,0,0.262302912851618,0.0646318042647366,0,0.079764982722476,0,0,0,0,0
BSV,1.06838507707717,0.161569420600733,-1.74713220332782,0.528095136858385,0.12943153233436,-0.44160606634135,0,0.449928344481847,0,0,0.355959218308711,0,0.415768408578641,0.136498676849665,-0.322460038226718,0,0,0,0,0
ADA,0,0.0263094482576743,0,0.11272926722363,0.245697748636547,0,0,0.22275576096607,0,0,0.140531461468124,0.154293094204346,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0738224480986175,0.0764069713911866,0.251743912960639,0.102618553631165,0,0.0541339046699936,0,0,0,0.117386815599658,0.065096067976302,0.188677067925985,0,0,0,0,0
XMR,0.141338945158751,0.181779798499389,0,0,0,0.0679863768468174,0.131416764232625,0,0,0.33145403249992,0.0282625937240625,0,0,0.0678465372452154,0,0,0,0,0,0
BNB,0,0,0,-0.0433725879071449,0.172944279254884,0,0.307235463558481,0.0631576496297739,0,0.427731831710904,-0.0159478691645719,0,0,0,0,0,0,0,0,0
DASH,0,0.30728951057408,0,0,0.229463245361155,0.116547084739176,0,0,0,0,0,0.236789525111304,0.0716717555383777,0,0,0,0,0,0,0
XEM,0,0,0,0.165513900138132,0,0.28447482664492,0,0.068650367952591,0,0.184759186401721,0,0.0000000000000000138777878078145,0,0,0,0,0,0,0,0
BV010082.INDEX,0.158378714571469,-0.214433222220173,-0.0274104116630626,-0.0174591860826124,0,-0.0846240589664211,0.0658860026098582,-0.0655337233585899,0.0159986788411546,0,0.0709090503519939,0,0,0.0704688471666081,0.0575468646236123,0,0.0214189226657611,0,0,-0.0747050910872057
CVIX.INDEX,0,0,0,0.0372372088339721,-0.0627805671574101,0.0250962938193206,0,-0.0463483914135459,0.0273772197083021,0,0.0881518413722559,-0.0455945504820725,-0.0984153963964569,0,0.0632859378321976,0.172796387701046,0,0,0,0.116282434358835
DXY.INDEX,0,0,0,0.00180342692060961,0,-0.0015275685791833,0,-0.0323875161685254,0.00519881947951658,0,0.00291450799644261,0,0.00562184628025471,0.00424310116931552,0.00761819899811599,0.0525897733391671,0,0,0,0.00378294224531068
SPX.INDEX,0,0,0,-0.0108626369565396,0,0,0.0235481698767598,0,0.0140270935299503,0,0,0,0,-0.0483694474293743,0.0500213467177606,0.0826905662285452,0,0,0,-0.120672119288566
VIX.INDEX,0,-0.371554948302295,0.665156341417627,0,0,-0.075420656774626,0.254812476301922,0,0.0794368530343245,0,0,-0.517370316498152,0.120170645875821,0,0.150921628911811,0,0,0,-4.97014463863781,0
