,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,XTZ,ADA,LEO,ATOM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.105787436846316,0.0643041325811504,0.0796807020758799,0,-0.0000000000000000138777878078145,0.0356098007304984,0,0,0.0144242672565148,0,0,0.040617115456289,0.237854878578386,0,0,0,0,0
ETH,0,0,0,0.102013912075471,0.330284634616774,0.151602074882478,0.106825932133362,0,0.0151477168886066,0.0912213123218152,0,0,0,0.054015639649837,0,0,0,0,0,0
XRP,0,0,0,0.290560761346096,0,0,0,0.195888250839632,0.0272696797750261,0,0,0.213647829490141,0,0,0,0,0,0,0,0.076070752817853
BCH,0,0,0.182352561399954,0,0,0,0.298975184058725,0.132728551076518,0,0.251066142574412,-0.0169477368205162,0,0,0.0783252876767001,0,0,0,0,0,0
LTC,0,0.3028699126879,0.0103164523861842,0,0,0.511488229914209,0,0,0,0,0,0.0285112128655934,0,0.030759498412591,0,0,0,0,0,0
EOS,0,0.200244102178846,0,0,0.614814708404096,0,0,0.0812390874068534,0.0588306107661036,0.044186494837438,0,0,0,0.0144265541934549,0,0,0,0,0,0
BNB,0,0,0.0912222599118913,0.314521144950085,0,0.301938754966313,0,0,0,0.0378383769758418,0.00256454885715235,0,0,0.0299547094900977,0,0,0,0,0,-0.0251465647861142
BSV,0,0,0,0.438000217440614,0,0.111233406085784,0,0,0.22512884895056,0,0,0.271765422016467,-0.0566578455484557,0,-0.0757076975625049,0,0.367545454270104,0,0,-0.0862012562297699
XLM,0,0,0.254461065577339,0,0,0,0,0.0587540772150736,0,0.193667483810961,-0.0186179307350603,0,0.0984503997131633,0.187562487293729,0,0,0.0862218437891532,0,0,0
TRX,0,0,0,0.327328458113691,0,0,0,0,0.194611871023326,0,-0.0498824252361748,0.404511897561244,0,0.0102615516523351,0.158380790374532,0.0165154205622303,0,0,0,-0.0658151211626389
XTZ,0,0,0.844721876467875,0,-0.390296430898047,-0.0555986914094951,0.309928428618979,0,0,-0.347040769337909,0,0.319184722918383,0,0,0,0.0175813533679319,0.101343248098309,0,0,-0.0522586782623982
ADA,0,0.185476139116504,0.0356177576531642,0,-0.00000000000000000346944695195361,0.154404811207565,0,0,0.100338801442488,0.129414077037804,0.00562694954696002,0,0,0.139569091071578,0,0,0,0,0,0
LEO,0.378176473354531,0,0,-0.0787078652828374,0.364986937101762,-0.292279540020452,0,-0.14659287724948,0.127122025532153,0,0.0553964675748648,0.120793579299713,0,-0.103552358247161,-0.144767268553136,0,0,0,0,0
ATOM,0,0,0,0.0946642944949209,0,0.435914527009311,0,0,0.185784762712627,0,0.0940563486264251,0.187457622097823,0,0,0,0,0,0,0,0.0289667713245503
XMR,0,0,0,0.13768772837385,0.147427497398971,0,0.351788453289861,0,0,0,0.0985886816621298,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.23098598807552,0.268402307798089,0,0,-0.251237297172789,-0.0846327456983384,-0.0809115570284993,0.173009666995064,0.150387264691017,0,0,-0.219047637914831,-0.0621112414466465,0,0,0,0,-0.0957977599685258
CVIX.INDEX,0.310530819579602,0,-0.260853996856912,0.015445717184259,0.469897452872681,-0.421732573311192,0,0.201953963817805,0,-0.276535058497132,-0.000905404798514571,-0.192501285997375,0,0.0212420278261885,0.202130139332973,0,0,0,0,0.0654176546300565
DXY.INDEX,0,0,0,-0.00787799909904238,-0.00657639881257354,0,0,0,0.0335311332306467,0,-0.00887589980726413,0,-0.0392517144561842,-0.00918105686826861,0,0.0329741054573825,0,0,0,-0.00887249048882799
SPX.INDEX,0,0,-0.0214865086214773,0,0,0.0422429928663734,0,-0.00246057104083698,0.00194786497938851,-0.000000000000000000216840434497101,0,0,0,-0.0128720595144753,0,0.0693553705907926,0,0,0,-0.0429751473834709
VIX.INDEX,0,0,-0.44805283742464,0,0,-0.000000000000000000433680868994202,0,0.00000000000000000693889390390723,0.461782025505121,0,0,0,-0.639748937487636,-0.184435429575175,0,0,0.442495191710637,0,-3.35299520910563,0
