,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,XMR,MIOTA,TRX,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.149463774023094,0.122284003052298,0.0596640224180236,0,0,0.0806230074707184,0,0.0434870414206043,0.0163432911483813,0.136313592629784,0,0.111187974480488,0,0,0,0,0
ETH,0,0,0.202660426610592,0.169333200828802,0.241177403735476,0,0,0,0,0,0,0.122448717903036,0,0.0408385849172434,0.0192931540351691,0,0,0,0,0
XRP,0,0.266408538987792,0,0,0.0896799625728253,0.0694422689427482,0,0.0491491361320938,0.035366407689119,0.0436108519163057,0,0,0,0.0794960888467075,0.0579031582728327,0,0,0,0,0
BCH,0,0,0,0,0.183349569636924,0,0,0,0.193583230086553,0,0,0.00785529157517436,0.292593621403921,0,0.163992298175371,0,0,0,0,-0.0333603458453126
LTC,0,0.295443658254532,0.0242842559829267,0.195904783679427,0,0,0,0.135065642958396,0.0487345400944501,0,0.176205600177708,-0.0149866475589687,0,0.00300958783674138,0,0,0,0,0,0.0385020181362731
EOS,0.281364396329509,0.375458898917353,0.118819554330186,0,0.0402941431076988,0,0.000000000000000000867361737988404,0,0.0417796597933986,0,0.0863651494322698,-0.0531992378903768,0,0,0.149783803125065,0,-0.315138759969858,0,0,0
ADA,0,-0.000000000000000000216840434497101,0,0,0,0.046608864402441,0,0,0.133845310972784,0.348065962283996,0,0,0,0.185675050452571,0,0,0,0,0,0
XLM,0,0,0,0.0874394658507616,0,0,0.275726787918943,0,0.0448964234582438,0,0.274365481954361,0.0689308439454074,0,0.166553410093379,0.0335826165557226,0,0,0,0,0
NEO,0,0,0.0231869167042501,0.121132282310521,0,0.11683951850582,0,0.065699975101249,0,0.203453476996002,0,0.0664432148472967,0.00601510979844535,0.0839446344718073,0.0324949378431683,0,0,0,0,0
XMR,0,0,0,0.00000000000000000173472347597681,0.273067518200146,0.0395029456377264,0,0,0.248560750589638,0,0.202232761080029,0.0349809599118624,0,0,0.0183382841081831,0,0,0,0,0.0904518873546091
MIOTA,0.150268437644965,0,0.0680017194553345,0.0111349144759061,0,0,0,0,0.199764983330118,0.0293212775710145,0,0.122614176570393,0.09112642178574,0.0563638135809155,0.0906053674330434,0,0,0,0,0
TRX,0,0,0,0.0206732667540872,0,0.396050147911085,0,0,0,0,0.455310432276841,0,0,0,0,0,0,0,0,0
DASH,0.149525850669631,0.078387649505844,0,0.0714731384188848,0,0,0.154748618215265,0,0.0497156882334265,0,0,0.187125344841033,0,0,0.0745994824073401,0,0,0,0,0.0103009791829531
XEM,0,0,0,0,0.0516925244317039,-0.110566838748481,0.387944105607112,-0.00000000000000000693889390390723,0.316873361796626,0,0,0.180379109794554,0,0,0,0,0,0,0,0
BNB,0,0.315962922728394,0,0,0,-0.0177923195997442,-0.117404208316205,0,0.332336809040387,0.193909884645244,0,0.0319084698681204,0,0.159899683826456,0,0,0,0,0,0
BV010082.INDEX,0,-0.0516178245743796,0,0,0.0187438794089837,0.0425447126681664,-0.0308838890766712,0.0190668298843221,0,-0.0115890546285482,0,-0.0520347409665421,0.135742982963727,0,0,0,0,0,0,-0.0494294396509652
CVIX.INDEX,0,0,0.00524274576690371,-0.0841725558637804,0.00834007430012525,-0.130512050439984,0,0,0.209870735239695,-0.105415879563536,0,0.0661945879539495,0.172904342005241,-0.017742749742297,-0.20356208190991,0,0,0,0,0.0562941128256863
DXY.INDEX,-0.0126039790575354,0.0305036466811387,0.0221429459428232,-0.0136528909341123,-0.0178791662558009,0.00629481730963317,0,-0.0105853401545211,0,-0.00459571185903872,0,-0.00547334239503945,0.0281289869682791,0,-0.0210969846207273,0,0,0,0,0.00907287743031964
SPX.INDEX,0,0,-0.054984058464241,0.00136253984393847,0.0172218792915813,0,-0.0385332035729884,0.0109526435270974,0,0.0258456469328114,0.0186400692684508,-0.0357749662390112,0,0.008989202253114,0,0,0,0,0,-0.0752540107752943
VIX.INDEX,0,-0.266459989978067,-0.0370405738110211,0,0,0.256908143485346,-0.0486125553007005,-0.0240850129348903,0,-0.149090539895292,-0.00000000000000000693889390390723,0.149834159152304,0,0,0,-0.708180827221755,0,0,-4.73865004853317,0
