,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,LEO,XMR,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0965019629810407,0,0,0.142627365119083,0,0.0247966301952974,0,0.0613609886875025,0.0481651944175529,0,0.154669585777377,0.0327529869651768,0,0,0,0,0
ETH,0,0,0,0.0966522647340454,0.337229103869219,0.167475360145747,0.0959597326123703,0,0,0.0211801363501515,0.0874369351722878,0,0,0,0.048105332793059,0,0,0,0,0
XRP,0,0,0,0.338713652265981,0,0,0,0.0928654769014249,0,0,0,0.232849889373276,0,0,0,0,0,0,0,0
BCH,0,0.0961966185458165,0.132657088106536,0,0,0,0.304939412155544,0.165193472236462,-0.0369295916100389,-0.0345648034952108,0.22053506511378,0,0,0,0.0935870986960541,0,0,0,0,0
LTC,0,0.158953097537182,0.124246633916273,0,0,0.465441418036766,0,0,0,0,0.0758805318481795,0.0181079070810804,0,0,0.08220930305086,0,0,0,0,0
EOS,0,0.199232265124757,0,0.00000000000000000173472347597681,0.6619886711941,0,0,0.0449169762539237,0,0.0409289376461517,0,-0.000000000000000000867361737988404,0,0,0.0633923472236207,0,0,0,0,0
BNB,0,0.0318820030619351,0.109945454552866,0.301317556848084,-0.00000000000000000693889390390723,0.298032707520927,0,0,0,0,0.0283281233326241,0,0,0,0.0164181145437267,0,0,0,0,-0.0313447700439858
BSV,0,0,0,0.396380606106611,0,0.152073669685823,0,0,-0.0280098690700365,0.310323899043018,0,0.149552276066158,-0.393239950664552,-0.00914470552950039,0.000000000000000000867361737988404,0,0.401746933363807,0,0,-0.0736462421190534
XTZ,0,0,0.760946419920504,0,-0.207577900272881,0,0.30882474933518,0,0,0,-0.579070717904153,0.22638740993293,0.2399930179514,0,-0.0214342952389903,0.31722212965074,0,0,0,-0.0676452440167064
XLM,0,0.0558193635659356,0.299263348323601,0,0,0,0,0.0588763446120054,-0.0176098335323712,0,0.110177711511408,0,0.186327986253666,0,0.173992907096031,0,0.0714673765403111,0,0,0
TRX,0,0,0,0.218787647042201,0,0,0,0.143722889626647,-0.073732680718344,0.173866364293705,0,0.299365764070342,0,0.200547207717266,0.0425024332838281,-0.00000000000000000346944695195361,0,0,0,-0.107523464912478
ADA,0,0.185476139116504,0.0356177576531645,0,0,0.154404811207565,0,0,0.00562694954696011,0.100338801442488,0.129414077037804,0,0,0,0.139569091071578,0,0,0,0,0
LEO,0.28318248786394,0.00000000000000000693889390390723,0,-0.0526251224300472,0.250613485859543,-0.236050710682573,0,-0.170802489683512,0.0681970384619529,0.149785038169302,0.0648664290097082,0.139998568552903,0,-0.16594730583666,-0.0797793114207695,-0.134880273311386,0,0,0,0
XMR,0,0.174829631411822,0,0.0935507860667938,0.0794856913236537,0,0.32761343961159,0,0.101900768007888,0,0,0,0,0,0.0128427733475169,0,0,0,0,0
ATOM,0,0,0,0.184965199907977,-0.0000000000000000138777878078145,0.525319999945781,0,0,0.156948154701,0,0,0.0755872794899386,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.172691457194593,0.256009777984766,0,0,-0.187113646619531,-0.128427281920953,0.134682830616934,0,0.169583899472446,0,-0.0432414719696572,-0.0987053697833611,-0.228043134639619,0,0,0.709038556332527,0,-0.116130199222049
CVIX.INDEX,0.404095253553191,0,-0.10821318210522,0,0.324642202908964,0,0,0,0.00675096381765627,0,-0.270096112311235,-0.354877061874302,0.190340083538279,0.145723709887322,0.027308908056465,0,0,0,0,0.0322444524125967
DXY.INDEX,-0.00232131981268098,0,0,-0.0102957757141245,-0.0177441563732987,0,0,0,-0.00520592573709622,0.0418451469637073,0,0,-0.0439458129262607,0.0127926742834714,-0.0146207678261977,0.0420064612726774,-0.010968439918444,0,0,-0.00955287371318329
SPX.INDEX,0,0,-0.0226966625134271,0,0,0.0421731846030823,0,-0.00235816607990891,0,0.00236856972955694,0,0,0,0,-0.013023960995976,0.0717597477139065,0,0,0,-0.0427772374329728
VIX.INDEX,0,0,-0.537046030268451,0.000000000000000000867361737988404,0,-0.000000000000000000433680868994202,0,0,0.0473698813325279,0.526730786954297,0,0.345363020863885,-0.496313769724072,0,-0.37978984392028,0,0.655151062828269,0,-4.40660160138305,0
