,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,XLM,TRX,XMR,LINK,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0282081815320515,0,0.0477937336032651,0,0.136746879190158,0,0,0.0533168126043041,0.00723184208794416,0,0.0455276448968192,0,0.0283596006330166,0,0,0,0,0,0
ETH,0,0,0.262265415112967,0,0,0.0376382603513329,0.0682921145269837,0.0772995985041586,0,0.218654051504679,0,0,0,0.0986713059828645,0,0,0,0,0,0
XRP,0,0.251632307638466,0,0.0733485539901718,0.0224298776493843,0,0.00926346331768527,0,0.0500281654603735,0,0,0.184622519560128,0.0949206856260697,0,0.0374189481928835,0,0,0,0,0
BCH,0,0,0.0000000000000000277555756156289,0,0.251597848695701,0,0,0.042032169582178,0,0,0.288708499379578,0.00000000000000000346944695195361,0.156085640575997,0,0.137673444246875,0,0,0,0,0
BSV,0,0,0.442181282906769,1.05371568845318,0,0,1.11221685323706,0,-0.0547111875560074,0,-1.66625204044691,0,-1.08349197806036,0.581672942358782,-0.0736238875480595,0,0.381137162902508,0,0,-0.066558187866178
LTC,0,0.399515100170684,0,0.206936926475671,0.0220407459387505,0,0.158003161881009,0,0,0,0,0,0,0.0760289898402965,0.0463662961007291,0,0,0,0,0
EOS,0.19714542645377,0,0,0,0.139955238864762,0.18061071844967,0,0.305943420662767,0,0.13786775836998,0,0.0158292314032743,0,0,0.0556152572590763,0,0,0,0,0
BNB,0,0,0,0.175512603733818,-0.0244759222956877,0.30181535078925,0,0,0,0.0407247785025194,0.122302064650559,0.0665342902952878,0.0641606381280229,0.0361493684317935,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.200456176578786,0.128776802292094,0,0,0,0,0,0.327572865383374,0,0,0,0,0,0
ADA,0,0.425711404994344,0.0979672526050681,0,-0.0327328014035323,0,0.168563261705924,0,-0.0591476412718297,0,0,0.156695382121842,0.110638237690857,0.0435630711157061,0.125533615881458,0,0.052697254067908,0,0,0
XLM,0,0.0670471391230771,0.563568545547146,0.143521289659303,-0.0340690669285501,-0.249807187513754,0,0.0977129770504034,0,0,0,0.0500870960173778,0,0.254417625730106,0,0,0,0,0,0
TRX,0,0.0635376414958437,0.250552381266417,0.112902493840175,0.0395282155141413,0,0.0118871247464587,0,0.0712679976464633,0.0962304033861184,0,0,0,0,0.139056261112883,0,0,0,0,0
XMR,0,0.112034962175193,-0.00000000000000000693889390390723,0.0433857430994399,0,0,0,0.120889284135339,-0.000000000000000000433680868994202,0.165714445831049,0,0,0,0.12346319635056,0,0,0,0,0,0
LINK,0,0,0,0.150313396470928,0,0,0,0.0648793441647115,0.0679590379136714,0,0,0.341063779711838,0.0621602112790478,0,0.069098184785172,0,0,0,0,0
ETC,-0.088457665428858,0,-0.304523306584081,0.71276426049853,0.0310653861662766,-0.113789784664287,0,0,0,0.236064581465963,0,0,0.407839460145926,0,0,0,0,0,0,0.166111268941078
BV010082.INDEX,0,0,0,0,0.0119155838153848,-0.179601478865034,-0.0039900623240827,0,0,0,0.0956623806783146,0.141336220056969,-0.0940603559552927,-0.0309957225367062,0.0172150402117201,0,0,0,0,-0.135609886405681
CVIX.INDEX,0,0,0.0831472489702973,0,0.0621395846010662,-0.114699153217745,-0.0831780302740005,-0.0170904319641273,-0.0324292110476774,0.103258145416877,0,-0.31977935579746,0.307477742535436,0,0,0,0,0,0,0.00711277741049053
DXY.INDEX,0,0,0.00299333299775695,0.00469291059876495,0,-0.0142198944159364,0,0.00977092244746973,0,0,0,0,0,0.00367391457376699,0.00187527015427776,0,-0.0147651026445787,0,0,-0.0125052281652492
SPX.INDEX,0,0,0,0.00723430205765171,0.00126720117720004,0,0,0.0253145927775107,-0.00742223560847666,0,0,0,-0.00600208865762847,0,0,0,0,0,0,-0.0826323372714801
VIX.INDEX,0,0,-0.0876910955099494,-0.404267417795101,0.041196076548227,0,0,0.320777894144047,0.101154478558026,0,-0.362186740246659,0.206712657397363,-0.129044412309566,0.0803532395454486,0.166250600382685,0,0,0,-4.98412097040966,0
