,BTC,ETH,XRP,BCH,LTC,EOS,BNB,ADA,XLM,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0342795282730315,0.0696926237432962,0.0828362552730809,0,0,0.0000574779610456397,0,0,0.185086684458238,0,0.0650896475742283,0.056378698466609,0,0,0,0,0,0
ETH,0,0,0.361058349961988,0.0137455342353885,0,0.181714588206398,0.0746446811795888,0,0.0266256602516577,0.000828000302962643,0.0570634529134081,0.0127014233527217,0.0578491646590611,0,0.00589346435753237,0,0,0,0,0
XRP,0,0.116500434943564,0,0,0,0.0578333910839541,0.0600697780026859,0.0257777384310762,0.268736086940591,0.123926866027825,0.0238613404252968,0,0,0,0.0514620952087647,0,0,0,0,0
BCH,0.634643463220317,0,-0.0339682910547468,0,0.47165965871851,0.0170373501627845,0,0.293224143823763,0,0,0,0,0,-0.165755880251029,0,0,-0.0897773548113353,0,0,-0.0626065781287405
LTC,0,0,0,0.229417465899009,0,0.211915397009567,0,0.184385914160069,0,-0.0000000000000000000542101086242752,0,0,0.170013339010886,0,0.0593138081820237,0,0,0,0,0
EOS,0,0.259396553136757,0,0.241333870052498,0.0360070764371656,0,0,0,0.0226813215071204,0.106274232089663,0,0,0.101605090033531,0,0.0585582953245002,0,0,0,0,0.0155298597229092
BNB,0,0,0,0,0,0,0,0.0869909354033326,0,0,0.481081315781316,0.0264734675260931,0.224664513639577,0.0441100236436194,0.0432685937452804,0,0.000000000000000000867361737988404,0,0,-0.0556952815423681
ADA,0,0,0.0456948088003734,0.236059230176066,0.297519328917547,0,0.0309454294122632,0,0.194867076079178,0.0816155023955747,0,0,0.00000000000000000346944695195361,0,0,0,0,0,0,0
XLM,0,0,0.314449185663368,0.101480996535212,0,0,0,0.0490196714198191,0,0.135973334759193,0,0,0.0627168352492991,0,0.0172257151719602,0,0,0,0,-0.0275117178752117
TRX,0,0.0995372873518082,0.011354797007276,0,0,0.0915511574692012,0,0,0.356535399496778,0,0.155804367275471,0.136307973610695,0.0561590559869221,0.0933789446681406,0.0534865354938666,0,0,0,0,0.160782757441652
XMR,0,0.544598663889179,0,0,0,0,0.121778707553504,0,0,0,0,0.216374026854327,0,0.0380109936111239,0.0405614140976274,0,0,0,0,-0.0294763187645956
DASH,0,0.115453249137963,0,0,0,0,0.121361807831925,0,0,0.0064363775450511,0.211927645102804,0,0,0.0966459999425036,0,0,0,0,0,0
BSV,0,0,-0.235824303017904,0,0.566849919217326,0,0,0.00000000000000000693889390390723,0,0.097911395600035,0,0.26267145620425,0,0,0.0378836082919497,0,0,0,0,0.101765775564184
MIOTA,0,0,0,0,0,0,0.14691223751738,0.0651106629121349,0.275952750718269,0.0427364782939146,0.153424000586306,0,0.0327220993478795,0,0,0,-0.0284517034035722,0,0,0
XTZ,0,0,0.132726601536782,-0.258582489223882,0,0.517046169151814,-0.167824412135601,0,1.09851746095305,-0.365109376103989,-0.0101166249681586,0,0,0,0,0,-0.304763502130455,0,0,0
BV010082.INDEX,0.151803690836044,0.205164303124219,0.0219198604259658,0.0699669687392154,0,0,0.0402004630671674,-0.213217864259538,-0.0085188711905048,0,0,-0.158970442112733,0,0,-0.0472048398055022,0,0,0,0,-0.0269695266318914
CVIX.INDEX,0,0,0,0,0,-0.0549469517692898,0,-0.101923841250882,0.38263217392271,0,0,0,0,0,-0.273631574902963,0,0,0,0,0.103536770431327
DXY.INDEX,0.0354952489342589,0.0211112412877297,0,0,-0.0372272695815021,0,0.0139924505609077,0.0201706287202508,0.00333878032529622,0,0,0,0,-0.0369321501082085,-0.00480630452533081,0,0,0,0,0.00795126488162784
SPX.INDEX,-0.00882318570544105,0,0,0,-0.000829151359642699,0,0,-0.0303884817430009,0,0,0,0,0.00884614459742367,0,0.0046881842538435,0.0541378165873806,0,0,0,-0.0637215881675214
VIX.INDEX,-0.615766677768491,-0.13301134691819,0,0,0,-0.30502522629557,-0.0543836656281608,0,-0.509533573144198,0.942290418608185,-0.139510416905863,-0.0000000000000000138777878078145,0.280100739514308,0,0.0325549269943332,-0.120455821569829,0,0,-6.22645528757729,0
