,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,TAGZ5,XTZ,INNBCL,LEO,XMR,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0821413101998347,0,0.170450164565407,0,0,0,0.0728713708188125,0,0.138956201173863,0.00349817134921524,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.287919770135874,0,0.177478261754824,0.075612235534887,0.00258822310315892,0,0.244517880308174,0.00609216391293318,0,0.121022794950912,0,0.0873393124103175,0,0,0,0,0
XRP,0,0.217984302210966,0,0.0790067730669495,0,0.0409278837951988,0.123811944604242,0.0261923977821957,0,0.114783079439946,-0.00256226002934557,0,0,0,0.117764888814067,0,0,0,0,0
BCH,0,0.38292723152611,0,0,0.163700082691772,0,0.21829416839851,0.131238480846145,0,0,-0.00695845916141153,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.400713156419639,0,0,0.493759638502118,0.162825633442093,-0.0320362175948914,0,-0.00316133657097313,0,0,0,0,0,0.0584374880850557,0,0,-0.0247714479771842
LTC,0,0.336103846793686,0,0.0420244524134417,0,0,0.153854970293051,0,0,0,0.0000491041070046526,0,0,0,0.312617611659688,0,0,0,0,0
EOS,0,0,0.101416073926734,0.263562693648031,0.226543247676062,0.210441555373395,0,0.0472920841305947,0,0,0.00321801511734671,0,0,0,0.0881787056525476,0,0,0,0,0
BNB,0,0.157622317933548,0,0.301032683349667,0,0,0,0,0,0.165062966606518,0,0,0.184901436458328,0,0,0,0,0,0,0
TAGZ5,0,0,0,0.385668898527513,0,0,0,0.0879991156022918,0,0,-0.000054861858624887,0,0,0,0.219888879888853,0,0,0,0,0.0750344774890463
XTZ,0,0.281827885928946,0,0,0.0661174899381518,0,0,0.538722255917169,0,0,-0.00271129912206363,0.180833228564093,0,0,0.170839396455622,0,0,0,0,-0.00253365858518233
INNBCL,0,12.9962173664981,6.23218100306179,0,0,0,-4.09206830872152,0,-0.159105078138788,0,0,0,-17.9767184309229,0,0,0,0,0,4.75786942306762,-0.749242657768504
LEO,0,0,0,-0.0479163167105486,0.125128953647845,-0.0706526213202885,0,0.15032557000131,-0.0394883278542017,0.129283309015814,-0.00113665250808728,0,-0.149634396141498,-0.0964484086698561,0,-0.00723173545476147,-0.0247094252141403,0,0,-0.0412537030948389
XMR,0.111609217722635,0.0376368708352595,0.0554938083715048,0,0,0,0.352197822620578,0.0446886266222318,0,0.140517143538618,-0.000333976154282156,0,0,0,0.175972298873408,0,-0.0277585950232917,0,0,0
XLM,0,0,0,0.224553331079112,0,0,0.210937223298695,0.103552302448777,0,0.0663538894004602,-0.00162836605405045,0,0.0744291024684426,0,0,0,0,0,0,0
ADA,0,0,0,0.140975337060871,0,0.425399385143967,0.0461919325223333,0.105604097149591,0,0.149157317363147,-0.000197109912325293,0,0.079186122321748,0,0,0,0,0,0,0
BV010082.INDEX,0,0.916955357467265,0,0,0.0936565882298564,0,-1.16071141989613,-0.672490258680811,0.212967633661848,-0.527297234457489,-0.0256082998901571,0,0,0.353590632862904,0.838216840996937,0,0.00566658656112099,0,0.251795387040147,-0.0954896959074732
CVIX.INDEX,0,0,0,0,0.28534029257045,0,0,0,-0.462912098366765,0.392133608195771,-0.00365303247757397,0,-0.464785349742847,0,0,0.288878074468438,0,0,-0.178352914595113,0.36935732488031
DXY.INDEX,0,0,-0.0876560895703939,0,0.0418076600926671,0,0,0,0.00516001177543682,0.0390742621321318,0.000381773902643718,0,0,0,0,0.00474597785857628,-0.0197565545792316,0,-0.0287905237577948,-0.0132022734368477
SPX.INDEX,0,0,0,0,-0.177360024738365,0,0,0,-0.0193287895969101,0.156445044857709,0.00480721889724826,0,0,0,0,0.0632755919779466,0,0,0,-0.275871454259076
VIX.INDEX,0,0,-0.134762203779298,0,-0.140474370018989,0,-0.448011220157473,0,0.328054672239585,0.283034475312032,0.0203791134072811,0,0,0,0,0,0,0,-1.98945804282108,0
