,BTC,ETH,XRP,BCH,LTC,EOS,BNB,ADA,XLM,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.159099725213607,0,0.0905436800035962,0.0533813080945016,0.0396029158140581,0.0139224579452027,0,0.05093650136537,0,0,0,0,0.0334172477983523,0,0,0,0,0,-0.00043004119543015
ETH,0,0,0.0649438362757085,0,0,0.274057357505614,0,0.0853086802005213,0,0,0.0498533907191789,0.122985076905057,0.0373001813645613,0,0,0,0,0,0,0
XRP,0,0.110231363543457,0,0,0,0.0707004919149403,0,0.0345473260333031,0.119023696877992,0.102822879910121,0,0.146750678717144,0,0.139792509942587,0,0,0.0444298249557985,0,0,0
BCH,0,0.298421861372831,0.173617491214906,0,0.0162651755691511,0.215576084240212,-0.0615232142319566,0.0822904958772535,0.106573202669067,0,0.217664707769626,0,0,0,0,0,0,0,0,0
LTC,0,0.252765109019905,0,0.15525060917523,0,0.105782845120294,0.143586585988877,0.143579329576229,0,0.224932731175869,0,-0.212489513152689,0,0.279811515390469,0,0,0,0,0,0
EOS,0,0.277977649581442,0,0.117734587332517,0.271213617302236,0,0.0651929025038501,0.0252177045483969,0,0,0,0.0972211839004122,0,0,0.25412719159462,0,0,0,0,0
BNB,0,0.305594603021645,0,-0.207273258467329,0.50502155262334,-0.00384190127267913,0,-0.0765443287756581,0.0515988813411687,0.57164544162923,-0.266677780360939,-0.00000000000000000346944695195361,0,-0.153584723443891,0,0,-0.378089843022667,0,0,-0.0615187699676291
ADA,0,0.0385958047107693,0,0.194175058875261,0.197496986911453,0,0,0,0,0.0638231699593695,0.117560993772363,0,0,0.122252311946039,0.192977818039167,0,0,0,0,0.000728216239741486
XLM,0,0,0.271340306740642,0.0294461191086575,0.150485508181645,0.0633675055082708,0,0,0,0,0,0,0.16488134991112,0.101558297503968,0,0,0,0,0,0
TRX,0,0,0.399223498091693,0,0,0.0139982626629808,-0.108099329692723,0,0.0588478073904774,0,0,0.245406182781952,0,0.0442328733672596,0.0775838069495021,0,0,0,0,0.0488123897762044
BSV,0,0.148984932699868,0.14027920103628,0.238993038942615,0,0.0322923848610426,0,0,0,0.0437270918795841,0,0,0.0319478087760535,0,0.113818478044221,0,0,0,0,0
XMR,0,0.212968534424624,0,-0.0990457287569698,0,0,0.0614332698580963,0.0342410159292741,0.189973602476499,0.231062075646771,0.150551141135918,0,0.15097682922708,0.0930400048613485,0,0,0,0,0,-0.0222668082302779
DASH,0,0.119885062689754,0,-0.00000000000000000346944695195361,0.0610847085195163,0.102955652174658,0.0441897701720183,0.170133084313893,0.119968693665288,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.283035792377153,0.235098694223621,-0.0315370099463201,0.0380155682910355,0,0.00315246552983512,0.0959805272112126,0,0,0,0.153696841140387,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0493261415679186,0.18166081522834,0.120466522646019,0.360362503016246,0,0,0.0110844542627947,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0206498920317994,-0.186328917021634,0,0.109760578278166,-0.201130429169347,0.0927959851441831,0,0.250037020823442,0.194440993714553,0.0714894517240471,0.0548689560663761,0,0,-0.154614950684094,0,0,0.0201740905528057
CVIX.INDEX,0,0,0,0,0,0,0,0,0,-0.0483934283208432,0.00000000000000000173472347597681,0,-0.135157778019908,0,0,-0.314184475433054,0,0,0,0
DXY.INDEX,0,0,0,0.00000000000000000010842021724855,0.00868226233701162,-0.0032873010673598,0.00105360602987515,-0.00722337987353,0.0120757822571362,0.00969242593260296,0.00867851992018061,0,0.0176294293364192,-0.0515070536716828,0,0.0553407903678595,0.0457886902085914,0,0,0.0117700841817521
SPX.INDEX,0,0,0,0.000723285611301856,-0.0182535484770218,0,0.00192542064163489,-0.023314789371865,0,0,0,0.0240470045798397,0,-0.0057413121728541,0.0320071569824198,0,-0.0195690538637202,0,0,-0.079135288991401
VIX.INDEX,0,0,0.0891404904756133,0.158896490889958,0,-0.369384654494271,0.073934289442756,0,0,0,0,0,-0.1778323082468,0,0.0777082627304037,0,0,0,-4.1319505924366,0
