,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.359725317842641,-0.0567800430532823,0.000508173783167252,-0.0165344072507539,0,0,0,0.000932902267548036,0.00363326960034932,0,0,0.0292769166394077,0,0,0.00138364000364665
ETH,0,0,0.0963783370022054,0.402921391416264,0.176667420932139,0,0,0.0171294086057562,0.170294797035784,0.142315702529816,-0.00000000000000000173472347597681,0.0238400897408422,0,-0.457662702360413,0,0,0,-0.200338404707562
XRP,0.146060776772056,0.0699285282267298,0,0,0.0169071927085226,0.0620713976756169,0,0,0,0.10969927899534,-0.0317318470945166,-0.103413644937457,0.170407421082742,-0.316933114978414,0.134938221732805,0,0,-0.0512896664927951
LTC,0.575546447226239,0,0,0,-0.0467001533470996,0,0.00215181297660966,0.0936762311693441,0,0,0,-0.0276302586900926,-0.0320705038987407,0,0,0,0,0
XMR,-1.01880220878167,0,0,-0.202841557359508,0,0.0759684718477057,0.472925041266599,0.110575707691204,0,-0.0110189545913736,-0.0274690241851648,0,0,0,0,0,0,0
ETC,0.0338982037710992,0.0818041065783889,0,0,0.0200034248117704,0,-0.169610147685632,0.210164070751718,-0.252531681190244,0,0.0154906597754926,-0.0638360688675991,0.475344365090588,0,0,0,0,0.113390376259537
DASH,0,0,-0.0936415120103723,0.11893573244967,0.0667034594108879,0,0,0,0,0.0944862983098706,-0.0610170126377032,-0.144078720407273,-0.038861921437533,0,0,0,0,-0.0429092023434043
XEM,-0.460580280942261,0.0833882970889833,0,0.499085385364918,-0.0322486925932932,0.146402346882167,0.184881642345255,0,-0.0384149217331387,0,0,-0.0570138246123452,0.287582095983618,0.0079845157574198,0,0,0,0
DOGE,0,0.158421173214793,0,0,-0.0682919646254624,0,0,0.0496485262954227,0,-0.0338327295484469,-0.0122712314414945,0.0288534014935529,-0.103866748218999,0,0.116519012976293,0,0,0.0385907805008465
XLM,0,0.110484569990779,-0.130502316506298,-0.5926271315055,0.169974873202134,0,0,0,0,0,0,0.0595952603648457,0.560741764373941,0,0,0,0,0
ZEC,0,-0.216515837030641,-3.17309224882364,0.876865630403671,0.383904268484456,0.265022083279312,-4.38522173567615,0.107415318516334,0,0.6777233612023,0,-0.297325226521105,-0.843489607338639,0,0,0,0,-0.686888961100318
NEO,0.683281094852886,0,-0.867932611489126,0,0.252716700224102,0,-1.06017504033273,-0.155206394122839,0.499551713493659,0,0,0,0.503661917542091,0,0.412612949291941,0,0,-0.160899058041912
DGB,0,0,0.154013479408426,0,0,0.0931226339341356,0,0.100733164423851,0,-0.0193431211132763,-0.01558316404296,0.086703390107798,0,0.31041456195989,0.0715049819708584,0,0,-0.0390915082415492
BV010082.INDEX,-0.105165263195342,-0.00467477741761444,0,0,0,0.0795706639793777,0,-0.0129482251845567,0,0.0093271296323362,0,0.00483027553405172,0.0500908772336864,0,-0.101775850677249,0,0,0
CVIX.INDEX,0,0,0,0,0,-0.0617888081129939,0.240751057469564,0,0.0533498181853416,0,0.0130138565671261,0.0531855032010943,0.0893115798677997,0,0,0,0,0.246105371383809
DXY.INDEX,-0.0117469083789458,0,-0.0135013185441121,0,-0.00302381076890477,-0.0051149167089153,-0.00329814361772264,0.0365064482145919,0,-0.0113506924266614,0.00289990235967457,0,0,0.0696739298853678,0,0,0,-0.0187925154288956
SPX.INDEX,0.0190694265344402,0,0,0,0.00757118854398582,0,0.0116699958714912,0.00184993869166647,0,-0.00398832866335092,-0.0000544570210892507,0.0161187086422496,0,0,0,0,0,-0.0356204887868218
VIX.INDEX,0,0,0,0,0.0448146032536954,0.169957752600392,0,-0.237159006412666,0.00000000000000000693889390390723,-0.0795120577819042,0.0240136239271557,0.0724565400461694,0,-0.301520045625549,0.660734182588315,0,-4.59390099183028,0
