,BTC,ETH,XRP,BCH,LTC,ADA,EOS,NEO,XLM,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.186456018263716,0,0,0.0992953311181663,0.0457288524878965,0,0.0966289071477211,0,0.0644881550431325,0,0.0866651702228403,0.038101668802491,0,0,0,0,0
ETH,0.122907177617746,0,0.0723813087566903,0,0.0901312574114737,0,0.0539761619355351,0.0183740915570167,0,0,0.0265681985001155,0.421101371339449,0,0.0121587164111325,0,0,0,0,0,0
XRP,0,0,0,0,0,0.243528571009393,0.0128426597059699,0.0470698407637656,0,0,0.0110585808210351,0,0.154405179749372,0.0881110198454664,0.0944109428043185,0,0,0,0,0
BCH,0,0.0103079132110365,0,0,0.130668225217593,0,0.0481313158546102,0.151376340619033,0,0.114863554171689,0,0.354735666114843,0,0.0166994333272055,0,0,0,0,0,-0.00707622978011829
LTC,0.0642657670404495,0,0.00000000000000000346944695195361,0.204112974456188,0,0.0566222165352745,0.02521157404142,0,0.0604637553151235,0.0375560534038433,0,0,0.034673983437176,0.00857870139920326,0.170825960260955,0,0,0,0,0
ADA,0,0,0.129035142634032,0,0,0,0.337728772591276,0.124466590288047,0,0,0.154080237007132,0,0.0512016139353852,0.00000000000000000173472347597681,0,0,0,0,0,0
EOS,0,0,0.0931344811938486,0,0,0,0,0.11635781499162,0.0865979118016621,0,0.121210046820531,0,0.124658810573543,0,0.322006841266707,0,0,0,0,0
NEO,0,0,0,0.186278012153622,0,0.233494739867533,0,0,0,0.0716257089369029,0.0470861317021018,0,0,0,0.276763768944606,0,0,0,0,0
XLM,0,0,0,0,0,0.00000000000000000693889390390723,0.102681144752695,0.0303172206345387,0,0,0,0,0.0118392567217718,0.324724303601904,0.268144442999564,0,0,0,0,0
MIOTA,0,0,0.14291512931614,0.261711997354147,0.111689674127429,0,0,0,0,0,0.175121082830609,0.0795214095129989,0.135918111412985,0,0,0,0,0,0,0
XMR,0.318329255821255,0,0,0,0.237971006536436,0,0.0282423368171061,0.200056431907412,0.0244478119551468,0.078597343679028,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0649665037980204,0,0,0.0335403104682638,0.0727876705461194,0,0,0.206265557276642,0,0.0660818980843954,0.15073520772638,0.120169265002219,0,0,0,0,0
XEM,0,0,0,0,0.209345068204187,0.321779690081987,0,0.0000000000000000138777878078145,0.147490218937122,0,0,0,0,0.242910796063393,0,0,0,0,0,0.0835710344482168
TRX,0,0,0,0.0380985181808322,0,0,0.229218181304807,0.251639428914058,0,0,0,0,0.216635391288268,0,0,0,0,0,0,0
ETC,0,0,0.0918869478479943,0.209866979536693,0,0,0.291639549461834,0.158973054984026,0,0,0,0,0.101081283034363,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.03222249268087,0,-0.0366635627188245,0.0180791683057984,-0.0571615141808333,0,0.0422041932634186,0,0,0,-0.0172123945836486,0.0180849048501217,0,0,0,0,-0.0277909212612881
CVIX.INDEX,0,-0.110890956411001,0.0957833845811033,-0.109330666636885,0.0411102362095042,0.0829642456616692,0,0,0.0362207805407629,0,-0.00755503606975421,0.125296959099159,-0.147669509623011,0,-0.0139708262966132,0,0,0,0,0.0843776268122389
DXY.INDEX,0,0.0253737365262623,0.0113055818843728,-0.00187382219474176,-0.005207425655951,0,0,-0.0249220030982866,-0.00753632466392121,0,0,0,-0.00225098524212953,-0.00824455224602018,0.0136049906519204,0,0,0,0,0.00991181973327495
SPX.INDEX,0,0,0,0,0.0119410604482854,0,-0.00494202524243046,0.043706678544683,-0.00344145475920835,0,0,-0.0242319845592409,0.0195460518398122,-0.0498662661760171,0,0,0,0,0,-0.0596674857554036
VIX.INDEX,-0.155849853976442,-0.242668288884106,-0.513443108614095,0,0,0,0,0.22696177371762,0.165928646704477,-0.224889212512796,0,0,0.105413510116269,0.678287104789062,-0.0142123455681173,-1.28001160618634,0,0,-3.93415676151526,0
