,BTC,ETH,XRP,BCH,LTC,ADA,NEO,EOS,XLM,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.209412788490307,0,0,0.0967786894724329,0.126100854271228,0,0.043574782058863,0,0.0822752664971622,0,0.00264646088308208,0.037786444965426,0,0,0,0,0
ETH,0,0,0,0.116609683771775,0.0962658932189219,0.0294496114759261,0.0773342153657233,0.00428445893330144,0,0,0.149219114788955,0,0.057228387867228,0,0.146669855971306,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.141848434742204,0.225889879571531,0.0623435913376979,0,0.0873631144627416,0.283484482995418,0.0923712512645685,0,0,0,0,0
BCH,0,0,0.0599336478886763,0,0.0865962939021189,0,0.237430219480067,0,0,0.00853467465492875,0.115171781553859,0,0.0507870220226619,0,0.197017016879439,0,0,0,0,0
LTC,0,0,0.0362785507499954,0.163578548253331,0,0.0173273760385607,0,0.0556989229162701,0.0581023669347564,0.0146303452648261,0.0209129990473199,0,0.0183272175103938,0.0190287936171298,0.197564624302178,0,0,0,0,0
ADA,0,0,0,0,0,0,0.112287120726657,0.307677371926591,0,0,0.165797507787694,0,0.0360313283647337,0.0463737009850687,0,0,0,0,0,0
NEO,0,0,0,0.137727565457382,0,0.193661424325361,0,0,0,0.0192246097954846,0.0766945088545073,0,0,0,0.296644235975542,0,0,0,0,0
EOS,0,0,0.0195489229799095,-0.0000000000000000138777878078145,0,0,0.0968003651754655,0,0.186839046588664,0,0.0807129863814667,0,0.123760626030648,0.0241893304938511,0.312105981039625,0,0,0,0,0
XLM,0,0,0.223883386807897,0,0,0.274340944604665,0.00784234698055343,0.0851463060800228,0,0.10787592185745,0,0.0622071896516422,0,0.110667466657966,0.0850383398453157,0,0,0,0,0
MIOTA,0,0,0.14291512931614,0.261711997354147,0.111689674127429,0,0,0,0,0,0.175121082830608,0.0795214095129994,0.135918111412985,0,0,0,0,0,0,0
XMR,0.0367526958820123,0,0.0411184478857987,0.0135754335187948,0.357236386836379,0,0.207798012755819,0.0141352791749762,0.0652411599139767,0.148028448894609,0,0,0,0,0,0,0,0,0,0.0241572655169091
DASH,0,0,0,0.0503460785727748,0,0,0.0676930020964154,0,0,0,0.174250093105312,0,0.0763412061383778,0.182298937552812,0.105276525795389,0,0,0,0,0
XEM,0.153759961976205,0,0.0000000000000000277555756156289,0,0.266140181818895,0.312315511429345,0.116025105845611,0,0.156697577179043,-0.118998029893032,0,0,0,0.132501085301508,0,0,0,0,0,0.0882069402145113
TRX,0,0,-0.00000000000000000173472347597681,0.0492200926774826,0,0,0,0.136120979947002,0.229141602863908,0.24827980524818,0,0,0.204748403682546,0,0.0566791769120424,0,0,0,0,0
ETC,0,0,0.164097042119732,0.294280389652663,0,0,0.0920020533620974,0.20173135051981,0,0,0,0,0.109084240768401,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0305143014532041,0,-0.04005040222832,-0.0556903723951339,0.0277100291483171,0,0.0409242780846503,-0.00415217865863159,0,0,-0.0157504800129836,0.0152025688496965,0,0,0,0,-0.0285143382071596
CVIX.INDEX,0,0,0,-0.00806120522831729,0.0197140173687373,0.116109227399177,0,0,0,0,0,0,0,-0.0469042362048595,-0.0786367445059583,0,0,0,0,0.063673754982814
DXY.INDEX,0,0.0259597245242764,0,0,-0.00295081599774692,0,-0.0229487581280167,0,-0.00530870646159408,0,0,0,-0.00208856461662905,-0.0108076576431257,0.0162970636309076,0,0,0,0,0.00939715898774414
SPX.INDEX,0,0,0,-0.00640224964873153,0,0,0.0375256616185159,0,-0.00668458907424038,0,0,-0.00650627655773332,0.0216374159968084,-0.0262729720210077,-0.0173742274669784,0,0,0,0,-0.0613935148297194
VIX.INDEX,-0.691242509974679,0,-0.375244537490471,0,0,0,0,0.0981730360296734,0.261056389010058,0,0,0,0.10396543500882,0.539516784868441,-0.0606865308617195,-0.696841540170094,0,0,-4.23429768700565,0
