,BTC,ETH,XMR,XRP,LTC,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.306570794849434,0,0,0,0,0.00959570369741243,0,0,0,0,0,0,0,0
ETH,0,0,0.167797400976779,0.212486144741484,0.0679778563798497,0,0,0.0820582763574239,0,0,0.168349623498979,0.143552924737613,-0.0438325532945764,-0.386397869541907,0.0000000000000000138777878078145,0,0,-0.148442957299003
XMR,-0.312474446866522,0.175932223591848,0,-0.320116509610907,0,-0.154128851840284,0.28210963286889,0.633580686503091,0,0,-0.017304956476572,0.264823357287139,-0.239894057176512,0.0873362646837934,-0.0559952529068532,0,0,0.155165545705577
XRP,0.0844070219327847,0.0770329327726227,0.0113034796720633,0,0,0.0590699553990793,0,-0.00887725145446707,0,-0.0564113988736314,0.102369557731384,0,0.144624777363846,-0.199244552630996,0,0,0,0
LTC,0.743418986867964,0,0,-0.18871363626562,0,-0.0374599085976202,-0.0327974928815865,0,0,-0.0168286801638092,0.0103823064475562,-0.0669901479723272,0,0,0,0,0,-0.065709844135076
ETC,0.543679889387179,0.0923130106678157,-0.000000000000000000216840434497101,-0.793869297615598,-0.412954005206486,0,-0.188997353875083,0.167576720937358,-0.124875091092696,0,0.0338468981016331,-0.0159382697137967,0.5802895463137,0,0.198814492869632,0,0,-0.108932227100284
DASH,0,0,0.0308968223322,0,0.156493447808233,0.297643147408247,0,0.166225770979149,0,0.0186037790038444,0.0547587795493058,-0.0253703058220329,-0.206776358658647,0,0,0,0,0
XEM,-0.398924812483019,0.145627041169333,0,0.574384312299439,0.14267694288389,0,0.237115181778769,0,-0.0169390791943775,0.0109181557754354,-0.0874127160478064,-0.0246290384964306,0.249902601354487,0.696518260264279,-0.0262510876938665,0,-0.523718327901589,-0.120519801118442
DOGE,0.00000000000000000173472347597681,0.0672612093169025,-0.142930702175111,0,0.132624876328052,0,0,0.0544778070750555,0,-0.00125100698089403,-0.01041082105394,0.0992950885837455,0.0233628312172137,0,0.11815509568118,0,0,0.0197420893559544
ZEC,0,1.16789227406353,0,-1.86202531410249,0,0.767096825559676,0,-0.298316389728177,-1.11214449085037,0,0,0,0,0,-0.282133834898413,0,0,-0.181008423680511
XLM,0,0.213748808210642,0.0280252193756211,0,0,0,0.235195347606663,0,0,0,0,0.0803338940743794,0.240324812086721,0,0,0,0,-0.0788365539615895
NEO,0.66450489679719,0.0689164449310514,0.133511330461135,0.584597636129551,-0.452067143205877,-0.22866379739454,0,0,0,-0.0665214276280217,-0.00846915967614721,0,0.0962246395308784,0,0.0358613556831093,0,0,0
DGB,0,0.0991608893213511,-0.00000000000000000693889390390723,0,0,0.198191243579915,0,0.135903364695874,0,-0.0257392003898863,0,0,0,0,0.251892386097286,0,0,-0.0554930027862646
BV010082.INDEX,0,-0.0727286856915177,0.067751029633592,0.056650144032713,0,0.0148370276640029,0,-0.0408245688638693,0,-0.0295684655246687,0.0222387001823448,0.00418520068402199,0.0172627238896007,0,-0.334525230770298,0,0,-0.0660468907711361
CVIX.INDEX,0,0,0.0456646219473495,0,0,-0.0739524592661219,0.185156749968317,-0.176383212156357,0.216952368374533,-0.0182979469436832,0.00862238398148606,0,0.103945485129318,0,0,0,0,0.192539722028357
DXY.INDEX,0,0.0217605510412169,-0.00892647629500294,-0.0363703864080678,0.000000000000000000216840434497101,-0.0136160016661958,0,0.0153147373204009,0.0267685956707214,0,-0.016213920451498,0.00539303358034524,0.0308501858722996,0.100877356369878,0,0,0,-0.0199628814936096
SPX.INDEX,0,0,0.00709680910955719,0,0.0033568310866733,-0.00081126190601207,0.0158092831329833,0,-0.000537770131740065,0,-0.00710807064071246,0.0195290887162073,-0.00491407965863969,0,0,0,0,-0.0487922325896549
VIX.INDEX,0,0,0.025090966487753,0,0,0.229855134692744,-0.110545481830022,-0.466222126746463,0.0719554225827638,0.123282525049598,-0.0504899688461583,0,0.031946870708709,-0.558229997043373,0.839732847623539,0,-5.13198603036792,0
