,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.251453411294821,0,0,0.140456951245307,0.0501720893601371,0,0.0267263438720569,0,0,0.0919018556757865,0,0,0,0,0,0
ETH,0,0,0,0.0545011961990836,0.217565356066625,0,0.0342530666585509,0.161722778340876,0.154759078211923,0.0906051665251757,0,0,0,0.0484055258429969,0,0,0,0,0,0
BCH,0,0,0,0,0,-0.00571795698101069,0.0654267924683947,0,0.392709822575739,0,0.339138502064491,-0.0863316133134085,0,0.0545386693162922,0.0481313082821286,0,0.233829885803459,0,0,0
XRP,0,0.359352210120238,0,0,0,0,0.0200269695979429,0,0.183566911574536,0.110493651630245,0,0,-0.0545355044182512,0,-0.00922745337833412,0,0,0,0,0
LTC,0.204183095687456,0,0,0.218617096488184,0,0,0,0.147355671821273,0.0211617970867906,0,0.534562331433769,0,-0.0243905370081364,-0.00250829018646221,-0.00531919358356927,0,0,0,0,0
DASH,0,0,0.0149520779972932,0,0.216646089075565,0,0,0.107710576040766,0.148129268170247,0.118613400002495,0,0,0,0.0643690450089181,0,0,0,0,0,0
NEO,0,0.610979129012501,0,0,0,0,0,0,0.187497124365056,0,0,0,0,0.18324936357284,0.188903602469169,0,0,0,0,-0.228548882500196
XEM,0,0,0,0,0.168206706660931,0.151916636122846,0.0782423695534945,0,0.50200371792943,0.148056283026134,0,0,0.0339220678313911,-0.0279601519975501,0.0224603361275692,0,0,0,0,0
XMR,0.24579105582042,0,0,0.0733945083239254,0.0874581256327782,0.301500313002843,0.0696831349370395,0.15804599735714,0,-0.00197910679820132,0,0.0482295903388047,0,0.0382625014466231,0,0,0,0,0,0
MIOTA,-0.450734466102655,0,0,0,0,0,-0.2105642755056,0.556194008674579,0,0,0.0344889715094314,0.404432930895142,0.0940158528235397,0.412605039647369,0.0954062887348656,0,0,0,0,0.0326414846915277
ETC,0,0.0598338457186116,0.10329146905258,0,0.609838795044667,0,-0.000000000000000000216840434497101,0.0761979344312329,0,0.134373141098792,0,0,0,0,0.041933096102825,0,0,0,0,0
ZEC,0,0.160754731984154,0.038675140925996,0,0,0.13992948694321,0,0.149505990055046,0.0528560802419192,0.19299017096844,0,0,0,0.122605664048185,0.0527094367645721,0,0,0,0,0
ADA,0,0,-0.108557817783392,0.404995968923347,0,0,0.102607553961114,0.154982725664984,0,0.397609523841902,0,0.0938575772089096,0,-0.464831159889012,-0.256498422195572,0,0.594136264128342,0,0,0
EOS,0,0.273166412859024,0.100123070551146,0,0,0,0.11395007212303,0,0,0.0892147304502628,0,0.475099603676799,-0.115875065238262,0,0.0430766795684304,0,0,0,0,0
XLM,0,0,0.0367167148323469,0.175604006875154,0,0,0.192009392548849,0,0,0.792062531224261,0,0,-0.156843329724359,-0.0498896736654287,0,0,0,0,0,0
BV010082.INDEX,0.00165010117191907,0.0298005091998937,-0.0334377901060194,0,0,-0.0351692450657375,0.0303324846110073,0,-0.0899810572557857,0.00496926265632587,0.0175072894015145,0,0,0.0417640311943574,0.00807415673194784,0,0,0,0,-0.0724495194861773
CVIX.INDEX,0,0,0.0961135526400126,0,0,-0.10633369541869,-0.0112120655110366,0.0546470131955309,0,0,0,0,0.0261355805630385,-0.0674350505201295,0.00533119296941196,0,0,0,0,0
DXY.INDEX,0,0,0.0092755583173027,0,0,-0.0329011791937797,0.00697589790801994,0,-0.00109892287554426,0.00751269254066025,0,0.00676249139020882,-0.00145968506057496,0,0.00186499374135374,0.0122378168852304,0,0,0,-0.0142354100293231
SPX.INDEX,0,0,0,0,0,-0.00292781540698062,0.0011023016380162,0.00217675640969363,0,0.00433486249833322,0,-0.00942164787899305,-0.00208309672453634,0,0.000301716081708453,0,0,0,0,-0.0364029989359166
VIX.INDEX,0,-0.00631933557162506,0,0,0,0,-0.0127048755945497,0,0,0.160522221059344,-0.143870840129556,0.228141153223164,0.0576910610062714,-0.108839984571931,0.0360122843496205,0,0.241479300196268,0,0,0
