,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,DASH,XMR,TRX,XLM,ADA,XTZ,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.069931280446602,0.0268198909704666,0,0.126392064862338,0.199892705643476,0.0248876561856774,0.00650337426691459,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0764697700125166,0,0.316156303554014,0.150812369411642,0.0114463705356116,0,0.125466663593778,0.051938054100242,0.103639219583348,0.0674084910055963,0,0,0,0,0,0,0
XRP,0,0,0,0.207224806981314,0.0194154116251877,0,0,0.162464328289254,0.0142833981286678,0,0,0,0.181014717337428,0.0512284672029128,0,0,0,0,0,0.0300117679782334
BCH,0,0,0.134455784760189,0,0.201207627063805,0,0,0.481253543062841,0.0231179009522301,0,0.183735654170272,0,0,-0.058746157037176,0,0,0,0,0,0
BSV,0,0,0.322954940169492,0.779985890641024,0,0,0.190446714269256,0,-0.587950426886989,-0.0129121490582906,0,0,0,0.120508076904552,0,0,0,0,0,-0.0535325291224419
LTC,0,0.0654417818088923,0.0494930339884667,0.0259065749370023,0.0204022758013106,0,0.521333113144784,0,0.0455558045161007,0,0.031176230927343,0,0.101468269440077,0.0161324770640401,0,0,0,0,0,0
EOS,0,0.100185371658393,0,0.0848345487541901,0.0611500119118789,0.560207964089636,0,0,0.0161410084070966,0.0120874708149811,0.0183944507465628,0,0.0920275666662094,0,0.049263800201776,0,0,0,0,0
BNB,0,0,0,0.00492857374550962,0,0.407368782543794,0.00631443144943789,0,0.11501181955164,0.17156832379438,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.537680922869353,0,0,0.521095382401005,0,0,0,0,0,0,0,0,0.00593577712775149,0,0,0,0,0
XMR,0,0.0430947048448288,0,0,-0.0704572913300406,0,0.0185316083028807,0.622128941480473,0.120886002643877,0,0.0185096446695306,0,0,0.038569295695191,0,0,0,0,0,0
TRX,0,0,0,0.0797174793111868,0,0.192957643987543,0.103742041290516,0.0732070335444491,0.039664094651501,0,0,0.108237510911923,0.0638465871199083,-0.0583031221703525,0.212133714186553,0,0,0,0,0
XLM,0,0,0.18652537870415,0.0133249239645482,0,0,0,0,0,0,0.205768446020573,0,0.335786409347771,0.104201626000073,0,0,0,0,0,0
ADA,0,0.306568941187562,0,0,0,0.0118505778949203,0.0860009438434331,0,0.0921914293378339,0,0.18534461952394,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.631229707143937,0,0.00591661035544469,0,0,0.325546340816052,0.164359990257613,-0.318502804385566,-0.422979851073875,0.200628601533609,0,0,0,0.241882904303696,0,0,0,-0.0658152776905416
ETC,0,0,0,0,0.00224989729494459,0,0,0,0.379700340861968,0,0.217271978674518,0,0,0.0803163197890073,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0319367317956793,-0.316526785054126,0,-0.0719180405991674,-0.00493239724313612,0,0.310113963087296,0.0666699333859239,-0.0211449740038276,0.0275452261052343,0.043537442074104,0,0.0763720656211489,0,0,-0.0393848322215261
CVIX.INDEX,0,0,0,0,-0.0171801217924806,0,0.198946813543127,0.209665295326689,0,0.194600541611704,-0.0941550688569582,0,-0.171963244982378,0.0453055819445614,-0.228555715775664,0.975563948146607,0,0,0,0.125171773269484
DXY.INDEX,0,0,0.0173953591822741,0,0.00585358746840987,-0.0408492106114273,0,0,0.00476049538706299,0,0,0.0274783027403364,-0.0399723873879468,-0.00445929298703909,0.0144790624404277,0.0411499099465019,0,0,0,-0.00770486552155674
SPX.INDEX,0,0,0,0.00256643660087114,0.00364662366900271,0,0.0119321424521303,0,0,0,0.00925883331026698,0,0,-0.00189862125284239,0,0.034279495405473,0.0120786411790404,0,0,-0.0378726368297936
VIX.INDEX,0.266144447065211,0,-0.237889781986709,-0.457958622256121,0.125399610817519,0,0,0,0.0521837355174823,0,0,0.390103508757835,0,-0.205706332299538,0,0,0.127627872863586,0,-5.54206564832168,0
