,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.16033350351916,0,0.0431033780798049,0.0394733535149833,0.10003889383707,0.02939439157467,0.0328680033855402,-0.000000000000000000216840434497101,0,0,0,0.0655540127625053,0,0,0,0,0,0,-0.000196972105885714
ETH,0,0,0,0.141815370404734,0.194655773494528,0.238251194485654,0.0194578871186951,0.0327284663034035,0,0,0.0793405650734807,0,0.0123070643153781,0,-0.00000000000000000173472347597681,0,0,0,0,0
XRP,0,0.04850258336608,0,0.0776706866221968,0.0868437415281799,0.120598922430499,0,0.151365598633523,0.0463404787136161,0,0,0,0,0,0.0712909217856891,0,0,0,0,0
EOS,0,0.27883116234119,-0.107986195674461,0,0.202064250609243,0.188330433426438,0.0473550029321314,0,0,0,-0.0543155660030224,0.087907173746187,0.120870831645216,0.242341444592911,0.156646993363002,0,0.0089005874341722,0,0,0
LTC,0,0.260673359864468,0,0.186229215618452,0,0,0.112495293013712,0,0.14656393827949,0.183570234475691,0,0,0.281810964943068,0,-0.12701012982983,0,0,0,0,0.0447215831828791
BCH,0,0.320124978088112,0,0.150478444325203,0,0,0,0.0788820148423548,0.199939956782729,0,0.211423711249722,0,0.042480839090262,0,0,0,0,0,0,0
BNB,0,0,-0.362353722530569,0.0446241431262376,0.327844219514304,0,0,0.0605544843033032,0,0.521598443020526,0,0.197170315085437,0,0,0.000000000000000000433680868994202,0.0770267668897666,0.000000000000000000867361737988404,0,0,-0.0832404412260708
XLM,0,0.0112498153476736,0,0,0,0.340042548524731,0.0440425536491912,0,0.0316029149725259,0,0,0,0.105044200862471,0.109184352232077,0,0,0,0,0,-0.0155091438591441
ADA,0,0,0,0.107681615072362,0.192239771954224,0.337644493177639,0,0.00497602131252228,0,0.0616337263335564,0,0,0.164431846179204,0,0,0,0,0,0,0
TRX,0,0,0,0.124376345727969,-0.0272347900765506,0.102094816422531,-0.0566336609764745,0.298331929684112,0,0,0.223194662569811,0,0,0,0.0596831110682577,0.187971148710341,0.0541663632645818,0,0,0.0697233684589134
BSV,0,0.186721248368052,0,0,0.0408973498477321,0.265504934144289,0,0.0468464711694726,0.0899778129021188,0,0,0,0,0,0.0919687844949768,0,0,0,0,0
XMR,0,0.0721263802554507,0,0,0,0.119977410871079,-0.00000000000000000173472347597681,0.226901474603311,0.0879399631903048,0,0.0669570249353507,0,0,0.0332815825948273,0.041614566202874,0,0,0,0,0
MIOTA,0,0.0504572360812443,0,0.145475032503032,0,0.348449953831364,0,0,0.0469105485020454,0,0,0,0,0,0.0224093335842349,0,0,0,0,0
DASH,0,0.150612560692736,0,0.0499240077467768,0.0709377874549471,0,0,0.0856954866850527,0.221137605173415,0,0,0,0,0,0,0,0,0,0,0
MKR,0,0,-0.508586272819544,0.31808027363492,0,0,-0.013877428648855,0,0,-0.109529001070243,0.597899050533156,0.269285108099954,0,0,0,0,0.127360108543011,0,0,0
BV010082.INDEX,0,0.0249423184131915,0.254113424828705,0,0,0,0.0360587742835337,0,-0.246964628618731,0,0,0.0898820365595211,-0.230189432078435,0,0.122024253952777,0,-0.139390618204989,0,0,0
CVIX.INDEX,0,0.256477895272933,0.311171199058781,-0.00470884630228737,0.014730044882505,-0.462216359268015,-0.0116454471166024,0.0479996093447653,0,0,-0.0235175453100661,0,0,-0.148416805940784,0,0,0,0,0,-0.103438168953233
DXY.INDEX,0,0,0.0136790588358478,-0.000000000000000000433680868994202,0.004507225439529,0.0441853447646811,-0.00670790658101542,0.00667663503932003,0,-0.0481775183308474,0.00435786386539776,0,-0.0583403347016941,0.0235362740180265,-0.00410013497106154,0.0436918036927604,0.0518034054830569,0,0,0.0365962976469656
SPX.INDEX,0,0,0,0.00609372480417331,-0.00544347022663167,0,0.000749265983654001,0,-0.0291107577318977,0,0,0,0,0,0.0144966575807723,0,-0.0304015145124783,0,0,-0.0775748398693385
VIX.INDEX,0,0,0.195824177064163,-0.331742220288271,0,0,0,0,0.0577022209936685,-0.0170692059585333,0,0,0,-0.110214450163143,0.086278676047393,-0.321654130858071,0,0,-4.11976715545743,0
