,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0875863424411528,0,0,0.104613234965145,0,0.154685968183047,0,0.0225875573887085,0,0.111220875395729,0,0,0.0213208058254814,0.0702317889689297,0,0,0,0,0
ETH,0,0,0.181493881662381,0,0.207026863252137,0,0.120642451269975,0.0207111382673406,0.058861059518825,0.201143334982002,0.0258951356682032,0,0,0,0,0,0,0,0,0
XRP,-0.12524943578388,0.436567197270026,0,0,0.00000000000000000693889390390723,0,0,0.0137373916307855,0.230753608634989,0.0993775390208645,-0.0013713272713431,0,0,-0.00863233190576537,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0739673229179817,0.12128996853645,0.134315284449951,0,0.358961120563987,0,0,0.0523015222739064,0,0,0,0,0,0
LTC,0.197758344147097,0,0.21520314563735,0,0,0,0.148154604799867,0,0.01981841854168,0,0.542936480667069,-0.0452507108651633,0,-0.0104085734094163,0,0,0,0,0,0
DASH,0,0,0.041104265777017,0.123772971234198,0.163438463275918,0,0.114142047949777,0,0.116951123811563,0.0557638894576116,0,0,0,0,0.0751816234337723,0,0,0,0,0
XEM,0,0,0,0.159521605005167,0.117080135180392,0,0,0,0.195174865104874,0.12200171325382,0,0,0,0.0459732194129328,0,0,0,0,0,0
NEO,0,0.202183122242209,0.0793973337384938,0.0983986148266569,0.0239475069025831,0,0,0,0.37211185807263,0.104878557003271,0,0,0.130660591860603,0.172072950630109,0.0841983293768162,0,0,0,0,-0.387304097225188
XMR,0,0,0.353274727854366,0.129879612908395,0,0,0.0995302519712108,0.0925533803566822,0,0,0.0914042533360876,0.229197980971283,0.201457256574774,0.019747766849045,0,0,0,0,0,-0.066458135702594
MIOTA,0,0.0812004841063645,0,0.172656904998995,-0.203538495205891,0,0.324241638078732,-0.176615560039823,0,0,0,0,0.192729362801916,0.112795218259924,0.385951823665222,0,0,0,0,0.294059732999201
ETC,0,0.340027574390108,0,0,0.566674484061476,0,0,0,0,0.0945189896784659,0,0,0,0.0574310220195489,0,0,0,0,0,0
ADA,0.483623518591708,-0.30918125291696,0,0.0878836293798653,0,0,0.0869958693227584,0,0,0.170043206988647,0,0,0,-0.186487055462238,0,0,0.928330266775067,0,0,0
ZEC,0,0,0,0.0140067972719069,0,0.155050955100158,0.154805253067918,0,0,0.203760310163507,0.0386762047902916,0,0,0.0511439258113617,0.201842097494863,0,0,0,0,0
XLM,0,0.132144006517395,0.142968305638586,0,0,0,0,0.186185681174571,0,0.754719091470353,0.00000000000000000346944695195361,-0.0673228746176116,0,0,-0.0653304397719055,0,0,0,0,0
EOS,0,0.330509645737099,0,0,0.0399770361886771,0,0,0.0477412358850826,0,0,0,-0.0972061945813347,0.677196802682126,0.0668519658358224,0,0,0,0,0,0
BV010082.INDEX,0,0.0426506067293548,0,-0.0405915751912287,-0.0290685620568353,-0.0457596696676083,-0.00242303990205176,0.0283640174927412,-0.065413574082115,0,0.0336118996191651,-0.00938582700912653,0.0108264317054765,0.00589988172259339,0.0454266367830312,0,0,0,0,-0.0674115386016776
CVIX.INDEX,0,0,0.036396818923718,0.0827824750461991,-0.0132096221638481,-0.127329401856108,0.131840412907407,-0.0210843142438661,0,0,-0.0766048199709486,0.00348029090811516,-0.0193254887393162,0.00581835236190391,-0.0244825582501042,0,0,0,0,0.0821986777309553
DXY.INDEX,0,0,0,0.0112545242474131,0,-0.0361609325748593,0,0.00796560020905603,0,0.00974070431499286,0,0,0.00239703082595167,0.00166772524595093,0.000640969776095712,0,-0.0127408403423425,0,0,-0.016379888298613
SPX.INDEX,0,0,0,0,0,-0.00384930110247895,0,0.0020493915381623,0,0,0,-0.00243130124780965,-0.00346423089896381,0.000450507812907538,0,0,0,0,0,-0.0341263619513079
VIX.INDEX,0,0,0,-0.0143725851439616,0,0,0,0.00278006495410906,0,0.197824493354775,-0.13030667025804,0.0423014355347822,0.258930247397772,0.0352174082975749,-0.208126501989445,0,0.160199509179606,0,0,0
