,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.103128832398684,0.396310993808227,0,0.164335374717955,-0.0321291942692571,0.0954719013378411,-0.124990960749487,0,0,0,0,0.0869986931222386,0,0,0,0,-0.0418589885302527
ETH,0,0,0,0,0.154354530856507,0.143509660583394,0.0979646221485142,0,-0.00000000000000000173472347597681,0.103953802164366,0.0368793054397349,0,0.0512827119374587,0.135197379451492,0.0550713220140343,0,0,0,0,0
XRP,0,-0.113555638842717,0,-0.000000000000000000433680868994202,0.150338908115882,0.222760589619256,-0.148859556125323,0.0811818573960125,0,0,0.106113570521281,0,0.212824110564796,0.232215923256593,0.129513280216577,0,0,0,0,0
BCH,0.188368273326451,0,-0.0109044845992923,0,0.189964459795117,0,0.15364736683967,0,0,0.262755889098597,0,0.205975545642161,0,0.0915750682878001,-0.023713505914547,0,0,0,0,-0.0231133191901571
LTC,0.227256308425565,0,0,0,0,0,0,0,0.0935348132526092,0,0.155507897271318,0,0,0.128640724793905,0,0,0,0,0,0
ADA,0,0,0.0876165864407891,0,0,0,0.0411542945678629,0.145487146218533,0.123149288558193,0,0.101265790169858,0,0.181099817955376,0,0.0268402526443079,0,0,0,0,0
NEO,0,0.177793616928039,0,0.140315210121403,0,0,0,0.0688628435279333,0,0,0.0695774757699089,0,0.15889299496599,0.233662030607207,0,0,0,0,0,0
XLM,0,0,0.22461239783925,0.0677082379896462,0,0.288956832214213,0.233636230209082,0,0,0,0.00000000000000000346944695195361,0,0.0729958923975814,0,0,0,0,0,0,0
EOS,0.111601328569229,0,0,0.106949495692955,0.0494798680857915,0.211967986402488,0,0,0,0,0,0,0,0.295320127159801,0.179535080803931,0,0,0,0,0
DASH,0,0,0.03036352157327,0.0764005043324064,0.177013587041877,0,0,0,0.112627235968172,0,0.107894123790923,0.0945199673028201,0,0.150258886689459,0.0311127885218132,0,0,0,0,0
MIOTA,0,0,0.104836253642008,0,0,0.0447580311243904,0,0,0.235527574189869,0,0,0,0.0728222852112817,0.271667024416349,0.0246031428663777,0,0,0,0,0
XMR,0,0,0.0223059391353489,0.279342935072633,0,0,0,0,0,0,0,0,0.0210243236123597,0.207136069979185,0.0467841355741555,0,0,0,0,0
XEM,0,0,0.154726760102298,0.00607948630497163,0.242287098878269,0,0.0874633467791087,0.186995459868118,0.0550087748967166,0,0.0972201152224321,0,0,0,0.0224893502027416,0,0,0,0,0
ETC,0,0,0.110395164712931,0.0600039088418527,0,0,0.0749746116892368,0,0.077927859728173,0.1867972959286,0.0213157034600991,0.15249764702813,0,0,0.0302743536424214,0,0,0,0,0
TRX,0.550260065370543,0,0,0.244810222021311,0,0,-0.506956825216813,0,0.0616537221253321,0.281393358265972,0.143073396147407,0.0888996674795166,0,0.181051444104601,0,0,0,0,0,0.0313843914950794
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204219075272158,0,0,0,0,-0.0428939349144403
CVIX.INDEX,0,0,0.0360270240042642,-0.0145211203783099,0,0.0215123087376482,0,0,0,0,0,-0.0633332688350656,0.0326250191635192,-0.0233470074826164,-0.0113256075093482,0,0,0,0,0.0554079088095893
DXY.INDEX,0,0.0131060142884053,0.0039755844169908,0,0,-0.00793906187853232,0,0,-0.0126999337937263,0,-0.00196767252970365,0,0,0,-0.00499014599377408,-0.0673332909394597,-0.0260167241277914,0,0,0
SPX.INDEX,0,0,0.00432113580407453,0,0,0,0.0269912766719371,-0.00216057615441936,0.00420765318338883,0,0,0,0,-0.0366745743207696,0,0,0,0,0,-0.0644019125500943
VIX.INDEX,-0.544931344727006,-0.0438345973161616,0,0.000000000000000000867361737988404,0.365964596963418,-0.00000000000000000693889390390723,0.206782982085956,-0.018484733258315,0.0358234798292037,0,-0.133011489636682,0,0,0.11643587923305,0.0337536026661738,-2.73815613716695,0,0,-4.49833345799454,0
