,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,MIOTA,DASH,TRX,NEO,ETC,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0983036168173798,0.117500117474198,0,0,0,0.135584323387058,0,0.0233320239633348,0,0.206942154056412,0,0,0.0667959902437362,0,0,0,0,0
ETH,0,0,0,0.331369546067936,0.0289362694139819,0,0,0.0677818260691268,0.168793206325029,0.0935852483380984,0,0,0,0.177798193433747,0.135691684356942,0,0,0,0,0
XRP,0,0,0,0.163628524275352,0.154486176354455,0,0,0,0.082825110702536,0.2235106272296,0,0,0,0.166449144494767,0,0,0,0,0,0
BCH,0,0.0479255922516888,0,0,0.307863463390239,0,0.201387233905453,0,0.198504617422355,0,0.0181706388568416,0.0589410994867189,0,0,-0.0406098752711313,0,0,0,0,0
EOS,0,0,0.0913733954606464,0,0,0.0242756254786799,0,0.0625873390970668,0.35640265788149,0.129472492466131,0.0635179255048137,0.127734412796102,0.156333638781456,0,0,0,0,0,0,0
XLM,0,0,0,0.261494349863052,0,0,0,0.216053580971181,0,0.0733320752307816,0,0.112207408002941,0.129596271822892,0,0.00753664183759392,0,0,0,0,0
LTC,0.0588177878059771,0.103652983120757,0,0.342103718895704,0.0129129859069715,0,0,0.0367137730565807,0,0.163121401913473,0.0440954370265731,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.336905372102203,0.0528644227015736,0,0,0,0.0651332529220707,0.187220806827602,0.031333088103972,0.0413943552269933,0,0,0,0,0,0,0
ADA,0,0,0,0.344269567160907,0,0.25723398426056,0,0.13734119532826,0,0.127537829066389,0.071178107429943,0.0139067815946247,0,0,0,0,0,0,0,0
MIOTA,0,0,0.319304110310093,0,0,0.10950546404938,0,0,0,0,0.0591473921974249,0.361245987692851,0.268889639280302,0,0,0,-0.0589272097456442,0,0,0
DASH,0,0.294145936530028,0,0,0,0,0,0,0.101719303666779,0.109373357578194,0,-0.00000000000000000346944695195361,0.230985818307158,0,0.116459181156166,0,0,0,0,0
TRX,0,0.0396350946648517,0,0,0.269860701838475,0,0,0,0,0,0,0,0.537482037628229,0,0,0,0,0,0,0.0226009536030178
NEO,0,0,0,0.289484221150908,0,0,0,0,0,0.356271905821701,0.128925831767028,0.245477432022867,0,0,0,0,0,0,0,0
ETC,0,0.126447354334686,0,0,0.46802388852683,0.0102892020014277,0,0,0,0.282202113200919,0,0,-0.334289631127622,0,0.122186149853493,0,-0.0123122444264333,0,0,0
XTZ,-0.17612063328663,0,0,0,0,-0.0536490163047703,0,0,0.210510000143281,0,0.230148173949002,0,0,0.185097669052099,0,0,-0.0540733220007995,0,0,-0.140652535352404
BV010082.INDEX,0,0,0.0640048773849541,0,0,0,-0.249721657102681,0,0.00816392747459024,0,0.0261938027557883,0.104750281568939,0,0,0.0318818910998127,0,0,0,0,-0.0492010410051325
CVIX.INDEX,-0.137338999872582,-0.0332709001220817,0.0881522328565763,0,-0.0614795077552742,0,0,-0.0229317403212705,0.172775073047632,0,0,0,0,0.0875897098423601,-0.105107598719697,0,0,0,0,0.0857965672271296
DXY.INDEX,0.00651484095258419,-0.00671009205445501,0,0.0122954923141617,0,-0.0122822572042942,0,0.0187322536870201,0,-0.0159876715781043,0,0,0.00578982429432738,0.00501358551689452,-0.00735345570459547,0,0.115910133128803,0,0,-0.0247504683497616
SPX.INDEX,0,0,0,-0.00285558397734184,0.0142826661214274,-0.00454444067073132,0,0,0,0,0,0,-0.0178652161934432,0,0.00593394344102102,0,0,0,0,-0.059713547047575
VIX.INDEX,0.44884195988577,0,-0.123127096465377,0.154010944289569,0,-0.212536241015011,0,-0.260845280943219,0.36832979007502,-0.0931671540003645,-0.336076036965812,0.119149104837717,0,0,0,0,0.238876253308359,0,-5.07088469189044,0
