,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0187616129375852,0.0233984850556711,0.192118355627654,0.10125538049183,0,0,0,0.0239880373778449,0.052266165675524,0,0,0,0.0779164017851378,0,0,0,0,0
ETH,0,0,0,0.0686628627359921,0,0.0832387839234877,0.042405346361898,0.0733356799669356,0.0967345607058889,0.136705300596157,0,0,0,0.0725315051839485,0.15492230012209,0,0,0,0,0
BCH,0,0,0,0,0,0,0.916557546944649,0.297960554041997,-0.486057083022854,0.293845674303318,-0.11404618773244,0.404270059233417,-1.02977095287215,0.321283236684192,0,0,0,0,0,-0.0696372664063853
XRP,0,0.312991491720465,0,0,0,0,0.0372584782513842,0.0687063308679116,-0.00000000000000000346944695195361,0,0,0,0.092408185176574,0.0934041301615829,0,0,0,0,0,0
LTC,0.0134018968590983,0,0.052686977313311,0.0408253030923755,0,0,0,0,0.020862027558189,0.15260760406001,0.0310881031794715,0,0.0857616997563287,0.144787395232719,0,0,0,0,0,0.0349853315272365
DASH,0,0.02532157612563,0,0,0,0,0.143887445237033,0,0,0,0.0262224960609049,0.259873643075058,0,0.157560008649686,0.0606543672242885,0,0,0,0,0
XEM,0,0.140927879900067,0,0.146709405679481,0,0.449385048488048,0,-0.170858420099118,0,0,0.080301785911921,-0.113005434997688,0.286825286359541,0,0.0401028883196529,0,0,0,0,0
XMR,0,0,0.055348622503309,0.243026741151265,0,0.176863073261834,0,0,0.0500103854616899,0,0.0405276019106153,0.0810148392855877,0.130454505106823,0.0350897033571656,0,0,0,0,0,0
MIOTA,0,0.305546945444478,-0.0571365124842422,0.0262964032032104,0,0.308666400281694,0.0628906755365197,0.0213223244649675,0,0,0,0.211218170798689,0.278280532451164,0.151479374538399,0,0,0,0,0,0
ETC,0.032467619377849,0.389070833609497,-0.000000000000000000216840434497101,0,0.357770801071079,0,0,0,0.0614248415406768,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,-0.0424501119332543,0,0.113374001517321,0,0.132911294274253,0,0.10750892941215,0,0,0,0,0.538696301432381,0,0,0,0,0,-0.281552653275723
ZEC,0,0.0548130883869561,0.0108160093552047,0,0,0,0,0.0822658142600695,0.226320692795554,0.0865560413732669,0,0,0.145991701620937,0.000000000000000000433680868994202,0.0279863391436206,0,0,0,0,0
XLM,0,0.00117138354996498,0,0.132672230112872,0,0,0.227128815378976,0,0.047100370379537,0,-0.0459360250540809,0.221725150427145,0,0.253100231273505,0.18341442639728,0,0,0,0,0
EOS,0,0.239383169004738,0,0,0,0,0,0.129701531124545,0.155916270869791,0.258148594944882,0.164267462711622,0.163776077884178,0.0273464352352156,0,0.015248540846215,0,0,0,0,0.0765521637751124
BAT,0,0.0514922539690421,0,0,0,0,0.0999593270045375,0,0.0279425781931678,0,0.186719634524852,0.248934899769661,0.312121080278832,0.0655236267673171,0,0,0,0,0,-0.11188250950362
BV010082.INDEX,0,0.0450098579186939,-0.0143646507470847,0,0.0595867001350069,-0.0177888386014728,0,0.0128606056613235,-0.0367494386220602,-0.0399838978924975,-0.00733974343321722,0.0604911270239292,-0.0151126400908626,0,0.0228100484473557,0,0,0,0,-0.067060983965598
CVIX.INDEX,0,0,0,0.0514879065808334,0,0,0.0198173023626678,0.0323961617470921,0.0441760471332156,0.0299013183651297,0,-0.0359181555468116,-0.0670179178367501,-0.0574534948172391,0,0,0,0,0,0.0579477147122984
DXY.INDEX,0,0,0.0031988706985482,0.00277385142581847,0.0137922756627528,-0.00428343832112471,0,0,0.000119070092978861,0,0.00832836827451978,0,-0.0096474437151939,-0.00487253504708531,0,0,-0.014610552204147,0,0,-0.000340557447219737
SPX.INDEX,0,0,0,0,0,-0.0077701203260819,0,-0.00381428115906905,0,0,0.000705623612298168,0,-0.00116155618029799,0,0.00238313798839022,0,0,0,0,-0.0434591715107652
VIX.INDEX,0,0.0655517800717096,-0.0561030887238553,0,-0.271615426219966,-0.211284290941616,0,0,0.106033625596262,0,-0.0900605730443051,0,-0.0431052724128069,0,0.263930915700451,0,0.936172850069259,0,0,0
