,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,LEO,XMR,ADA,TRX,HT,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.375020581223562,0,0,0,-0.0000000000000000138777878078145,0.107118453048231,0,-0.0853996654928749,0,0.335442578414988,-0.0924523706808526,0,0,0,0,0,0,0,0
ETH,0.161214806381174,0,0.0513936851478315,0.0748768703072823,0.0487602092177394,0.3036687432555,0,0,0,0,0.109841007275785,0,0.0781907488321266,0,0,0,0,0,0,0.0306390032376351
XRP,0,0,0,0.000000000000000000433680868994202,0,0.0964160528697336,0,0,0.121852054201844,0,0.156740991881193,0.0704694507612279,0.17192852658454,0,0.0409433763488986,0,0,0,0,0
BCH,0,0,0,0,0.135193336996319,0.283487550083574,0.188575417237817,0.284887448322511,0,0,0.0950489203129848,0,0,0,0,0,0,0,0,0
LTC,0,0.189114011453787,0,0.151015929030964,0,0.0590665482364846,0,0,0.161986866013665,0,0,0.23282739788899,0,0.0668002170499922,0,0,0,0,0,0.0202825452856702
EOS,0,0,0,-0.00000000000000000173472347597681,0.228171033672589,0,0,0.433408937509672,-0.103397027842283,-0.00400394915359568,0,0.387188985242726,0.0403611859475948,0,0,0,0,0,0,-0.00525717830090683
BNB,0,0,0,0.325006051813498,0,-0.176760744101643,0,0,0.0706930929815667,0,0.18715021513963,0,0.260919828593606,0.192354912703238,0.0293527380441894,-0.0783389736641851,-0.235593674628099,0,0,-0.027977449718958
BSV,0,0,0,0.665350538273104,0,0.157451680883365,0.204722133043506,0,0,0,0,0.0676670132521556,0,0,0,0,0,0,0,0
XLM,0,0,0.16575020570822,0,0.341238004727332,0,0,0,0,0,0.0722233044710485,0.0873977679615939,0,0,-0.0209157528067864,0,0,0,0,0
LEO,0,0.0744120012187932,0,0,0,0,0,0,0,0,0,0.0658935466837847,0.0167955481354739,0,0.100970606045285,0.328133430456589,0.00781235012391437,0,0,0
XMR,0.597333456917387,0,0,0,0.0540588041151016,0.152952308088175,0.224422599791029,0,0.0566166927582181,0.219211862651877,0,0,0,0,-0.177099000702686,0,-0.07738427949672,0,0,0.0158755627451181
ADA,-0.0346279025121357,0,0,0,0.021519841666986,0.326014198934003,0,0.0768156997200916,0.113983657736603,0,0,0,0.188497372842676,0.0227709661978607,0.142221224136428,0,0,0,0,0.0359067864732508
TRX,0,0,0.121701077176992,0,0,0.338695531478393,0.116341241911023,0,0,0,-0.0381604771697199,0.317951504759592,0,0,0.202500989636244,0,0.104576002594143,0,0,0.0282214693555928
HT,0,0.222687790411192,0,0.0394170230633999,0,0.172579088404814,0.349394581079977,0,0,0,0,0.0417511195254519,0,0,0,0,0,0,0,0.0963650019620579
MIOTA,0,0.0759777545798985,0,0,0.0547533694957918,0,0.097556409325528,0,0.350536736687629,0,0,0.090969297261524,0.111939639114929,0,0,-0.136647918040466,0,0,0,0
BV010082.INDEX,0,0,0,0,0.368685709660805,0,-0.0183934845673983,0,0.0231250865907502,0.196709351281945,-0.464915217355257,0,0,0,0,0,-0.100806142346795,0,0,-0.136195278418877
CVIX.INDEX,0.433550925003018,0,0,-0.0638608429568344,-0.215283651374697,-0.0145283908773784,-0.767846222174537,-0.0579338707265764,0.0628106273959925,0.222977188313629,0,0,0.336108208852684,0.10120203291303,0.24031109598626,-0.174378506040359,0,0,0,0
DXY.INDEX,0.015700489891412,0,0,0.0137722789728644,0.00957916072675523,-0.00790336114575531,-0.0121330658376831,0.000266200537228536,0.0102792614050111,0,-0.0464750261720866,0,0,0,0,0.00730050350127024,0.0176856080922809,0,0,-0.0140745851904376
SPX.INDEX,0,0,0.0107589529691551,0.0121845776115504,0,-0.0553130802866476,0,0,0,0,0,0,0.0333783953365729,0,0,0.0698547340283641,0,0,0,-0.0812042289444343
VIX.INDEX,0,0,0,0,0.893737529906231,-0.487454215812828,-0.105041402054424,0,0,-0.168021850733393,0,0,0,0,0,-0.150100747355292,0.189281027517904,0,-4.69689040912029,0
