,BTC,ETH,XRP,BCH,BSV,LTC,EOS,INNBCL,BNB,XTZ,TAGZ5,LEO,XLM,XMR,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00150824175366488,0,0.271948567814383,0.0488015084934523,0,0,0.00426826190174899,0,0.171408393754321,0,0,0,0,0.0322701767272672,0,0,0,0,0
ETH,0,0,0,0.280380245279933,0,0.176267178891212,0,0.000847274965558824,0.0300793663739959,0.253997742086899,0,0,0,0.10117537109352,0.151427469117714,0,0,0,0,0
XRP,0,0.276305572450225,0,0.124269363090147,0,0.0020025028959992,0,-0.00212428232829692,-0.00000000000000000693889390390723,0.0766707204343575,0,0,0.069074867834941,0,0.191321903959349,0,0,0,0,0.0120452784886763
BCH,0,0.222254697008006,0,0,0.190178225784259,0.0458920915190031,0.162187533589093,-0.000506891495926001,0.0732481367067127,0.00000000000000000173472347597681,0,0,0,0,0.223503242772093,0,0,0,0,0
BSV,0,0,0,0.328030997338911,0,0,0.558218312445627,0.00151375660059603,0,0,0,0,0,0.113869740505508,0,0,0.0702170842625067,0,0,-0.0386908071520991
LTC,0,0.345749590947695,0.0055372905527219,0.0219596172316023,0,0,0.131966686928487,0,0,0,0,0,0,0,0.333020971402869,0,0,0,0,0
EOS,0,0,0.0651788853744495,0.263775242270521,0.234803287784417,0.215255659455882,0,0.00317383749218693,0.0609542858458936,0,0,0,0,0.00000000000000000693889390390723,0.0876201560320514,0,0,0,0,0
INNBCL,0,21.4064149090985,0,-2.79686818462731,-0.552882182051725,0,0,0,0,0.388300541685815,-3.47471211868277,0,0,-21.3548169921353,0,0,-1.45195072761301,0,0,-1.7925275456654
BNB,0,0.157622317933548,0,0.301032683349667,0,0,0,0,0,0.165062966606518,0,0,0,0.184901436458328,0,0,0,0,0,0
XTZ,0,0.282055819137091,0,0,0.0457595466716533,0,0,-0.00330493881410927,0.541274316050013,0,0,0.192688145733111,0,0,0.189413377042675,0,0,0,0,-0.00148828310559281
TAGZ5,0,0,0,0.415867858883188,0,0,0,0.00590775110622376,0.196756622362832,0,0,0,0,0,0,0,0,0,0,0
LEO,0,0,-0.00961550129409275,0,0.109328089634316,-0.134581435263424,0,0.00144770554815623,0,0.14189606117264,-0.0379272161595492,0,-0.0596234408596021,0,0,-0.0419914799650091,-0.0192170249207565,0,0,-0.0513908817467369
XLM,0,0,0,0.264054898639543,0,0,0,0.00214808623088086,0.186703050138925,0.0714788713037934,0,0,0,0.0244171379890806,0.147979302573553,0,0,0,0,0
XMR,0,0.0854155856601217,0.0481526717268858,0,0,0,0.325062338208956,-0.00110426215757647,0.0849842110284969,0.142068587289122,0,0,0,0,0.213605838416955,0,-0.0313263209732311,0,0,0
ADA,0,0,0,0.181212683854364,0.0338013111036222,0.276816216881534,0.0988829574884056,-0.0000622201223969046,0.0553389690842581,0.188866310672862,0,0,0,0.0701521437628643,0,0,0,0,0,0
BV010082.INDEX,0,0.937664383877708,0,0,0,0,0,-0.0226360290826497,-1.16142206601713,-0.0900342772770055,0.247121095570847,0,0,0,0,0,0,0,0.450465877258243,-0.0314184294441434
CVIX.INDEX,0,0,0,0,0.278693071724083,0,0,-0.00538430374404203,0,0.413604846493418,-0.449140048081552,0,0,-0.45835675700131,0,0.299633939716566,0,0,-0.197684574524564,0.364322356163336
DXY.INDEX,0,0,-0.0841434926619749,0,0.0391139830270637,0,0,0.000441270135558674,0,0.0418841215750044,0,-0.0307399153156295,0,0,0,0.0201615477270501,-0.0179421640673868,0,-0.0224204425901566,-0.00613867097014416
SPX.INDEX,0,0,0,0,-0.175351351763157,0,0,0.00249020717251105,0,0.168232274639102,-0.0311376184694505,0,0,0,0,0.169753591792972,-0.000000000000000000433680868994202,0,0,-0.238929467991364
VIX.INDEX,0,0,0,-0.278315267563589,-0.0742018677100524,0,0,0.0085569679602061,0.0510092930673905,0.440968333769137,0.394110506183168,0,0,-0.638941662089549,0,-0.023210324233136,0,0,-1.68991230919804,0
