,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,DASH,XEM,XMR,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.272854367351118,0,0.0129194014130088,0.0942707305798323,0,0,0,0,0.0366432393420479,0.0859270937253997,0,0,0,0,0,0
ETH,0,0,0.0353215062014185,0,0.192280646271225,0,0,0,0.0594480811938751,0,0.118985945717796,0.247627290265094,0,0.152099954436353,0.014495142486516,0,0,0,0,0
XRP,0,0,0,0,0,0.146076787246508,0.0401320683434247,0,0,0.174283669378251,0,0.155072117329832,0.0313166513694812,0.213543023209176,0.124511538212869,0,0,0,0,0
BCH,0.102737363050008,0,-0.0164597607222473,0,0.292420083641665,0,0,0.213760926519398,0,0,0.160748146278736,0,0.157411217544441,0.0962263948428261,0,0,0,0,0,-0.014309323950068
LTC,0.346784757701971,0,0.0107563739092045,0,0,0,0,0,0.0407926587424467,0.13229982167731,0,0,0,0.132113552604989,0.0143218735914155,0,0,0,0,0
ADA,0,0,0,0,0,0,0.235832529954446,0,0,0,0,0.257486839667983,0,0,0.0434296906157809,0,0,0,0,0
XLM,0,0,0.224867693711393,0.0317898131125678,0.0812544500795924,0.394151167674231,0,0.119094303599062,0,-0.00000000000000000346944695195361,0,0.116517372954626,0.222994741116041,-0.0000000000000000000542101086242752,-0.190985710892527,0,0,0,0,0
NEO,0.135258450117604,0.35554671524224,0,0,0.0553481363287637,0,0.154963289517363,0,0,0,0,0,0.085165149133534,0.163520657899895,0,0,0,0,0,0
EOS,0.0417512550862295,0,0,0.133008882717622,-0.00000000000000000173472347597681,0.235437141739376,0,0,0,0.105525374324407,0,0.0682558931687849,0,0.244886321275639,0.178440639161,0,0,0,0,0
MIOTA,0,0,0.0476971555255101,0.0585596603035599,0.111635860849099,0,0,0,0.330315017272769,0,0,0.12087410851459,0,0.140835699584197,0.0325084166007877,0,0,0,0,0
DASH,0,0,0.01526404241881,0.00322821399521046,0.239879626842684,0,0,0,0.139485169855464,0.0991029310474457,0,0,0.0830003581796004,0.190447916125012,0,0,0,0,0,0.0556455483513903
XEM,0,0,0.224775718306384,0.105283501962134,0,0,0.180054867178554,0,0.0258353790277378,0.13905593328749,0,0,0,0,0.0339133427038143,0,0,0,0,0
XMR,0.0445584459347494,0,0.0193105674615989,0.223203082031763,0,0,0,0.0831148001675339,0,0,0,0,0,0.207023951239353,0.0566475857998,0,0,0,0,0
ETC,0,0,0.149092865904181,0.218783115074257,0,0,0,0.133303617367154,0.00148562670428243,0,0,0,0.0317293149190707,0,0.0954092852596451,0,0,0,0,0
TRX,0.693077871541733,0,0,0.202907310245517,0,0,0,-0.543575582452563,0.00348181764691494,0.14576353119745,0.409876012306038,0,0.02874368545418,0.190320216486249,0,0,0,0,0,0.0801184056253288
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430504810348026
CVIX.INDEX,0.0404012475207638,-0.0304697158450175,0.0583737417497965,-0.00631976934053937,-0.071471138737239,0.0450554371353812,-0.0481877009972636,0,0.0159074901102015,0,-0.0461434731690308,0.0464647366801723,0,0,-0.0265474737105436,-0.279889530637592,0,0,0,0.0419782725379088
DXY.INDEX,0,0.0260132358105701,0.00130773804254402,0,-0.00678390881821683,-0.00754507120380407,0,-0.00439308391560625,-0.00405088486056208,0,0,0,0,0,-0.00749238966949662,0,0,0,0,0.00705807731215144
SPX.INDEX,0,0,0.00492791183723788,0,0,0,-0.00219485977526525,0.0286191186113453,0.00421132976891662,0,0,0,0,-0.0391023847979949,0,0,0,0,0,-0.0632396379183435
VIX.INDEX,-0.222278090793314,0,0.00126364519941474,0,0,0,-0.00996140642213517,0.125664505316159,0.0201366232329906,0,0,0,0,0.108631139933761,0,-3.04233521508942,0,0,-4.88657551338249,0
