,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.197821726571412,0,0.0388594449845248,0.0155342961330877,0.0691428919009453,0.00243398404541493,0,0.0327355866020276,0,0.106923735912205,0,0.00000000000000000173472347597681,0.0609333741151407,0.00598210378570349,0,0,0,0,0
ETH,0,0,0.196349084661776,0,0,0.189996046117726,0.082560920389649,0.0123496803388984,0.0258439047520185,0.0988567399377653,0.0589255341744026,0,0.063842381122813,0,0.000739980811347128,0,0,0,0,0
XRP,0,0.185358194370323,0,-0.00851075167177059,0,0.0617079782415914,0,0.109119270409798,0.0369212593231305,0.0563570900603871,0.152403291943243,0,0.0551039323056605,0.0926066640276375,0.0231471820202197,0,0,0,0,0
BCH,0,0,0,0,0.324638988914414,0.0782475062810757,0,0.0772304789360535,0.324655666274904,0.030448615332187,0,0,0,0,0.013141366740212,0,-0.0326964704623303,0,0,0
LTC,0,0,0,0.186480670071654,0,0.199400887194079,0.145782841394587,0,0.114496036209064,0.00000000000000000173472347597681,0.156298130497201,0,0.128048107617262,0,0.0879860635869244,0,0.0492224782156171,0,0,0
EOS,0,0,0,0.197885594206141,0.335606026032469,0,0,0.0875944623820455,0,0,0.310370038607693,0,0,0,0.112714086862588,0,0,0,0,0
BNB,0,0,0,-0.065901929240522,0,0,0,0,0,0,0.183163654623965,0.489123650910085,0,-0.114554202597366,0.0292620869615696,0,0,0,0,-0.148467257520345
XLM,0,0,0.409496939247105,0.0987904682261819,0,0.0440897416891479,0.00674171338267985,0,0,0,0,0.240150392382708,0,0.0892986867625388,0,0,0,0,0,0
ADA,0,0,0.276644189111292,0.243665689840715,0.28050698195439,0.000795637326938849,0.0176703984241973,0.0913914499952367,0,0.0696424838163911,-0.0391891401574489,0,0,0,0,0,0,0,0,0
TRX,0,0.168271656536552,0,-0.00996636077329321,0,0.194234060610326,0,0.26013242718105,0,0,0.126987052391933,0.194161023232947,0,0,0.0884861491534265,0,0,0,0,0.0331249943047887
XMR,0,0.558424333238632,0,-0.0621286855696844,0,0,0.0619995421141462,0.244039037890079,0,0,0,0,0,0.139608570218115,0,0,-0.075621452088153,0,0,0
DASH,0,0,0,0,0.202554304914354,0,0.0896180902671317,0.126751384267086,0,0,0,0,0,0.0366073669732251,0,0,0,0,0,0
BSV,0,0,0,-0.173091126481571,0.670319817022039,-0.0683259421470223,0,0,0.179886371280438,0.250149757411908,-0.0838160613296624,-0.00000000000000000693889390390723,0,0.139873263901133,0,0,0.00400923437880364,0,0,-0.118021701961162
MIOTA,0,0,0,0,0,0.0455947359452913,0.089300931968048,0.0883098350690815,0.0423937727730917,0.0845856247192885,0.25595471646094,0,0.0633280204141253,0,0,0,0,0,0,0
XTZ,0,0,0.742271631966992,-0.283632322338896,0,0.472145925230095,-0.146707165162647,0.948333310644166,0.0479130603503872,-0.321124030471517,-0.410560433657686,0,0,0,0,0,-0.345428636371868,0,0,0
BV010082.INDEX,0.20363768185094,0,0.0994271461606717,0.0290129554989356,0.0664635502651912,0,0.0351895352280829,0,-0.237240473522213,0,0,0.107046971614271,-0.0787973889493711,0,-0.0482966078754911,0,0,0,0,-0.0329692546935428
CVIX.INDEX,0.186657508625714,0,0,-0.191214019129036,0.203607453911315,0.00000000000000000173472347597681,0,0.493391779894907,0,-0.0783299962075147,-0.323355492076293,0.127151571227768,0,0,-0.303898126843945,0,0,0,0,0.0800628920893102
DXY.INDEX,0,0,0,0,0,0,0.0011746134518481,0,-0.00965940688623125,0,0.0289429065993312,0.00508003409953034,0.0176704824071188,-0.0509613593551556,0,0,0,0,0,-0.0100961409327798
SPX.INDEX,0,0,0,0.0160395898814354,0,0,-0.00599687728505344,0,-0.0183735875008868,0,0.0448853254491372,-0.0108943191636287,0,-0.0166119299442903,0,0,0.00720325224984379,0,0,-0.0867322627194414
VIX.INDEX,0,0,0,0.230144614713234,0,-0.421975214037958,-0.0399145950965875,-0.154485358776267,-0.140498274104405,0.350915119011583,0.293071747796758,0,0,0,0.0393381423167093,-0.593427153685211,0.26117216235116,0,-5.16123132341721,0
