,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0333550183183519,0,0.0865813120121525,0,0.0431301281855752,0.0539688123847125,0,0.336035157540164,0,0,0.0896043783507152,0,0,0,0,0,0,0,0.0570824574281478
ETH,0,0,0,0,0.223127491798375,0,0,0,0.00223626592225808,-0.00000000000000000173472347597681,0.070101553618338,0.250289115411272,0.0284911803197756,0.147420813093088,0.0722096147556337,0,0,0,0,0
XRP,0,0,0,0,0.182933307434305,0.0500557351347151,0.0828433916114041,0,0,0.220421659215423,0.0742023977978986,0.11248117344495,0,0,0.104350276451649,0,0,0,0,0.0447928288286099
BCH,0,0.069511414029348,0,0,0.10094384257484,0,0.159961922593197,0.167600310132335,0.185980802860029,-0.00000000000000000010842021724855,0.148579891151903,0.0611729028359394,0,0,0,0,0,0,0,0
EOS,0,0,0,0.672188042826346,0,0.133374582474844,0,0.117519432491537,0,0,0.17316922397342,0.0210027788644862,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.299144508656691,0.214802416107886,0.0629323422156845,0.190367935845794,0,0,0.0889831299045518,0,0,0,0,0,0
LTC,0,0,0,0.403049099160555,0.211089467128003,0.0169084282385387,0,0,0,0.0864795716197917,0,0.0818958209052,0,0,0,0,0,0,0,0
ADA,0,0,0,0.317647797382535,0,0.261477402320422,0,0,0,0.0966793875850793,0.139963533383525,0.0370089864416493,0,0,0.0422616990445957,0,0,0,0,0
XMR,0.350115461959547,0,0,0.249814816946375,0.0836774093741835,0.0510636848772126,0,0,0,0.065286273815222,0,0.0573455480729317,0,0.105651609781131,0,0,0,0,0,0
MIOTA,0,0,0.11928182268065,0,0,0.00000000000000000173472347597681,0.157415252422783,0,0,0,0.173485833661772,0,0,0.62900692772803,0,0,0,0,0,0
TRX,0,0,0,0,0.195731710024693,0,0,0.101431184428042,0,0,0,0,0.29460035341185,0.168830297583664,0.201724582368442,0,0,0,0,0
ETC,0.092925833804937,0.355728066070632,0,0,0,0.138633889204799,0,0,0.0237762657679596,0.313349286280874,0,0,0,0,0,0,0,0,0,0
DASH,0,0,-0.171159055367348,0,0,-0.0654644385330751,0,0.297420405543964,0.116988073163924,0.0518072201304054,0.0976436286146568,0.0423554074983008,0,0.306372415569764,0.160541508449601,0,0,0,0,0
NEO,0,0,0,0.226353488417708,0.01491753674714,0,0,0.140570445505965,0,0.316514669053861,0.264849051516487,0,0,0,0.13326313586614,0,0,0,0,0.00455050879134854
BNB,0,0.526140640851326,0,0,0,0,0,0.0520300848434853,0,0.23830318397663,0,0,0,0,0,0,0,0,0,-0.0222370909344301
BV010082.INDEX,0,0,0.0357837292366899,0,0,0.000270334505771766,0,0.0305466340249399,0,0,-0.00000000000000000173472347597681,0,0,0,-0.00940639341424443,0,-0.100750573677856,0,0,-0.0225091276858869
CVIX.INDEX,-0.109393682379591,0,0.0816333022839689,0,0,0,0,0,0,0.0578031262469535,0,0.136957768831373,0,0,0.0135893074406623,0,0,0,0,0.160480273652204
DXY.INDEX,0,0,0,0,0,0,0,0,0.0132431545496774,-0.0138126424564351,0,0.014636669605122,0,0,-0.00666765762989287,0,0.0775357840613393,0,0,-0.00122448683819253
SPX.INDEX,0,0,0,0,0,0,0,0.00613086320492831,0,-0.0151975899443833,0,0,0,0,0,0,0,0,0,-0.0622923789252385
VIX.INDEX,0.863075739252796,0,0,0,-0.162314938020476,-0.0793670439579565,0,0,-0.435953960712143,-0.0885898966266475,0,0,-0.231223138175836,0.305936339851267,0,0,0.194759500240533,0,-3.61928439284923,0
