,BTC,XRP,LTC,XLM,DASH,DOGE,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0181415741436797,0.125413714986886,0,0.112794052173928,0.106332836853175,0.0793759735837148,0.0341287135585977,-0.0228996094801572,0,0,0,0,-0.0300428073860695
XRP,0.470996225033355,0,0.0779722422249707,0.249554225447815,0,0.148392349018612,-0.121075808405413,-0.13060156341831,0,0,0,0,0,0
LTC,0.763915399158872,0.16292949113857,0,-0.280477751956324,-0.0371967513710884,0.0828666054959573,0,0.0144989354247796,-0.0293378935562487,0.0000000000000000138777878078145,0,0,0,0.0557179374539142
XLM,0.995546656570474,0.499947916745368,0,0,-0.307540356920033,0.110971911822304,0,0.0605932563492807,-0.156633339388394,0,0.343485595587636,0,0,-0.2198352877039
DASH,0.858514752791451,0,0.17479629002918,0.43800425938912,0,-0.137202994764357,-0.406237476471223,0.0000000000000000000271050543121376,-0.0866086387932878,0.71223937422522,0.077686306675993,0.659208677280555,0,0.0526702498412625
DOGE,0,0,0.20300393955982,0.388066820581225,0,0,0.141438838894435,0.182923244640982,0.104536049206059,0,0.43867003960673,0,0,0
XMR,0.659411889652623,0.2376125105635,0.239032076011716,0,-0.545660387170395,0.216265654538158,0,-0.0685108823652088,0,0.950391064023591,0,0,0,-0.50086111676576
XEM,0,0,0.178952500625589,0,0.48302233896429,0.946185614266204,-0.459771743314587,0,0,0,-0.635898017409283,0,0,-0.413999769837193
DGB,0.290992658794895,0,0.341265183394734,-0.0553229488239197,0.107052890757057,-0.0000000000000000138777878078145,0.179627902636016,0,0,1.71398952498226,0.27791766731832,0,0,0.107226201947215
BV010082.INDEX,0,-0.020258121325566,0,0.0515021195255186,0.0323414928157603,-0.025965708988254,-0.00464894024193468,-0.0282771442828098,0.0271136709882753,0,0.102630142157097,0,0,0.0402099271980053
CVIX.INDEX,0,-0.00606163444015302,-0.0550480302103255,0.0966239759360793,0,0.0213875662416212,-0.0290391967901921,0.033070742247008,0.108588138778997,0,0,0.841237221420771,0,0.0779265766744545
DXY.INDEX,-0.0152452540021654,-0.00943387192566487,-0.0182027875104757,0.0244366478573001,0.0225196298751244,0.000837657473924664,0,-0.0201614356892545,-0.0132032999205418,0.17885226635415,0.0678996584092659,0,0,-0.00199890775041471
SPX.INDEX,0,0,-0.0051264197868479,0.00650908311971504,-0.00525410200509595,0.0082578862069638,-0.0174970608827848,-0.00675408524057931,0,0,0.0121142031270657,0,0,-0.0916856210919287
VIX.INDEX,0,0,-0.0939888910088528,0,-0.0365387266415641,0.107971927761349,-0.278705548513967,0,-0.0400004470378082,0,0.0610368131713972,0,-4.82632815857429,0
