,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,NEO,DOGE,XLM,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.166855730542655,0,0,0.0904425459948813,0,0.102647258192536,0,0,0.0120950088481467,0.00113876303445086,0.0532776347091225,0.037496531497294,0,0,0,0,0
ETH,0,0,0,0,0.185417304675704,0,0,0.0480178250943596,0,0.0440423972000083,0,0.0849093901145929,0,0.0170891878970585,0.215624432012115,0,0,0,0,0
XRP,0,-0.14546502466439,0,-0.1082898362669,-0.247088605026684,-0.00000000000000000173472347597681,0.418910435695624,0,0.226034683588541,0,0,0,0.249565484937856,-0.0350177612236696,0,0,0,0,0,0
LTC,0.48295014702166,-0.093503334785302,-0.150914197494667,0,0,0.00718417214581793,0,0,0.109997014976917,-0.0497797061408121,0.176837648720674,0.0834135010773854,0,0.024684508860723,0,0,0,0,0,0.060979360500945
ETC,0,0.243623687657489,-0.0758504071429779,0.153832659436482,0,0,0.0562078686468629,0,0.139152591224451,0.0565268754933117,0.0428063970079491,0,0.0231971907726152,-0.0461919097091106,0,0,0,0,0,0
XEM,0.0947378547500717,0,0.223340372025916,0,0,0,0,-0.051229957923422,0.123025861633399,0,0.0622294412423352,0.332361434466524,-0.0822766258657499,-0.0476924845140245,0,0,0,0,0,0
DASH,0,0.0529020908674728,0.0485864376401726,0,0,0,0,0,0.39360086624702,0,0.0756609754829573,0.0320064722572634,0.0625279226163293,0,0.0301160732675138,0,0,0,0,0
MIOTA,0,0.0758206128216129,0,0,0,0.0657802440239718,0.203089049722973,0,0,0,0,0,0.0282613096941971,0.0572569387583646,0,0,0,0,0,0
XMR,0,0,-0.116816433645332,0.169747538665063,-0.242306586154258,0.183874135591008,0.637870889726879,0,0,0,-0.129227947268742,-0.027168258478531,0.0800632009889382,0.00989707455495122,0,0,0,0,0,0
ZEC,0,0.123335453691665,0,0.000596399799095943,0,0,0,0,0,0,0.0567278559936853,0.208085078103376,0,0.0121964877345227,0,0,0,0,0,0
NEO,0,0.0607598539505247,0,0.680392313245923,0.191975325489232,0,0.162827746832093,0,0,0.377737859221386,0,0,-0.00160162873150699,0.126906151258448,0,0,0,0,0,0
DOGE,0,0,0,0,0.194801404488048,0.309290268773757,0.145354301012439,0,0,0.269707968910713,0.0396477692305423,0,0.105492763827228,0.0529422070427583,0,0,0,0,0,0
XLM,0,0,0.549145357347306,-0.516138463667035,0.192497973845917,0,0.337552685411589,0,0.542235995563376,-0.348254004825378,0.0240746691543291,0.200403390877826,0,0.0704194317547392,0.172117918265657,0,0,0,0,0.0284313904871114
DGB,0,0,0.0476998795241837,0,0,-0.317391301861335,0,0,0.446913464082585,-0.258300768964189,0.0835871805649174,0.5472188973271,0,0,0.269591441192413,0,0,0,0,0
BAT,0,0.0913439064062938,0.157307197572423,-0.128522656182243,0,0.108947992584198,0,0.102934539012697,0,0,0.0237688875120755,0.101677452733574,0.0341340362146409,0.0550380753289246,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0193024322078489,0,0,-0.0344571297486604,0,0,0,0.0220330354808927,0.00591761568200379,0,0.0184770791503571,0.0022372401308238,0,0,0,0,0,-0.00586230206950295
CVIX.INDEX,0,-0.0874794713015194,-0.0136945790831351,-0.0893870287783072,0,0.0539729393372547,0,-0.0643706455337836,0.0859753284901916,0,0.0408000936397661,0.0745169131860285,-0.00630020076748763,-0.00866659507671386,-0.00603353402099986,-0.126665372603773,0,0,0,0.12214891005272
DXY.INDEX,0,0.0118976778709344,0,-0.00386555750828187,0.00935287705617822,0,0,0,0,0.00344950286784508,-0.00139362208147171,-0.0173012210502101,0.00457392901661981,-0.00135140817631926,0.00161585345922132,0,0,0,0,-0.00458295877821167
SPX.INDEX,0,0,0,-0.00271480392672691,0.00404170074806684,0,0,0,-0.0029344669779313,0.00419743453975989,-0.00116569208673432,0,0.0033827172707863,-0.000490869928928975,0,0,0,0,0,-0.0462597103674622
VIX.INDEX,0,0,0.151856996934871,0,0.157828840576179,0,0.267337430593144,0,-0.205133822421377,0,-0.127836331822811,0,-0.000000000000000000867361737988404,-0.00342228373532691,0.0762851819101408,0,0,0,0,0
