,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,ETC,TRX,XMR,NEO,DASH,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0716023214445528,0,0.358200984513814,0,0.0277013899751034,0.123761364896388,0,0,0,0.0497495063490662,0.084116090960406,0,0,0,0,0,0,0,0.0327601473060934
ETH,0,0,0,0,0.265437508357219,0,0,0,0.0437341908030835,0.0941969532175816,0.116392908182207,0.0739460963622646,0.117562658504412,0,0.0414900510852154,0,0,0,0,0.0401200156328057
XRP,0,0.0939836785610797,0,0.0497873721875714,0.017369399767271,0,0,0,0.160524034039029,0.0366958540425783,0.119920404550896,0,0.129188554689355,0,0.0530166798941909,0,0,0,0,0
BCH,0,0,0,0,0.173599735916611,0,0.0226483241105726,0.0670613616546954,0.00938616110638954,0.0462370457877034,0.303558272184579,0.198904561995523,0.0460840175015832,0,0,0,0,0,0,0
EOS,0,0,0,0.277577150109905,0,0.238380723229448,0.350331796137461,0.0525423078024897,0.0905563521142555,0.0254767860945085,0.159109691421931,0,0,0,0.18416925979956,0,0,0,0,0.100806227795202
XLM,0,0,0,0,0,0,0.0025985083457275,0.259753493995072,0.00000000000000000346944695195361,0,0.155637246916029,0.234733965502837,0.159562162952805,0.298440144491396,0.032565146288237,0,0,0,0,0
LTC,0.205527361866956,0,0,0.454358128092682,0,0.00313766440112912,0,0,0.0745050274939413,0.114100878412995,0,0,0.0504382614918048,0,0,0,0,0,0,0
ADA,0,0,0,0.314909374019588,0,0.39681635303596,0,0,0,0.0194044858603451,0.158448693911459,0,0,0.0500924918838654,0.0297836524151318,0,0,0,0,0
MIOTA,0,0,0.251397723606124,0.144362189027859,0,0,0,-0.129670769811112,0,0,0.199545770592073,0.0982849389239204,0.625572572904446,0,0.0166884098302006,0,0,0,0,0.037569313599264
ETC,0.171564530669564,0.0926370981348215,0,0,0.100726330171969,0,0,0,0.46218548533556,0,0,0,0,0,0.162627146858366,0,0.500912213444414,0,0,-0.124099856557594
TRX,0,0,0,0,0.48197086846754,0.0810227311542225,0,0.071970670988938,0,0,0,0,0.103055501448137,0,0,0,0,0,0,0
XMR,0,0.11067491303595,0,0.192636368268187,0.0854990220575984,0.0316805197642313,0,0.280442053427389,0,0.0953115459020353,0,0,0.17983413973156,0,0,0,0,0,0,0
NEO,0,0,0,0,-0.000000000000000000433680868994202,0,0,0.0305021351427868,0.341328445667154,0,0.374522378673466,0.0157210829866724,0,0.100739468024806,0.114990778447623,0,0,0,0,0.00805090120628255
DASH,0,0,0,0,0,0,0,0.270830906916981,0.013091027110764,0.0793988751955343,0.0189041357065218,0.113151343557251,0.177045976087767,0,0,0,0,0,0,0
BNB,0,0.464628646836258,0,0,0,0,0,0,0.0683473202804642,0.000000000000000000867361737988404,0.000000000000000000867361737988404,0,0.129449827115026,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0429881413051653,0,0.0374186316078794,0,0.0084830186672297,-0.0138486728747087,-0.0156482940276146,0,0,0,0,-0.0408672866618516,0,-0.194634913148659,0,0,-0.0213265294482798
CVIX.INDEX,0,0.104425801527212,0,0,0,0,0.0166440990526832,0,-0.0739724689440753,0.0826347653347061,0,0.0765247899856922,0.161370586204541,-0.342930809335452,0.0886362406047714,-0.338485076131767,0,0,0,0.0938425152921529
DXY.INDEX,0,0,0,-0.0311059442362696,0,0,0,0,-0.0163650272737616,0.0221147681656725,0.0136928434867645,0.0268980271609949,-0.00529642802955209,0,0.00105172135109188,0,0.0644565360597242,0,0,0.00261044449111969
SPX.INDEX,0,0.0279799669817245,0,0.0113880334328709,-0.0122997732715448,0,-0.00666258809918865,0,-0.0202149155362673,-0.00308902838351941,0,0,0,0.00335005793867911,0,0.0312989068336896,0.0149581483603995,0,0,-0.0630380796226707
VIX.INDEX,0.4941128123268,0.311982101372914,-0.989193352913431,0,0,-0.0784567341584139,0,0,0,0.00666288871287848,0,-0.0196348941780659,0.200774722995186,-0.540941108084692,0.0754891204207252,0,0.115459288690306,0,-1.23778471181295,0
