,BTC,ETH,XRP,BCH,ADA,LTC,XEM,MIOTA,XLM,DASH,TRX,NEO,EOS,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.14954793323874,0.00000000000000000010842021724855,0,-0.0190018183534599,0.0540486419608559,0.0276220820806287,0,-0.0326512672134658,0.076270560154238,0.0868455445210718,0.212904172855608,0,0,0,0,0,0
ETH,0,0,0,0,0.00623297343494866,0.213352486029589,0.0155716476217965,0.0392467708207566,0,0.0690367078319824,0.0602083671153748,0.149557769666867,0.0222405965053112,0.0259378922685356,0.0885942650856264,0,0,0,0,0
XRP,0,0,0,0,0.0272789231181768,0,0.177832571183462,0.0284171436242124,0.249474418271311,0.175574654824795,0,0,0.325244698818905,0,0.109455567464061,0,0,0,0,0
BCH,0,0,-0.107199934737001,0,0,0,0.051125400185471,0,0,0.17890844114576,0.0200600221924565,0.164665919188208,0,0.182512120616085,0.18134637110629,0,0,0,0,0
ADA,0,0.252425154521718,0.166438812714485,0,0,0,0.132246435607296,0,0.272099382703037,0,0.0383318777467377,0.105994719545937,0,0,0.0589482659390392,0,0,0,0,0
LTC,0.165667452873616,0.213680664333123,0,0,-0.0054489138178838,0,0,0.152725207129395,-0.0188558930075962,0,0.0353861895468736,0,0.0237380168999796,0,0,0,0,0,0,0
XEM,0,0,0.14707004990107,0.0384675221636913,0.0502883058264927,0,0,0.147293136046789,0.190158446982872,0.160203002683425,-0.0154672503724375,0.13614474861197,0.0775528024739396,0,0.00509759017500029,0,0,0,0,0
MIOTA,0.316809063328879,0,-0.127892791827002,0,-0.0509751194460038,0,0,0,0.285764506033648,0,-0.0842977337227235,0,0.241414982448097,0.348868981383683,0,0,0,0,0,0
XLM,0,0.00257410861261109,0.0763200321971426,-0.0523514737843117,0.381200461432273,0.166999659086354,0,0,0,-0.0998531812476182,-0.0708492596152118,0.100380576679918,0.092041773784221,0.143299145795434,0,0,0,0,0,0
DASH,0,0,0.0660514921539471,0.160313856439627,0.0205839405751701,0.14906723187635,0.0227130052096926,0.0771094137870222,0,0,0,0,0.0619568329853001,-0.00000000000000000346944695195361,0.0519113385255077,0,0,0,0,0
TRX,0.603215024586872,0.0161468024252607,0.0631784318592598,0,0.154137594348804,0,0,-0.133988790265927,-0.184163905050654,0,0,-0.390297203068806,0.19879579455075,0.453876419723125,0.0459690336548109,0,0,0,0,0
NEO,0,0.544924124825008,0,0,0.0113835067113985,0.0871572306489268,0,-0.054951156556414,0.128398842973051,0.102542165947956,0.0405427042010527,0,0,0,-0.0153287237624142,0,0,0,0,0
EOS,0,0.0833856053182218,0,0,-0.0205573573681874,0.0848537688944547,0.128277433811724,0,0.259330476341237,0.0721968889348552,0.157124276145594,0,0,0,0.217701139803729,0,0,0,0,0
XMR,0.221804888053989,0,0,0.0686595905013323,0,0.0978021990846608,0,0.112978064785038,0.0935807158468529,0,0.0866847885167443,0.288131867493416,0,0,0,0,0,0,0,0
BTG,0,0,0.0990416900638955,0.640438471121397,0,0.221678217505403,0.0184955971352302,0.0642674302042979,0,-0.349272875576747,0.087433457571834,0.126057430152095,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0152829584110754,-0.040909411884481,0,0.0191459041750131,0.00905889703722499,0.00722161642837397,0,0,0,0,0.00614522821122091,0,0,0,0,0,0,0
CVIX.INDEX,-0.0242397050853428,0,0.0327891539113161,-0.000869917102674415,-0.0129617075985647,-0.0300021981043119,0,0,0.0437304447282577,0,-0.0130399691694769,-0.0570636656873099,0,0,-0.00476236794543483,0,0,0,0,0
DXY.INDEX,0,0,-0.000368454522863431,-0.0037000229481666,-0.00582309056947452,0,-0.00237835952395983,0.00772790026381763,0,0,0.00820834513544706,0,0,0.0063135556814983,0,0,0,0,0,0
SPX.INDEX,0,0.011136809152873,0.000999494222559969,0,0.00348153254136833,0,0.00117085287305315,0,-0.00491541444640677,0.000778902485942654,-0.000308353481822188,0.00404577223610241,0.000749994989790615,0,0,0,0,0,0,-0.0312386517187609
VIX.INDEX,0.277998261027023,0.0544311126548678,0.0290487449463956,-0.0772403218341302,0.0522109871833101,0,-0.0237013360794319,0.0223722141162882,-0.159594388628834,-0.09588385996698,-0.138523124970136,-0.215439839086516,0.221964932162835,0,0,0,0,0,0,0
