,BTC,ETH,XRP,BCH,LTC,ADA,MIOTA,DASH,XEM,XMR,EOS,BTG,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,-0.0984330923770201,0,0,-0.0213196733544345,-0.00000000000000000346944695195361,0.0494939433412881,0.00955265604184728,0.0462405789405825,0.351472018918954,-0.00000000000000000346944695195361,0,0,0,0,0
ETH,0,0,0,0,0.206404699165918,0.0079450250623906,0.0357690916347545,0.0274713824631801,0.0131052285700567,0,0.0883777845299517,0.0695913825258605,0.13644865010801,0,0.0436863515061124,0,0,0,0,0
XRP,0,0.256358075735879,0,0.190961225638559,0.11065639185911,0.0719510576002554,0,-0.0768689215778599,0,0.141755904245273,0.0899944601579142,-0.0879221852950412,-0.0258041070522417,0,0.148189144423513,0,0,0,0,0
BCH,0,0.0173214810793959,-0.0673955456738308,0,-0.0849206946205419,-0.119016585491743,0.0365046234662492,0,0,0.084708423476903,0.446944887087174,0.248386571101552,0.213205725412943,-0.0398604694087998,0,0,0,0,0,-1.10236225166719
LTC,0.096762377641532,0.362035065852757,-0.020736869197584,-0.0957370945663245,0,0,0.124181391401387,0,0.0534867227994629,-0.0684054654084988,0,0,0,0,0.108649047800262,0,0,0,0,-0.198146531761024
ADA,0,0.446001151595203,0.111452444579308,-0.0912558103554403,0,0,-0.00000000000000000173472347597681,0,0.132006376059038,0,-0.113404809984384,0.140387117508707,0.157761310514382,0.314454659187438,0.0511186630913812,0,0,0,0,0
MIOTA,0.398748447817775,0,-0.0204884718431415,-0.0287195780376182,0,-0.209508477151762,0,0,0,0.13193288203118,-0.00000000000000000173472347597681,0,0.105253346813738,0.416003733206705,0.475200463053013,0,0,0,0,0
DASH,0,0.0300611561730337,0,0.0811688228461244,0.249471249527938,0,0.0457898043963266,0,0,0.107261694286719,0,0.0400960951779696,0.122243146938203,0,0.00775848003597933,0,0,0,0,0
XEM,-0.058686790372272,0,0.0946609644724294,0,0,0.129845501053449,0,0.160371065986564,0,0,0.0668470571862883,0.0268001421898278,0.148734434628995,0.158354005473601,0,0,0,0,0,0
XMR,0.211097213262119,0,0,0,0.112874460172183,0.107244059522276,0.105833221671009,0.0121004663827839,-0.0293755766073208,0,0.0846782420331793,0.0329193774949256,0.290506026564964,0,0.0716794614462697,0,0,0,0,0
EOS,0,0.218993842680979,0,0,0.275134681535236,0,0,0.264032721948805,0.0657050038617505,0,0,0.105889196748969,0,0.146395171410589,0,0,0,0,0,0
BTG,0,0,0,0.30467178070878,0.303334874995431,0.0312623232701077,0,-0.184872587877524,0,0,-0.136766311586561,0,0.353192111399531,0,0.0952176880177597,0,0,0,0,0
NEO,0,0.34668196957545,0,0,0.231051034122348,0,0,0.10068937169178,0,0.0479377207918993,0,0,0,0,0.0666563538148847,0,0,0,0,0
XLM,0,0,0.0649056429946123,-0.0844621765594929,0,0.354654090739913,0.0851976094269979,0,0.034476457011009,0,0.0373362544734455,0,0.0765148284798981,0,0.0959223673235818,0,0,0,0,0
ETC,0,0.153102004802915,0,0.149227802663458,0.0327320142295975,0.11697908380784,0.0682675154291329,-0.191577151980948,0,0.273524151584974,0.123397882292614,0.153118650011686,0.109241996826473,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0142900019707319,-0.040363441269083,0,-0.0143353180614531,0.00265692805299331,0,0.0128710066822112,0.0334942484414484,0.0215904807908225,-0.00834427101509469,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0.0213105660248656,0.0480572318925984,-0.0416183427601387,-0.0615315063380079,-0.0235596365200245,0.0548488523849176,0.0376320643509369,0.0270045721113071,0.0115419720761205,-0.0221581509367968,0,-0.0120316183390676,0,0,0,0,0,0,0
DXY.INDEX,-0.0047324856821265,0,-0.00542823211678272,-0.00271761957812601,0,0,0,-0.00578059731955933,0.00586818713215879,0.00619837925231937,0.0017136165478008,-0.010042913472494,-0.00157298189173983,0,0.0062451860402489,0,-0.0876707775132362,0,0,0
SPX.INDEX,-0.00406241514620473,0.010784661507934,0,0.000307975211727638,0,0.00422719496085447,0,0,0.000961650234449008,-0.0011160211925338,0.00166260134516262,0,0.00158741358971091,-0.00413255544033923,0,0,0,0,0,-0.0283957695350432
VIX.INDEX,0.00000000000000000693889390390723,0,0.0470903383805415,-0.229708092968992,0,-0.0664504309891951,0.135477006441232,0,-0.0494259468865622,0,0.195600443197695,0.0146547856618291,-0.0186016883885955,-0.0686356969969013,0.0971638911387096,0,0,0,0,0
