,BTC,ETH,XRP,BCH,LTC,BSV,EOS,STO,BNB,XTZ,LEO,XLM,LINK,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0779256771097186,0,0,0,-0.000000000000000000867361737988404,0.236725747343134,0,0.0190385558330541,0.0314772364484809,0,0,0.100466767774893,0.0950000501680812,0,0,0,0,0,0
ETH,0,0,0,0.307711363218332,0,0,0.155174391572082,0,0,0.17229846569867,0,0,0.0779062593846889,0,0.244260694735437,0,0,0,0,0
XRP,0,0.178060978627176,0,0.108843625064748,0.131009077114086,0,0.0834908887625095,-0.0024776575337544,0.0227387810368322,0.0959544624063412,0,0,0,0.00574172321278398,0.0873625490643078,0,0,0,0,0.0110757563127939
BCH,0,0.206985428350098,0,0,0,0.252177449773896,0,0,0.211307676576805,0.0289112819090004,0,0,0.0258933859729293,0.0584988227907659,0.156608917719836,0,0,0,0,0
LTC,0,0.243626860239236,0,0.0427965651263774,0,0.0606683446373161,0.259797138798753,0,0,0,0,0,0,0.20829097666038,0.0427116741588534,0,0,0,0,0
BSV,0,0,0,0.656900685195255,0,0,0.535057415813709,0.019205127932839,0,0.324476420970414,0,-0.790361677729894,0,0,0,0,0.120100174858899,0,0,0
EOS,0,0.0338638612451172,0,0.177080174404399,0,0.119716218689769,0,0.0256833939045828,0.200650711361762,0,0,0,0,0.263663351192584,0.149033074275418,0,0,0,0,0
STO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.164523390364672,0,0.214084022032,0,0,0,0,0,0.164018861110519,0,0,0.0678652594804234,0,0.169278283854104,0,0,0,0,0
XTZ,0.0877725016967466,0.0983157077890399,0,0,0,-0.0267109306275111,0,0,0,0,0,0,0.501419908578404,0,0.327154285776271,0,0,0,0,0
LEO,-0.288824765361295,0,0,0,-0.183493035841842,-0.076112217235383,0.0432123662808823,-0.0190336911164295,0.0886468931478008,0,0,-0.142289320219956,0.059866938353908,0.421504172847773,-0.0493427334848278,-0.0190097381469134,-0.0229515828872669,0,0,0
XLM,0,0.038734674544447,0,0.281252656553656,0,0,0,-0.0000000000000000000135525271560688,0,0.0278526991310197,0,0,0,0,0.2143818826953,0,0,0,0,0
LINK,0,0,0,0.245479100270891,0,0.0237001449196994,0,-0.0049394194964607,0.146106577994571,0.258740892765574,0,0,0,0.0459064666303348,0,0,0,0,0,0
ADA,0,0.0760766318276537,0,0.0899722267427563,0.18752127325056,0,0.159936425925675,0,0.0660551637335193,0.0110070188382456,0,0,0.0874457859687955,0,0.241099666230092,0,0,0,0,0
TRX,0,0.145855038326914,0,0.238453396536634,0,0,0.181336633320856,0,0,0.0777046386687538,0,0,0,0.245123637957486,0,0,0,0,0,0
BV010082.INDEX,0,0.561398403281921,0,0,0.302300084881286,0.00585383295079122,-0.0507491927990275,0,-1.57998234567353,0,0,0,0.118163028015968,0,0.548567405532441,0,-0.0214121937326138,0,0,-0.114802201232619
CVIX.INDEX,0,-0.758340460272616,0.367228732219593,0,0.0952014684694333,0.0491316496037836,0,-0.0404853965137261,0,0,0,0,0,0.362225481400149,0,0.474971291454164,0,0,-1.26848561885135,0.164536199926713
DXY.INDEX,0,-0.0126818616638549,0,0,0,0.00216938440809292,0,0.0024179372152014,0,0,0,0,-0.0104945461256606,0,0.0127120576055854,0.0395547269987381,-0.0369406928237435,0,0,-0.00495091699155242
SPX.INDEX,0,0,0,-0.0150431298072398,0,0,0.0719555496956504,-0.00324972126890873,0,-0.0212433813879189,0,0,0,0,0,0.072119530606759,-0.126671945798404,0,0,-0.143688879937974
VIX.INDEX,0,0.184125172340312,0,-0.498273374721617,0,0.122757982458872,0.235712262858512,0.0305591672577095,0.165046159900714,0.0766837463367904,0,-0.359039012328961,0,0,0,-0.0959598813565694,-0.0600027740523124,0,-3.28176990439297,0
