,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.270651305227496,0.0279996515379776,0,-0.000000000000000000867361737988404,0.0844783411923766,0.079244882687636,0,0,0,0.0630665458491327,0.0191764561821752,0,0,0,0,0
ETH,0,0,0,0.0980981183560025,0.201759269445474,0,0.0244271875628379,0.0520661490712307,0.170191618526143,0.0611356450456429,0.0450439805943405,0.0882935423163862,0,0.0236477740670572,0.0138091379894664,0,0,0,0,0
BCH,0,0,0,0,0,-0.0708499921263551,0.0601717018269276,0,0.439601271236396,0.366576888469485,0,-0.120523375919734,-0.0127155910854813,0.102911740723887,0.0431226804942786,0,0.422596469521975,0,0,0
XRP,0,0.313409976087167,0,0,0,0.0905991009847646,0,0,0.222272570893023,0,0,0,0,0.0347166459714171,0.00000000000000000010842021724855,0,0,0,0,0
LTC,0.00974228515865481,0,0,0.234978470731047,0,0,0,0.320836115094645,0,0.471057474049535,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0189890482692102,0.0203647407126227,0.125671212584002,0,0,0.107536278406045,0,0.200619828491176,0.0655166950571305,0,0,0.0450097673090888,0.00549572717852199,0,0,0,0,0
NEO,0,0.610979129012501,0,0,0,0,0,0,0.187497124365056,0,0,0,0,0.18324936357284,0.188903602469169,0,0,0,0,-0.228548882500196
XEM,0,0,0,0,0.12856615147696,0,0.0852057121392245,0,0.270456921790935,0.212020111032815,0.0195754970370813,0.0656204778335598,0,0,0.134190065813984,0,0,0,0,0
XMR,0.282128250282598,0,0,0.161244197378902,0,0.0931653720450748,0.0989572788084407,0.0174083541551321,0,0.201224767242083,-0.0279943655280796,0.155729187046535,0,0.00000000000000000693889390390723,0,0,0,0,0,0
ETC,0,0.0744342440267162,0.0335286535469527,0,0.589815718997496,0,0,0.109582310086041,0,0,0.132593552067593,0,0,0,0.032873082852305,0,0,0,0,0
MIOTA,-0.226590410653241,0,0,0.0780455850380817,0,0,-0.210374951399636,0.451534784948068,0,0.0410471530669204,0,0.314311107090053,0.136543439983292,0.377543068007233,0.116477311998283,0,0,0,0,0
ZEC,0,0.231453030923085,0.0811706882880871,0,0,0.170200853735175,0,0.151059931233151,0.146366498317922,0,0.14673793453193,0,0,0.100395056995979,0.0490363342778046,0,0,0,0,0.0802393724522515
ADA,0.16426990307191,0,-0.274775178087596,0.366043143654921,-0.247637879130581,0,0.121147296961095,0.230467383512169,0,0,0.420674524944982,0.0777241262677977,0,-0.362556369803618,-0.224914754576952,0,0.913966839281749,0,0,-0.00000000000000000693889390390723
EOS,0,0.239197574517447,0.096550696084133,0,0,0,0.14752872353123,0,0,0,0.162670469480065,0.376170733146199,-0.10315704376536,0,0.0393870040902651,0,0,0,0,0
XLM,0,0,0.0367167148323471,0.175604006875154,-0.0000000000000000138777878078145,0,0.192009392548849,0,0,0,0.792062531224262,0,-0.156843329724358,-0.0498896736654289,0,0,0,0,0,0
BV010082.INDEX,0.0562916691585601,0.0520854490948246,-0.037252269534056,0,-0.02926064425268,-0.00632106223329635,0.0284190066162827,-0.0168823223581129,-0.108448275560507,0.0226695540949467,0,0,-0.0167668651225208,0.0363256879499325,0.00943945521386682,0,0,0,0,-0.0744110487299553
CVIX.INDEX,0,0,0.0939247346927357,0,-0.0039469508575451,-0.126223098324908,-0.0184136401487738,0.122927855348774,0,-0.0377439558763571,0,-0.0133157773248801,0.0415628610353913,-0.0411858708314869,0,0,0,0,0,0.0537222289964206
DXY.INDEX,0,0,0.00926705457864041,0,0,-0.0334950499145465,0.00682561664829381,0,-0.00160159072361348,0.00117641065760084,0.00737769330434509,0.0070201766654686,-0.00118714863320443,0,0.00185660387817856,0.0158845214365677,0,0,0,-0.0145284716748665
SPX.INDEX,0,0,-0.000735524135321007,0,0,-0.0000000000000000000542101086242752,0.00201155087827337,0.000275345374981679,0,0,0.00444099642510059,-0.0103217469319055,-0.00242918432971321,0,0.000594029061049416,0,0,0,0,-0.0355232290397355
VIX.INDEX,0,0,-0.0503533402962104,0,0,0,0,0,0,-0.0637366042749407,0.153286080467797,0.171572725210629,0.0666131895920355,-0.0937109410207284,0.0296141914118761,0,0.213103026390569,0,0,0
