,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0269201194957383,0,-0.162126745026538,0.221466731325891,0.26158149086539,0.0241779634644882,0.00274414094642582,0,0.0556828098729259,0.100064040729079,0.0321902804974458,0,-0.0750123835863333,0,0,0,0,0,0.130862567037472
ETH,0,0,0.0314302952634095,0,0,0,0.232347784824778,0,0.0895801294213023,0,0.0937248266048037,0.0618572297407174,0.0974281967709492,0,0.219020619888621,0,0,0,0,0.0662782688549424
XRP,0,0.209329947516639,0,-0.0422501637191238,0,0.19021865427007,0,0.2942601594987,0.0139421585314299,-0.0315327018591546,0,0.0306429729996315,-0.187818310733405,0.159719666645529,0.0644110738836293,0,0,0,0,-0.0387099732474095
BCH,-0.806548180579828,0,0.684388955180319,0,-0.231718304183673,0.785028088514841,0.642506482622569,0,-0.366830392306486,0,0.552860945519414,0.0752075783305559,0.394813556943094,-1.18981308770034,0,0,-1.85904950740157,0,0,-0.557858109028685
LTC,0.244065249715496,-0.0523631491383181,0,0,0,0,0.236975073550115,-0.13535298033039,-0.0207337881620549,0.125331936343339,0.0542160532814868,0,0,0.0412806116346503,0.188820326699653,0,0,0,0,0
XEM,0,0.0840350052188496,0.183798562519354,0,0,0,0,0,0,0.0390183852414018,0.214408128982974,0.0254149181310283,0,0.0991189087822655,0,0,0,0,0,0
ETC,0.0304098125570232,0.170878718481476,0,0,0.230901555427977,0,0,0.222832004119885,0.0836347260361848,-0.0368719096963159,0,0.0116921482327516,0,0,0,0,0,0,0,0
DASH,0.164610662603995,0.0799811106618058,0,-0.0190783567525185,0.0644599249838823,0.179655556225283,0.168938525929154,0,0.0285006887875958,0.0639397505329172,0.117760222343085,0,0,0,0,0,0,0,0,0.1417333486733
MIOTA,0.318350081264042,0,0.611426780598008,0,0,0,0,0.170431601268695,0,0.0524495353499482,0,0.0185114072683035,0.0768463882163247,0.236235432566184,-0.00000000000000000693889390390723,0,0,0,0,0
NEO,0,0.0421414469988458,0,0,0.105746259688469,0,0,0,0,0,0,0.035154403343071,0.420984707415534,0.150440386889023,0,0,0,0,0,0
XMR,0,0,0,0,0.0143924340644817,0.11956679032603,0,0.395859802597956,0.0542147628507892,0,0,0.0252484303035116,0,0.236580502957297,0.0787279416375561,0,0,0,0,0
EOS,0,0.13524371533069,0,0,0,0,0,0,0.0515622840206525,0.10070587567033,0,0,0.413377181145794,0,0,0,0,0,0,0
ZEC,0,0.148250975894507,0,0,0,0,0,0,0.156287057934545,0.0325174623256865,0.0783295550964057,0.0289966241743584,0,0.108167456728911,0.0720375032716486,0,0,0,0,0
XLM,0,0,0.237814703506206,0,0,0,0,0,0.098807429442318,0.0566248622347597,0.601412011158781,0.0812852329234308,0.129090615762496,0,0.0178234224589229,0,0,0,0,0
DOGE,0,0,0.406838942012484,0,0.0355998325349678,0.0557520223426183,0,0.0657798122429148,0.0483046724149741,0,0.187299083333708,-0.0415609948916269,0,0.0223482625621359,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00695637127756387,0,0,-0.0146591229072018,0,0.0125446710508729,-0.00660404575526888,0,0,0.043112089143568,-0.0251381651262515,0,0,0,0,0,0.0335214028392523
CVIX.INDEX,0,0.00725491151322102,0,-0.0120160617902501,-0.014761994315546,0,0.0394845115384039,-0.0436957611486621,0.0573097284485532,0,0,0.0241539839758981,-0.117283670391299,-0.0254002231622457,0.0264536445945415,0,0,0,0,0
DXY.INDEX,0.00351268311274399,0,0,-0.000165048471291753,0.00755835962583395,0,0,0,0.00615251630247177,-0.00297714140152326,0,0.000551149462374103,0,-0.00421033192139517,0,0,0,0,0,0
SPX.INDEX,0,0.00389056303838224,0,0,-0.000351206221462715,-0.00270624616663237,-0.00431168087387946,0,0.000601889106770281,-0.000332398961022569,0,0.00156210079691562,0.000426684723895809,0,0,0,0,0,0,-0.061224399786713
VIX.INDEX,0,0.145338017806345,-0.304055094986527,0,-0.0212908103101306,0.0534882381181527,0,0.133682680373113,0.000000000000000000433680868994202,-0.0750769179487071,0.142912421042347,0.0199058533964306,0,0,0,0,0,0,0,0
