,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.185482365103963,0.000000000000000000216840434497101,0,0,0.0138855643773905,0.0946921480744593,0.111374409423233,0,0,0.0867258084465535,0.0265753002674901,0,0,0,0,0,0
ETH,0,0,0.127869941815808,0.238466900512902,0.145828683396837,0,0.0301061410645433,0,0,0,0.142380497663935,0,0,0.0961995839999997,0,0,0,0,0,0
XRP,0,0.129325871987976,0,0.110066897171279,0.0889782873991083,0,0,0,0.127933281491511,0,0.0516279968031533,0,0,0.12652919538833,0.0321335466176004,0,0,0,0,0
BCH,0.116980589016274,0.524810464554402,0,0,0.0554526414536494,0,0,0.140659848260392,0,0,0,0.0477092455449928,0,0,0,0,0,0,0,-0.0471120829749923
LTC,0,0.305076610077247,0,0.275008631512616,0,0,0,0,0,0.0375948193403186,0,0.0605430675082726,0,0,0.24007541707416,0,0,0,0,0
EOS,0,0,0.045946591197149,0,0.0329512383068374,0,0,-0.0742963038312175,0,0,0.191919859152878,0,0,0.152574509396686,0.307219514963889,0,0,0,0,-0.0551787463716778
ADA,0,0.200869688136277,0.0633055714700661,0,0,0.138634534139396,0,0.583784314781007,0.0218548813737552,0,0.0481347954010718,0,0,0,0,0,0,0,0,-0.0333967064316014
XLM,0,0,0,0.14100581524171,0,0,0.220291661435897,0,0.161665065161993,0.202955793132082,0,0.0911365491665929,0.0519042435248108,0.109639337775851,0,0,0,0,0,-0.00975111613044118
NEO,0,0.177773793858747,-0.0323789984512739,0,0.0402585795918191,0,0.142743781699973,0.0207810375819966,0,0.0950631252939166,0.153472553315355,0,0,0.0327569309164366,0.177708637673461,0,0,0,0,0
MIOTA,0.0939103954595153,0,0.110249575942802,0,0,0.0787620011743628,0,0.0368652246868791,0.341062218970118,0,0.0471411350618815,0.0482917542720527,0.0849846420488544,0.0723907313378453,0.0472731922831634,0,0,0,0,0
XMR,0.54383441046353,0,0,0,0.197776132101651,0.00000000000000000346944695195361,0,0.166592331337273,0.0501057092078851,0.0836352467960623,0,0,0,-0.0614824388498208,0,0,0,0,0,0.0594146979845445
DASH,0,0,0,0,0,0,0.0641900691047389,0,0.199860725612491,0.134444994207706,0,0,0.112308160221177,0.0791877920545937,0.0628442430566618,0,0,0,0,0.049021701501917
TRX,0.432535344495248,0,0,0.279129515479746,-0.189224798244325,0.0354865841403514,-0.241220808424828,-0.451043718090401,0,0.322810462959131,0,0.782303120313445,0,0.0879949774840119,0,0,0,0,0,-0.00365820520856247
XEM,0,0.167094784004405,0,0,0,-0.0653597845214275,0.281365715804701,-0.00000000000000000693889390390723,0.440333352157257,0,0,0,0.131607887728263,0,0,0,0,0,0,0
ETC,0,0,0.123636621984406,0,0,0.214254637376587,0,0.000000000000000000867361737988404,0,0.317285825811728,0,0,0,0.13604775855519,0,0,0,0,0,-0.00566285563455875
BV010082.INDEX,0,0,0,0,0.02459944479025,0.0433677865804817,-0.0419902162788427,0.0423347811867558,0,0,-0.00424643096735057,0.0871440420539776,-0.0392702890115606,0,-0.0142719078092517,0,0.142082881719495,0,0,-0.0570952797980865
CVIX.INDEX,0,0,0,-0.0140076272786324,0,-0.0882082779785177,0.109668561313599,0,-0.0180414986853109,-0.0518135126162006,-0.0186625345139853,0.166534860191569,0.0420110425141615,-0.205081418350652,0,0,0,0,0,0
DXY.INDEX,0,0,0.0199806515949213,-0.0113817610269238,-0.00846206071477381,-0.00408306957945919,0,-0.0160637872521378,0,0,-0.0112764395422577,0.0246112670690731,-0.014963137013704,0,0.0179615713206719,0,0.0162698819700577,0,0,0.00851474617121985
SPX.INDEX,0,0,-0.0255926535575788,0,0,0,-0.0408953347468944,-0.00371071519243508,0.0471314891598148,0,0,0,-0.0351052408294008,0,0.0124342381727632,0,0,0,0,-0.0865831091874485
VIX.INDEX,0,-0.201229780017926,-0.115940647715125,0.133653284454373,0,0,0,-0.261783230457669,0.267168677283331,-0.119860375569582,0,0.0579895982974488,0.160057454709484,0.102937916030811,0,0,0,0,-4.36283167456698,0
