,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.205872492810363,0.102539205479011,0.0496544895685232,0.0440519490736295,0,0.075383930744725,0.0293267600707806,0,0.11964728004333,0.074020252669071,0,0,0,0,0,0,0
ETH,0,0,0,0,0.074771752185201,0.10972284263684,0.162334643007918,0.0677831880500522,0,0,0.316392355481059,0,0,0,0.0892395916328557,0,0,0,0,0
XRP,0,0,0,-0.0433330441570648,0,-0.0338152315725116,0.0395546225709088,0.251336716817771,0.159070970928622,0,0,0,0.184323152450471,0.403970452908199,0.0444925972606654,0,0,0,0,-0.0254508319269549
BCH,0,0,0,0,0,0.16808794319515,0,0,0.216868541381396,0,0,0.210018553963285,0.0196406925480099,0.0432693662036055,0.199100611971877,0,0,0,0,0
LTC,0,0,0.0779354246952087,0.14187754345236,0,0,0.0114640527028861,0,0,0.158046027089545,0,0.0269784669011251,0,0.0215189617909161,0.179409478749955,0,0,0,0,0
NEO,0,0.11389010213005,0.00059350313211075,0.111730930601467,0,0,0.141268864348012,0,0.0808170261426808,0,0,0.0389246517083983,0,0,0.276302957257881,0,0,0,0,0
ADA,0,0,0,0.0596893483849449,0,0.0266749810094473,0,0,0.0885701412927716,0.055250270770668,0,0.146057209160755,0,0.182703452437169,0.0576547852105647,0,0,0,0,0
XLM,0,0,0.408485781919566,0.0298673938287998,0,0.0429002511953324,0,0,0,0.0524379103444613,0,0,0,0.116629803500697,0.143574222921585,0,0,0,0,0
XMR,0,0,0.00684274236789898,0.00302145201019399,0.256778763482349,0.271138000907248,0.192712230980025,0.0224143896341777,0,0.0734772249732364,0,0.0704481242461582,0,0.023876057479224,0,0,0,0,0,0.0511266639064359
EOS,0,0,0.198114198265676,-0.000000000000000000867361737988404,0.0512209723343286,-0.204066485703046,0,0,0.319326175845367,0,0,0,0.00152589675689704,0.0241275239205281,0.514531611561682,0,0,0,0,-0.0284547193931972
DASH,0,0,0,0.121800262906813,0,0,0,0,0.126671785643439,0.0635571507833633,0,0.0203383917977835,0,0.173554694247029,0.160035497757017,0,0,0,0,0
MIOTA,0,0,0.151968455124274,0.267706858308448,0.0818485735397538,0,0,0,0.173747349551079,0.0303952930805507,0,0,0.129289910144071,0.00940097904147612,0,0,0,0,0,0
XEM,0,0,0,0,0.242794791673099,0.138671487437368,0.192443744808034,0.20467771798708,0,0.0397295322068557,0,0,0,0.120743335881327,0,0,0,0,0,0
TRX,0.248610980134983,-0.0427036134719773,0.277923497994489,0.378325817748909,0,-0.237253668046184,0.0103086809424507,0,0.10854103996288,0,0.0125466154008119,0,0.374919567649517,0,-0.0325427771975613,0,0,0,0,0.137201824241373
ETC,0,0,0.115271909767508,0.104861043425599,0,0.190334174941126,0,0.131234006624647,0,0.13332857461001,0,0,0.249460407796085,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00655773621441034,0.0251126797439853,0,-0.00236837597214468,-0.000670756085808863,0,0,0.0263655979238359,0,0,0,-0.0439760956249494,0,0,0,0,0,-0.0339418148684547
CVIX.INDEX,0,0,0,0,0.0669419142795733,0,0.0907243726293347,0,-0.0213098689388223,0.0235215719442397,0,-0.0957183617544077,0.0915922715933934,-0.0334721102521736,-0.094469027724069,0,0,0,0,0.0311745835642982
DXY.INDEX,0.0295710171026675,0.0202350143420635,0.0107112798671806,0,-0.00000000000000000010842021724855,-0.0162732301557789,0.0131545138230287,-0.00565167873885555,-0.0236093072984497,-0.0144989397720485,0,0,0,-0.0129306127093111,0,-0.0384109824231681,-0.0273802428622332,0,0,0.00934108793473734
SPX.INDEX,0,-0.0172086481674158,0,0,0,0.014726587605188,0,0,0,0,0,0,0.0141391822844936,-0.0159710434422208,-0.0119360593343435,0,0,0,0,-0.0599746444868259
VIX.INDEX,-0.171735011695704,0,-0.359602278264287,0,0,0.500307584719117,0,-0.00654608618756358,0,0,0,-0.421696075063403,0.112711528291776,0.471437089972233,0,-0.691975755439045,0,0,-2.34109756262786,0
