,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.149463774023094,0.122284003052298,0.0596640224180237,0,0,0.080623007470718,0.0434870414206045,0,0.0163432911483813,0.136313592629784,0,0.111187974480488,0,0,0,0,0
ETH,0,0,0.131692544924847,0.128730882845666,0.156271283888316,0,0.0630578364357884,0,0,0,0,0.0345577947543205,0.18460061836993,0.0163104035540932,0.0802507215433364,0,0,0,0,0
XRP,0,0.265257431968757,0,0,0.0901260696859853,0.0832883848194003,0,0.0580272917001946,0.0313528611848615,0,0.0390809305027899,0,0,0.078058224298322,0.0545012081243176,0,0,0,0,0
BCH,0.0408788522303975,0,0,0,0.178366426251885,0,0,0,0.28618556625567,0,0.00760544895940865,0.00150405824177944,0.120919556597578,0,0.25071138552803,0,0,0,0,-0.0543111542162062
LTC,0,0.368066299625994,0,0.183698650196566,0,0.0031781936176784,0,0.14382049708694,0,0.185029554218413,0,0,0,0.00531199183447916,0,0,0,0,0,0.0246985783763144
EOS,0,0,0.135078529100896,0,0.279709432293124,0,0,0,0.0823173646303722,0,0,0,0,0.205546096025922,0.0856205052951613,0,0,0,0,0.00298169320901279
ADA,0,0,0.145501719293041,0,0,0.181081484883767,0,0.583484551247879,0.0350786345203219,0,0.082087303622671,-0.0109335996496008,0,0,0,0,0,0,0,-0.0232904853947754
XLM,0,0,0.340342088912093,0,0,0,0.0292816018009978,0,0.18561035580807,0.0944341913878084,0.0467424172185781,0.0322778805904634,0,0.0935722160638698,0.136258933162832,0,0,0,0,-0.0233537374626209
NEO,0,0,0.00733074908834705,0.177046794967891,0,0.121069751778563,0.00000000000000000346944695195361,0.200682320591591,0,0,0.176623727616524,0,0,0.0526095296167593,0.03538406851688,0,0,0,0,0
MIOTA,0.156548882104017,0,0.0601609636734044,0,0,0,0,0,0.222312535812662,0,0.0338327493456467,0.118739974958005,0.0942284055663159,0.0642382391274939,0.0887375841692511,0,0,0,0,-0.00949281129931502
XMR,0.531614778622273,0,0,0.00000000000000000173472347597681,0.185105118011592,0,0.00354861457102242,0.0875418557813922,0.124886403181241,0.110428005145022,0,0,0,-0.0573179930404046,-0.000000000000000000867361737988404,0,0,0,0,0.0876128045323399
TRX,0,0,0,0.111872862601051,0,0.312190137447014,0,0,0,0.546659635887289,0,0,0,0,0,0,-0.158953527299206,0,0,0.0814751166079888
DASH,0.149525850669629,0.0783876495058422,0,0.0714731384188845,0,0,0.154748618215266,0,0.0497156882334274,0,0,0.187125344841034,0,0,0.074599482407341,0,0,0,0,0.0103009791829522
XEM,0,0.0106752715594652,0,0,0.0409493644456176,-0.112229911457987,0.38818763973094,0,0.319104715890581,0,0,0.180823428063275,0,0,0,0,0,0,0,0
BNB,0,0.349453309374653,0,0,0,0,0,0,0.29579226696146,0,0.120247378120369,0.045813589207786,0,0.109473238444066,0,0,0,0,0,0.0119267619248472
BV010082.INDEX,0,-0.0602785722720536,0,0,0.0183523086965671,0.0301467112346876,-0.00204125872155539,0.000000000000000000216840434497101,0,0,-0.0115218478370643,-0.0469841137083313,0.122158889526362,0,0.0234008739012165,0,0,0,0,-0.0507234353889093
CVIX.INDEX,0,0,0.030948534236653,-0.0623818876768942,0,-0.0243576408892599,0,0,0.135286313887121,0,0,0.0357082202220299,0,0,-0.201712178740798,0,0,0,0,0.0334108987590412
DXY.INDEX,0,0,0.0202967953219894,-0.00544120661044358,-0.0140222156296852,0.0091988061136471,0.0000000000000000000271050543121376,-0.00796731694655924,0,0.0118379039554604,-0.0185480051093659,-0.0149294224801035,0.0222312903885383,0,-0.00175504742599103,0,0,0,0,0.010074953262638
SPX.INDEX,0,0,-0.0236980563467022,0,0,0,-0.0402583870556662,0,0.0251493440899677,0,0.0130990281634716,-0.0360258544688178,0,0.0122741324090583,0,0,0,0,0,-0.0842525643353895
VIX.INDEX,0,-0.266628972376539,-0.0369945505535997,0,0,0.256983826793801,-0.0486243720250468,-0.0240362725515352,0,0.00000000000000000693889390390723,-0.149073966301016,0.149806652238543,0,-0.00000000000000000346944695195361,0,-0.708093842701632,0,0,-4.73884573718542,0
