,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0725735257841932,0,0,0.0397888214286707,0,0.0206583838895024,0,0.185981261750296,0.0881658386599471,0,0.0563634329865082,0,0.104621341192034,0,0,0,0,0,0
ETH,0,0,0.531217174378732,0,0,0,0,0.0939104034923919,0.09347415294075,0.076873628385658,0,0.0260798046696888,0,0.0940265043828241,0.0284611226434244,0,0,0,0,0
XRP,0,0.0542048564679133,0,0.0996688413717558,0.0983681910941411,0,0.136862159695599,0,0.0449738741804949,0.172302524209885,0,0,0,0.00926345217457231,0.125300935848237,0,0,0,0,0.0643439425059057
BCH,0,0.28107857466209,0,0,0.142657649515928,0,0.00937392505062442,0.184224335972343,0.0546144610091028,0,0.0430129666134953,0.0288771395222233,0,0.0451600535028816,0.069489909360664,0,0,0,0,-0.0158390026948792
EOS,0.674767567668734,0,0,0,0,0,-0.181740100466462,0.16283316637941,0,0.272483075751458,0.365874109758703,0,0,0.0763464442546093,0,0,0.308882402975129,0,0,0.067775590159053
LTC,0,0,0,0.418108443348843,0.0235854788102536,0,0,0,0.0172000673049185,0,0,0,0,0.0874050005398785,0.208885475037464,0,0,0,0,0
XLM,0,0,0,0.141066468408116,0.20242249807173,0,0,0.210742974873422,0.0931339667024813,0.0399935570666666,0,0.00108614322415476,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0601247959949404,0.111267169954304,0,0.315195228336525,0,0.0831777813392021,0.223902988078846,0.0000000000000000000542101086242752,0,0,0.0240977199816085,0.0933140245939019,0,0,0,0,0
MIOTA,0,0,0,0,0.00591814199167543,0,0.415268695302366,0,0,0.0287909202287728,0.752923886777981,0,0,0.0627413853422953,-0.127701523783962,0,0,0,0,0.0685613915898068
TRX,0,0.0826823056923262,0.19914411243326,0.416338156390134,0.0371163382984336,0,0.169172538904888,0,0,0,0,0,0,0.0752788452299804,0,0,0,0,0,0
NEO,0,0,0,0,0.025098553458376,0,0,0,0.295706547722211,0.101965247509131,0,0,0,0,0.448683226564322,0,0,0,0,0
XMR,0,0.426391359080034,0,0,0,0,0,0.120639551555458,0,0,0.226879910886848,0,0,0.0213099644236706,0.0747468706744138,0,0,0,0,0
DASH,0,0,0,0.168964855815239,0,0,0,0,0.00983368827974311,0,0.18123506341752,0,0,0,0.253409133843898,0,0,0,0,-0.0580418842187644
ETC,1.33151943464001,0.149438710159235,0,0,0,0,0,0,0.0754557902365457,0,0.0219590973934004,0,-0.156330769465978,0,0.0510498295804863,0,0,0,0,0
XEM,0,0,0,0,0,0,0.397155866021034,0,-0.032586759910791,0.198446089519771,0.243765819366814,0,0,0.0621355973018605,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.135581903836977,0,-0.0140210248025342,0,0,0,0,0.147719517096123,0,0.0101993724990985,0,0,0,0,0,-0.131210389671306
CVIX.INDEX,0,0,0,0,0,0.178895199904581,0,-0.158223664042638,-0.0706220874929891,0,0.162260243385695,0.223202232523265,-0.337213445472312,0.0933073806621344,0,0.070587810547848,0,0,0,0.10392386625664
DXY.INDEX,0,-0.00169227342182452,0,0,0.00352002766060771,0,0.0322383376880249,-0.0521137743103872,-0.0153839684386835,0.0245269680584896,-0.00466230161304294,0.0148365115681523,0,0.0261996287619334,-0.0205675104951053,0,0.0426087666464254,0,0,0.00741360398839685
SPX.INDEX,0,0,0,0.00846947230726083,0,0,0,0.00438408578188417,-0.0235549094922439,0,0,0,0,0.0112414882561743,0,0,0,0,0,-0.0564547357265558
VIX.INDEX,0,0,0,-0.113854248799254,-0.376227814464447,0,-0.126752701133501,0,-0.147360630869517,0.311438026041938,0.00000000000000000173472347597681,-0.121144402521255,0,-0.0826824815899206,0.570387132318207,0,0.553800465490377,0,-4.25766935552886,0
