,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ETC,ADA,TRX,XLM,XMR,DASH,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.158785446439227,0,0,0.15207484297722,0,0,0.0934641275798261,0,0,0,0.0152155745319564,0,0,0,0,0,0
ETH,0,0,0.269240676558235,0,0,0.187918668067578,0.140540033828632,0.0140685410275346,-0.0555521337122712,0.181223201068621,0,0,0.014207064433309,0.0339045360885695,0,0,0,0,0,0
XRP,0,0.372163643752284,0,0.0899299306219774,0.0124458998591242,0.0442323772125483,0,0,0,0,0.0937158769306013,0,0,0.0220332828699935,0,0,0,0,0,0
BCH,0,0,0,0,0.24071011068437,0.0336850678359594,0,0,0.149586113963439,0,0,0.162534704966567,0.305186008984935,0,0,0,0,0,0,0.0439044739406588
BSV,0.477786260164547,0,0.264621355557391,1.4360083721568,0,0,0.768224130024707,0,-0.445322878992688,0.189557891120781,0,-1.61033766984455,-0.392369023549204,0,0.0587408308479943,0.794441332767309,0,0,0,-0.0000000000000000138777878078145
LTC,0,0,0.180547096754145,0.0310419899705746,0.0231553875229882,0,0.519102341561019,0,0.0178958000821449,0.0431101914740401,0,0,0,0.0517228582018314,0,0,0,0,0,0
EOS,0,0.331557207153618,0,0,0.0534578166899574,0.403652123167554,0,0,0,0,0.124634238476081,0,0,0.0245122041041514,0.0625036626451088,0,0,0,0,0
BNB,0,0,0,0.0450059137884705,0,0.323625535503927,0,0,0,0.0561670007290918,0,0,0.122899907006071,0.105806483800963,0,0,0,0,0,0
ETC,-0.334006031735331,-0.195864824223037,-0.496012174284239,0.429853482586167,0,0,-0.0275682811973957,0,0,0.0892267478549588,0.294883100792306,0,0.505403727429088,0.359288912781737,0.122702563856492,0.54771281411469,0,0,0,0.143138113560035
ADA,0,0.405092095061111,0,0,0,0,0.159475471716414,0,0.0488045374134515,0,0.189620474487988,0,0.150441240053329,0.0110325745949753,0,0,0,0,0,0
TRX,0,0.292276025475601,0.315929645059621,0.0139284899326226,-0.000000000000000000216840434497101,0,0,0,0.106888988641216,0.244950390042351,0,0,0,0.0839214573279308,0,0,0,0,0,0
XLM,0.35719494289881,-0.0000000000000000138777878078145,0.299625857598753,0.166964494065753,-0.10028087132272,0,0,0,0,0,0.105868604535917,0,-0.0518288322285297,0.0765358131714385,0.0431421016671684,0,0,0,0,-0.0456177596932795
XMR,0,0.157030743593802,-0.00000000000000000346944695195361,0,-0.0747494453092289,0,0,0.541681888648901,0.000845742640293889,0,0,0,0,0.126771956910589,0.0512460823090841,0,0,0,0,0
DASH,0,0,0,0,0.196877607960085,0,0.408796930945594,0.22186711496496,0,0,0,0,0,0,0.0299192675546419,0,0,0,0,0.157147481882489
XTZ,0.46689854938711,0,0,0.00000000000000000346944695195361,-0.045284584049422,0,0.316835543470513,0,-0.0724383259825551,0,-0.159920900158578,0.332673068471617,0,0.100658475649294,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0332594605960131,-0.411202872653141,0.0749201248659622,0,-0.00375632797364403,0,0.294436483636536,0.0826483039720467,-0.0776675585944792,0.0128830555449441,-0.0156387784146366,0,-0.000000000000000000867361737988404,0,0,-0.108673193001209
CVIX.INDEX,0.158041243054304,0,-0.0404179503243705,0,0,0,0,0,-0.0938398620673844,0,0,-0.0926828316558431,0.303025685213171,-0.0375838978663035,0,0.0883063566965416,0,0,0,0.0360476512114629
DXY.INDEX,0.0365601089075809,0,0.000470289519589546,0.0128034392725775,-0.00243904476134224,-0.0259896639760374,0,-0.00870294238527461,0.0237005789378071,-0.0208769098963305,0,-0.000000000000000000433680868994202,0.0182377308288725,-0.00488162340401784,-0.00983457735342022,0.0385557371390135,-0.00975111542941926,0,0,-0.00266811396997567
SPX.INDEX,0,0,0,0.00395629866275355,0.00458394192664243,0,0.00240746620856941,0.0195355045740058,0,-0.0123669065507907,0,0.0100638148351288,-0.0121402519600143,0,0,0.0866299382670835,0.0355082361779317,0,0,-0.0606789444300111
VIX.INDEX,0,0,0,0,0.00411067731331034,0,0.0197313738449584,0,0,0,0,0,-0.237137007917429,0,-0.113525966645921,-0.17926348165037,0.385319529409883,0,-7.95326451488108,0
