,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.158080538615377,0,0.369292551169964,0.318804772134203,0,0,0,0,-0.0502508582403224,0.0450714089178848,0.0865480161947925,0,0,0,0,0
ETH,0,0,0.155609270105201,0,0,0.144118979630456,0.254683143638485,0,0.00494003821349354,0,0,0.0569920024916766,0.0747657407193548,0,0,0,0,0.135956233454327
DASH,0.421366022552245,0.123081921685982,0,0,0.00000000000000000346944695195361,0.363896361073165,0.26676283103197,-0.0167633494679399,0.156822834703929,0,0.139399499238123,0,0,0,0,0,0,0.0958235395877235
XRP,0.0838171385372344,0,0.02650346404921,0,0,0,-0.110746548023597,0.0450652520170227,0,0.557499127269028,0.0291269464924375,0.000000000000000000867361737988404,0.071254008941219,0.201333342284762,0,0,0,0.0596446202913858
LTC,0.532469949068945,0,0,0,0,0,0.0576376055011857,0.0769815638948938,0,0,0.165975283433128,0.0542165420743792,0,0,0,0,0,0.0648157681322916
XMR,0.538182791437833,0.857864097637352,0,-0.326900119190747,0.21051348276822,0,-0.0804995959525306,-0.0877255621205331,-0.269706006592203,0,0,-0.0289761024823439,-0.164629812059778,0,0,0,0,-0.0586638510894532
ETC,0.0497446269976069,0.332113243737571,0.255401466687132,0,0.280326725827085,0,0,-0.0791180237668131,0.0231957449257203,0,0.116674067440845,0.221875953683201,0.031830135583528,0,0,0,0,0
XEM,0,0.036522320668973,-0.029858466030622,0.0833191009627337,0.16648338658566,0.0383580346669392,0,0,0.213713985191994,-0.258372149326189,0,0.200015486999957,-0.152511014067641,0.538777238035687,0,0,0,0
ZEC,0,0.224246570344587,0.278242040589281,0,0,0,0.165707377131841,-0.104846124011617,0,0.231573112161965,0,0,0.0055025004103863,0,0,0,0,0.17401962133206
DOGE,0.019516886808957,0,0,0,0.195379625891316,0.0884897471567736,0,0,0.130696398519511,0,0.0622556769990673,0,0.0102794724880394,0,0,0,0,0
XLM,0,0,-0.0955940301916595,0,0.392626666383082,0.147904876375905,0,0,-0.10665313038464,0,0,0.0799844732119123,0.0632547046159364,-0.187419667579123,-0.0279248642499621,0,0,-0.0928508665212267
NEO,0,-0.510137198932475,0,-0.183011830780682,0,0,0.426471949689232,0.0736126446975014,0.119901406259818,0,0.0179128665883433,0,0.368160209634682,0,0,0,0,0
DGB,0.9790060608301,0,-0.245726533375801,0,-0.986655523893815,0,0.280824926224572,0.0375619508836569,0,0.0987348642562821,0,0.401583300232479,0,0,0,0,0,-0.122198592420088
BV010082.INDEX,-0.0977286647393961,0,0.0484265897659771,0,-0.00544334845659529,0.0375219447464858,-0.0215116707040577,-0.00211664551569861,0,0.183838038600519,0.0485101245741992,-0.0449116436787106,0,0,0,0,0,0
CVIX.INDEX,0.0387940855026647,0.201569237488512,0.0322757164651063,0.000000000000000000216840434497101,0.0762890989005773,0,0,-0.0748805736296998,-0.245608471747491,0.174808642078021,-0.0107262156740586,-0.0689399725121444,0.0281000086191867,0,0,0,0,0.221075322346754
DXY.INDEX,0,0,0.013236155809543,0,0.0127786178804074,0.0101858315522432,0,0,0,0,0,-0.0112512610298811,-0.00534675738012041,0.0791829002770397,0.0374968575743105,0,0,-0.00642782774073405
SPX.INDEX,0,0.0167067904860569,0.00556905961226172,-0.0107496463664335,-0.00271130544874346,0,-0.0145511613279468,0,0,0,0.00624010425169898,0,0.00324626882997802,0,-0.00945899160968905,0,0,-0.033770129524757
VIX.INDEX,0,0,0.104274930820233,0.0613771111218265,0.426720507450132,0,-0.526792782415946,-0.191841215771508,0,0,0.137621428547924,0.04885115410528,-0.101636527332226,0,0.308335730891482,0,0,0
