,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.228859789600465,0,-0.0340172014579129,0.0409896346461573,0,0,-0.000758206151063256,0.0069858669026049,0.00662551296023035,0,0,0,0,0,0
ETH,0,0,0.15349532250739,-0.00731330789808332,0.0978234463556461,0.0000000000000000000542101086242752,0.0867630905257878,0,0,0.0852153551159065,0.0265236044182403,-0.0619680723033139,-0.10681515338003,0.695214199801125,0,0,0,0.0513944913044663
XRP,0,-0.360713378996595,0,0,0,0,0,0.120810713820649,0,0.392438961994814,-0.0984997178373223,0,0,0,0,0,0,0.0438088513559639
LTC,0.497828268020281,-0.0502557629704548,0,0,0.0953602004823794,0,0,-0.00369527231726283,0.161436753155309,-0.013713798647439,0.0137102555741165,0,0.0517339332765807,0,0.0155185778420966,0,0,0.0307211059178005
ETC,0,0,0.100832444224142,0,0,0,0.0269032387933337,0,0,0,-0.0501897908592733,0,0,0,0,0,0,0
DASH,0,0,0.0289972547019898,0,0,0,0.105258022603939,0,0,0,-0.0629130616872264,-0.0645715765466634,0,0,0,0,0,0
XMR,0.406602820700026,0.7298445390914,-0.150305301576601,0.731408816806957,0,0.0732060810695654,0,-0.0812296255853674,-0.489533852458161,0.131736341177625,-0.197776177207651,0.0570551043080774,0,-1.11806812142364,0,0,0,-0.137232992274872
XEM,0,0.123575867648585,0.150122726252946,0,0.021377925517849,-0.201357862854637,0.186765003177029,0,0,-0.0449569648354283,0,-0.0907892838549041,-0.079046083194336,0,-0.806961110838722,0,0,0
DOGE,0,0,0.0818307888301236,0,0,0,-0.110062995636534,0.00564481502769097,0,-0.000000000000000000867361737988404,0.0361884087415131,-0.0150476276224465,0,-0.189274460812721,0,0,0,0.0119090058164806
XLM,0,0,0.549255793787909,0,0.104586704308185,0,0,-0.167036740335781,0,0,0.0329922548099512,0,0.122755475068797,0,0.441137612510798,0,0,0
NEO,0,0,0,0,0,-3.46838451592028,-0.264827230929318,0.213509840072376,1.6535472539787,0,0,0,0,0,0.157534206073718,0,0,-0.175314403643884
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,-0.455324106729126,0,0,-0.145807384624652,0.291886334458281,0.0843179982936489,0,0.392852814251556,0.0731894622402418,-0.00377725336826254,0,0,0,0.502512837881952,0,0,0.0632512372699508
BV010082.INDEX,0,0.0831307419848257,-0.0809326982481409,0,-0.118852349441156,0,0,0,-0.147613642155939,0.0665018212116216,0,0.0134084341901054,0.0329071020393116,0,0,0,0,0.000000000000000000433680868994202
CVIX.INDEX,-0.417764978842606,0.0102751194139487,0,0.309915650371207,0,0,0.0170784631678597,-0.0865592096653613,0,0.0834807788184918,0.00998127169356107,-0.00268371928716764,0.0218939967040114,0.0663829230619523,0,0,0,0.110542475862168
DXY.INDEX,0,0,0.0183371333754323,0,0.000605992345540114,0,0.00417827992444467,-0.0178542052395418,0,-0.0000057306489479259,-0.00215471574879493,0.0030058851700148,0,0.169095260619152,-0.0199378725134626,0,0,0.00451733600042437
SPX.INDEX,0,0,0.0115215947112971,0,0,0,-0.0208067852629058,0,0,-0.00870203856008412,-0.00775045380542076,-0.00417890461785235,0,0,0,0,0,-0.0725709514515365
VIX.INDEX,0,0.23266746301788,0.0789900762699625,0,0,-0.162247740135781,-0.326829676225995,0.0802579578217183,-0.224984617063509,-0.137684715247283,-0.063540765197621,-0.0665421720184859,0,0,0.801206884507134,0,-5.12384462799654,0
