,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0424125870289221,0.284896938791643,0.018954250840237,0.176313508650373,0,0.0828632694983211,0.0553227746844484,0.019366328537643,0.042219637161756,-0.132785600266236,0,0,0,0.00756556474384932
XRP,0,0,0,-0.0727931764683208,0.126053211636149,0.317741625038282,0.238333014314888,-0.354133826186407,0.0213418225703749,0.0237467682730012,0,0.605690127302581,-1.68323188817879,0,-0.304882414725546
LTC,0,-0.000000000000000000867361737988404,0,0.016308428664604,0,0.396210505625881,0.0933433301008388,0.200454011858048,0.0342025871155229,0.0642775693094536,0.0573209222750402,0,0,0,-0.0146592062283537
ETH,0,-0.0678168023197104,-0.642841653373298,0,0,0,0.324744093714765,0.428439516684247,-0.0280407877709094,-0.287451393374129,0,0,0,0,-0.195701867667432
DASH,0.761577974015741,0,0,-0.0861391187898864,0,0,0,0.0839258316313454,-0.00442793567990812,0,0,0.0388044968219038,0,0,0
DOGE,0,0.169974699537312,0.140804381700548,0,0,0,0.0285436288952255,0.187143191874146,0,-0.0373321218233795,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0,-0.0554694394078056,0,0,0,0,0,0.0492049228770161
XMR,1.87971304799869,-0.127388289850809,0.0901132310354915,0.120086247016704,0.14973806463964,0,0.0449727747414367,0,0.0267892806290523,-0.0760099298807834,0,0,0,0,0.0463427764236689
DGB,0,0,0,0,0,0,0.266053090477295,0,0,0.260609686144206,0,0,0,0,0
XEM,0,0,-0.32053144334656,-0.407418945440136,0,0,0.606945928435368,0,0.0814327844205118,0,0,0,0,0,0.0376212589242638
BV010082.INDEX,0,0,0,-0.0603474487914952,0,0,0,-0.0229885331488184,0,0.0681874528086822,0,0,0,0,0
CVIX.INDEX,0,0,0.087091860966846,-0.0511808042044002,0.116362537274322,0,-0.0585824778195984,0,0,0.0204397916999274,0,0,0,0,0.11253236659949
DXY.INDEX,0,-0.0324089492917809,0,0.00691747955463372,-0.0144882966766194,0,0,-0.00188059328778284,0,0.0206071855114945,0.0251256196074512,0,0,0,-0.0293816244203061
SPX.INDEX,0,-0.0359338216608609,0,-0.0349970063825958,0,0,-0.039537417645606,0,0,0,0,0,0,0,-0.116493596121034
VIX.INDEX,0,-0.389722801285519,0.370578466959862,0,-0.268480328649839,0.309481871431376,0,-0.116944039339258,-0.0990615641519313,-0.0550039378224765,0.0895507490019044,0.58925617653706,0,-3.40775717739944,0
