,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.0105722611998566,0,0.159648186360696,0,0,0,0,0.0621200692847298,0.357243504360437,0.114655944581091,0.0452322046139245,0,0,0,0,0,0
XRP,0,0,0.155017289899531,0.0447885104777398,0,0.0555274440886501,-0.01991174813057,0.207078524243266,0,0,0.0411309133462799,0,0.0464851730451225,0.0281651701526792,0.0577673412284835,0,0,0,0,0
ETH,0,0,0,0.112620001657511,0.0239036568429622,0.0489334975722531,0,0.0390682889298146,0,0,0,0.456401830070642,0.132776099355411,0.032244477225915,0,0,0,0,0,0
BCH,0,0,0,0,0.120482176015228,0.590546894930822,0,0,0,0.185213581599556,0,0,0.0946354766372707,0,0,0,0,0,0,0
EOS,0,0,0,0.00000000000000000173472347597681,0,0,0,0,0,0.567719197069074,0,0,0,0.200365596726613,0,0,0,0,0,0
XLM,0.0137098635927505,0.0429021151915674,0,0.134081108637057,0.0325626895286544,0,0,0,0,0.0438772295257189,0.0626756251189084,0.25310558107635,0.131758071302346,0,0,0,0,0,0,0
BSV,1.28486198795598,-1.90311916647941,0,0.519907734819422,0.0872072133103296,-0.265038433708371,0,-0.0480265054637002,0.456872364364103,0,0.388853235153748,0,0.430369455860739,0.138146076353159,-0.395742572760345,0,0,0,0,0.000000000000000000433680868994202
LTC,0,0,0,0.025828533121079,0.204196544846364,0,0.0204066144831192,0,0.0368626831295078,0,0.0958367498938582,0.204006803353316,0.010433666944897,0.100969803380194,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0.0142198840051655,0,0,0.334024937507806,0.197733846971265,0.174606760817639,0.057771662905988,0,0,0,0,0,0,0
ADA,0,0,0.0106880972697014,0.102372019657013,0.253415288103162,0.0353256980773902,0,0,0.282191698029116,0,0.129057122054579,0.112812953615512,0,0.0101500679768836,0,0,0,0,0,0
MIOTA,0,0,0,0.0781808935992644,0,0.287672436668097,0.065938682089195,0.189356212826817,0,0,0,0,0,0.0403506517239739,0.199367560787599,0,0,0,0,0
XMR,0.225206834674384,0,0.252219203825291,0.00265412550069671,0,0.0879578057491726,0.00319191306132844,0.133944953331216,0.0191722363092696,0.224903765103037,0.0196144633129643,0,0,0.0122282745132348,0,0,0,0,0,0
BNB,0,0,0,0,0.168072647206951,0,0.00712282749160103,0.391816261536011,0.106948299043677,0.25510628419507,-0.0313146946430982,0,0,0,0,0,0,0,0,0
DASH,0,0,0.377396296893925,0,0.0434239423922027,0.140789716381671,-0.00636769675324318,0.105529810003043,-0.279525037219024,0,0,0.460158912870087,0.151854947904612,0,0,0,0,0,0,0
XEM,0,0,0,0.113125956384616,0,0.414194136421871,0.0125429300077721,0.041809852866529,0.00855630520310724,0,0,0.0815976164023176,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.0964225031370105,-0.152980949878545,0,-0.0326370841267593,0,-0.115232830446563,0.00580334440464019,0.115669606294669,0,0,0.0382072604908822,0,0.116190280092521,0,0.0812496326091499,0,0,0,0,-0.0843838657881165
CVIX.INDEX,0,-0.137394374968035,0,0.0593399159572028,-0.033972491540975,0.146645683600231,0.0187427234668782,-0.0961374839792598,0,0,0.095341533374652,-0.109992663399741,-0.0718645197009894,-0.0126495909944773,0.0816607136113063,0,0,0,0,0.0826083912504307
DXY.INDEX,0,0,0,0,-0.00140183865179311,0,0.00603945651405549,0,-0.0300523031749678,0,0,0,0.00353755379653217,0.0102287971378338,0.00720666885386192,0.0475913885180515,0,0,0,0.00807021601442363
SPX.INDEX,-0.0358716143116034,0,-0.0262460321605315,-0.00755532620247367,0,0,0.0154145293078066,0,0,0,0,0,0,-0.0195100483865017,0.0485102963476895,0.108483604931636,0,0,0,-0.127779003299179
VIX.INDEX,-0.0518139508270867,0.389283254232739,-0.2519821010132,0.0189082997734117,0,0,-0.0715749795060346,0.115954454737741,0.203728217355245,0,0,-0.366584977005929,0,0,0.231276104415744,0,1.47040097493565,0,-3.96026003635497,0
