,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,INNBCL,TAGZ5,LEO,XMR,XLM,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0747766698025604,0,0.0420857502661121,0.0499435907875238,0,0.155460949989159,0,0.106552472116051,0,0,0,0,0,0.140273502452689,0,0,0,0,0
ETH,0,0,0,0.355380888336258,0.0208241175932068,0.19883573886636,0.0275594170642233,0.0489375133737443,0.170399356764346,0.00235569159497613,0,0,0.0751648270789376,0,0.0807202000365396,0,0,0,0,0
XRP,0,0.207447125375816,0,0.0986929605996944,0,0.146700963753483,0.116571831580855,0,0.12977856367353,-0.00062431830404414,0.0244287286245578,0,0,0,0,0,0,0,0,0.00845108287031779
BCH,0.246820060022604,0.265838476998044,0.0491781034739407,0,0.192825412659064,0.114287793550196,0.0761287556534629,0.0667601688707989,0.0361983335314903,-0.000314902283271839,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.507919460104619,0,0,0.377997629878582,0.256254919811107,0.00000000000000000173472347597681,-0.0026942820861852,-0.0561477169245094,0.185103156379377,0,0,0,0.0544232038916602,0.111839775947728,0,0,-0.0357933426825552
LTC,0,0.274051011864043,0,0.110233628153729,0,0,0.35541030239603,0,0.0331038442991683,0.0000000000000000000067762635780344,0,0,0,0,0.0260066785544924,0,0.0144641667679361,0,0,0
EOS,0,0,0.103473402620244,0.237632227098639,0.240084556084807,0.260823505742886,0,0.0980877781653929,0,0.00255162860252322,0,0,0,0,0,0,0,0,0,0
BNB,0,0.141173782048634,0,0.330896070850888,0,0,0,0,0.134073187713048,0,0,0,0.20428100340929,0,0.0181377724437168,0,0,0,0,0
XTZ,0,0.108951376021742,0,0.127272219962155,0.190151707390604,0,0,0.0791558239190839,0,-0.00131236289904494,0,0,0,0,0.461455099461555,0,0,0,0,0
INNBCL,0,21.4046837726864,0,0,-1.46367747846312,0,-1.45361042607474,0,0,0,-2.77151011625586,0,-22.5160924889591,0,0.363962517013486,0,-1.80062425960688,0,0,-2.05301757552855
TAGZ5,0,0.344295815817663,0,0.3078228658379,0,0,0,0,0,-0.0038290067784182,0,0,0,0,0,0,0,0,0,0.0661991348820001
LEO,0,0,-0.0610547854874132,0,0.112814714382918,-0.122774513974001,0,0.0962674154182755,0.121984902504172,0,-0.0478966777137171,0,-0.0892169685759087,0,0,-0.00000000000000000693889390390723,-0.0128520662566012,0,0,-0.0445511036868064
XMR,0.0678181642415603,0,0,0,0,0.136561662516147,0.379585933964939,0,0.100532178096614,-0.00284686872158335,0,0,0,0.215046441684571,0.0603284638325745,0,-0.065043350919572,0,0,0.0156541286070967
XLM,0,0,0,0.260763417635293,0.106762487505971,0,0,0.130839431100868,0,0.00161071014898776,0,0,0.191190615641994,0,0.0173076025196986,0,0,0,0,0
LINK,0.242368679104928,0.0000000000000000138777878078145,0,0,0.178947804402725,0,0,0.21535769777129,0.406482836256936,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.341610725980128,0.657119676444786,0,0,0.155703833107332,0,-1.22747383609804,0,-0.0159140109186918,0.175107768202281,0,0,0,0,0,0,0,0.711237732042302,0
CVIX.INDEX,0,0,0,0,0.085893394035703,0.34626142756803,0,0,0.221006502147681,0,-0.491421164525638,0,-0.589695060936454,0,0.285936273234388,0.342881918760778,0,0,-0.302044192799955,0.258571582408428
DXY.INDEX,0,0,-0.0188207133355382,0,0.0115994195987674,0,0,0,0,0.0000000000000000000008470329472543,0,0,0,0,0,0.105820791735122,-0.00928310346267292,0,-0.0297163000990448,0
SPX.INDEX,0,0.0810330723979484,0,0,-0.129705548996788,0,0,0,0.0535387081701809,-0.00225451776540777,0.000000000000000000433680868994202,0,0,0,0,0.143014391527109,-0.0567650909537828,0,0,-0.207602225094346
VIX.INDEX,0,0,0,-0.389234892476888,-0.0176573827239535,0,0,0.102249370046483,0.504301628170352,0.008159168528877,0.319864997911765,0,-0.288044462333857,0,-0.272772608681715,0,0,0,-2.01614307146725,0
