,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,ATOM,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0302125634914036,0,0.279393473428626,0.0129289793747381,0.0650152213311671,-0.0220847870682196,-0.0526379256529471,0,-0.0607406003292535,0.520135466457792,0,-0.0604708958848177,0,0,0,0,0,0.104541214532771
ETH,0.0646219088154992,0,0.174329725767614,0,0.247995857476879,0,0,0,0.00000000000000000010842021724855,0.175049675781003,0,0.107291014040493,0,0,0,0,0,0,0,0
XRP,0.227942948402563,0,0,0.11800509232078,0,0.121826216992294,0,0.0246532021582696,0,0,0.15299718618714,0.163355850730077,0,0,0.0700372232155562,0,0,0,0,0.0129385524262462
LTC,0,0,0,0,0.0841725100520851,0.130185144690668,0,0.00475487088329399,0,0.139609003489095,0.0521249200556746,0.292668719394287,0,0,0,0,0,0,0,0.0385719035147786
BCH,0.724902219506101,0,0,0.113019952397657,0,0,0,0.0343175081023376,0,0.145880290917348,0,0,0,0,0,0,-0.0394081926169071,0,0,-0.0301137470227159
EOS,0,0.115083354381432,0,0.0446253482384459,0.452448373667217,0,0,-0.00368122787873111,0.103189764061888,0,0,0,0,0,0.14797554828504,0.537803048296745,0,0,0,0
BNB,-0.594052010376108,0,0,0,0.339034945685834,-0.068179515395895,0,0,0,0.123314604153444,0,0,0.287634256148423,0.0712586372890302,0.192043531094527,0.0216832953880998,0,0,0,-0.0744872069878562
BSV,0.311372043824227,-0.00918324095735096,-0.000544722250262336,0,0.199811090410809,0,0,0,-0.371995853374227,0,0.238154848371855,0,0,0,0.225976746628511,0.0928726735192286,-0.448047837076229,0,0,0.153077390543709
XLM,0,0.0331430954943085,0.395839784548604,0,0,0.00401292765963267,0,0,0,0.232982045123245,0,0,0.0555321398892216,0.029066351894929,0,0,0,0,0,0
ADA,0,0.16879358033141,0.193892384689875,0.206194924588522,0.114865383627806,0,0,0,0.104580886300777,0,0.158232852087101,0,0.00000000000000000346944695195361,0.0160874944269884,0,0,0,0,0,0
TRX,0,0,0,0,0,0.320451774542288,0,-0.0373253740172708,0,0.306841499479634,0,0.155873442526138,0,0,0.108659861402094,0,0,0,0,0.180817090040289
XMR,0.254246215701879,0,0,0.0838034166998117,0,0,0.0950505086177358,0.0110052537949431,0,0.335978470672338,0,0,0.0187023537788233,0.0204738813926176,0,0,0,0,0,0
DASH,0,0.147877296357354,0,0,0.236719341282596,0,0,0,0,0.105045260419141,0,0.0896640011088569,0,0.109703504404189,0.112856828054581,0,0,0,0,0.0145207308290212
ATOM,-0.350955386282584,-0.408253563092763,0.216626311063762,0,0,0.416388689377167,0.353700268876173,0.0848147791440976,0.739517930723553,-0.350543081350948,0.20194314489976,0.596747913801146,0.112994740699087,0,-0.597466704102134,0,0,0,0,0
MIOTA,0,-0.0845501226277885,0,0,0,0.177310687799972,0.191826386349946,0.0456714250431084,0.0595122429898806,0.0000000000000000138777878078145,0,0.520629550208258,0,-0.0259552492674527,0,0,0,0,0,-0.038283990968171
BV010082.INDEX,0,0,0,-0.0669431619151402,0,0.0766561025040401,0.0333652712119889,0,0,0,-0.187573447643257,0,0.0695829142474966,0.122274115598421,0.223918775686775,0,0,0,0,-0.0814605457419708
CVIX.INDEX,0,0,0.0751612039030928,0,-0.0270109534172333,0,0.0429389575612861,-0.0119406593355545,0,-0.339017822540445,0.23035525327189,0,0.0877086738836736,0,0,0,0,0,0,0.0576858620858021
DXY.INDEX,0,0.0109605735350033,-0.000000000000000000433680868994202,-0.0224786009147188,0,0.0297745290958753,0,0.000501601259317725,0,0,-0.0147487795520945,-0.00645644507954439,0,0,-0.00000000000000000010842021724855,0.0422048632809693,0,0,0,0.0108504102918563
SPX.INDEX,0,0,0,0,0,0,0,-0.00274494351335286,0,-0.00877787684615238,-0.0279792000295917,0,0,-0.0110797476673523,0.00291309161397215,0.0109647087108504,0,0,0,-0.0645812232364399
VIX.INDEX,0,-0.525966892682758,0.316262245478502,0,-0.432596790060671,0.0379364380191097,0,0.0443682032416977,-0.2743162979392,0,0,-0.333954924743622,0.999512716622566,0.0134153154104106,0,-0.601900822978617,0.414973380693394,0,-3.08177455715148,0
