,BTC,ETH,BCH,XRP,LTC,MIOTA,XEM,DASH,NEO,XMR,ETC,ZEC,EOS,BNB,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0402293028330314,0.0174977362958551,0.186172055038557,0.129034047603681,0,0.24887640000111,0.0275360227079064,0.0377683295193646,0,-0.0993817274459117,0.0467938569818858,0.0656791024325591,0,0,0,0,0,0.0676451633530177
ETH,0,0,0,0.166334218472878,0,0.00345882832034977,0.0406484297214498,0.0188922043985553,0,0,0.33463512084174,0.308468413716182,0.0554132535925059,0.0414605139064528,0,0,0,0,0,0
BCH,0,0,0,0,-0.320595947959008,-0.397869379781929,0.737183615694807,0,-0.140520304140123,0.210425656774781,0,0.815256880306426,0.0630326473731575,0.180023179541327,-0.948693037662685,0,0,0,0,-0.479284728233262
XRP,0,0.328461965658871,0.0155360237506441,0,0,0,0.0864401357112384,0,0,0.0632217379381094,0.095384110557236,0,0.025560561140744,0.0376922092774018,0.12016880047137,0,0,0,0,-0.0478979075993608
LTC,0,0,0,0.0914361329430834,0,0.0734600691964384,0,0,0,0.0308090708336839,0.132808304068235,0,0.0548655017086456,0.0372589063129556,0.0237275344598226,0,0,0,0,0
MIOTA,0.346141424515156,0,-0.0768804336256087,0,0,0,0.139941791431427,0.305231893688644,-0.00000000000000000693889390390723,0,0,0.329747323785648,0.00354936743869901,0.0643837502533649,0.16162640297673,0,0,0,0,-0.0530344182666303
XEM,0.158188470120264,0.0182289741888765,0.144746559166459,0.0849628660570963,-0.0932684262331877,0,0,0,0.219019419717693,0,0,0,0.126596021407228,-0.0875364544144154,0.150786260916711,0,0,0,0,0.134319341423937
DASH,0,0.0969048287364306,0.0374144117086614,0,0,0.00388077928467396,0.105416519774536,0,0.103139304518459,0,0.0859991397720551,0.171591490463782,0.0589785951819455,0,0,0,0,0,0,0
NEO,0.121606430518615,0,-0.00886006699719367,0,0,0.139918496745301,0.204747856036711,0,0,0,0,0.275955452366405,0.0447285222023017,-0.0793126820187056,0.0562148357056229,0,0,0,0,-0.110980151156005
XMR,0.0878535306463371,-0.0000000000000000138777878078145,0.0522052624275268,0.219309089339001,0.0964180306779738,0.00789354478720885,0,0.224185702766235,0.0460765901229313,0,0,0.0208908711516572,0.036255779649397,-0.0317634980178771,0.171093939574339,0,0,0,0,0
ETC,0,0.296900828507744,0.00793871546137703,0,0.251285777261048,0.0377773468096445,0,0,0,0.118566838152432,0,0,0.000387397875224575,0,0,0,0,0,0,0
ZEC,0,0.188983409453472,0,0,0,0.173806738516096,0,0,0,0.0612453633428364,0,0,0.0464304524617625,-0.00191483059398651,0.130707488192293,0,0,0,0,0
EOS,0,0,0,0,-0.260317031677315,0,0,0,0.144988310651008,0,0.588922770557449,0.426637782582309,0,0.0670111084704939,0.150015949734375,0,0,0,0,0.0751805969747666
BNB,0,0,-0.0455934930637614,0.205404043773466,0.297482543964409,0.138578906933936,0,-0.59942599176622,0.0311886553863844,0,0,0,0.0479402725181956,0,-0.0325997479502737,0,0,0,0,0.431678599270931
XLM,0,0.264194049221452,0,0.153562798739761,0,0.144742816274139,0.156053542157168,0,0,0.275686805661032,0,0,0.0907152056440043,0,0,0,0,0,0,0
BV010082.INDEX,-0.0643060882793779,0,-0.0101537261377024,0,0.0278094596378399,0,0.0521077961640188,0.0349302845326811,-0.0187760689697676,0.0169340523666053,-0.0000100000239704068,0.00435532047742635,0,0.000000000000000000216840434497101,-0.0399780657260655,0,0,0,0,-0.0171922366512523
CVIX.INDEX,0.0296506607745477,0,0.0100504448162001,0.0294379821362832,0,0.0263837611696,0,0,0.0160352160227939,0.0610850081112342,0,-0.0938079362870245,0.0184239145375905,0,-0.0689690976179309,-0.12338025981665,0,0,0,0.0571098236981982
DXY.INDEX,0,0,-0.00126439153634195,0,0,0.00662119595982678,0,0,-0.00459484418442811,0.00446198312301228,0,0,0.00404732907094532,0.00422539783244197,-0.00488135997176011,0,0,0,0,-0.00113843399879157
SPX.INDEX,0,0,0,0,0,0.00138673844218036,0,-0.01268549158873,0,-0.00320402668715259,0,0,0.00229172124534335,0.00127394072855754,0,0,0,0,0,-0.0515253028480961
VIX.INDEX,0,0.133493026516941,-0.0326833012258904,-0.0782987938575409,-0.274630321227248,-0.0407244020347941,0.262024703150125,-0.171584857663778,-0.142111492767249,0.164782000359059,0,0,0.0573636034525337,0.175204463638678,0,0,0,0,0,0
