,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.147423655502731,0.0139986273739452,0.0589123743187506,0.0390196222139705,0.086000366447305,0.0185657266659595,0.0379099929467425,0,0,0,0,0.0354445980090044,0,0,0,0,0,0,0
ETH,0,0,0,0,0.325204822670085,0.211976737545642,0,0.00844424078082751,0.0598362780817625,0,0.039344771172075,0,0.0266238624571471,0,0,0,0,0,0,0
XRP,0,0.0142799488758249,0,0.0836122594208368,0.149524575247112,0.103693228490461,0,0.128808412931781,0.0704534592694542,0,0,0,0,0,0.028286086479664,0,0,0,0,0
LTC,0,0.0949274998611429,0,0,0.240395764458925,0,0.0268123957820094,0,0.180720111894256,0.234606526497924,0,0,0.249618005090315,0,0,0,0,0,0,0
EOS,0,0.280623573460663,-0.101478834611912,0.203528151625175,0,0.18265241811874,0.0487697770970511,0,0,0,-0.056098486648462,0.086440279533768,0.119879341414778,0.241281298702077,0.158014264525923,0,0,0,0,0
BCH,0,0.339543710480797,0,0,0.161903303368094,0,0,0.0899216737620946,0.144175205389744,0,0.207496394939477,0,0.0494125946884433,0,0,0,0,0,0,0.00604204562671008
BNB,0,0,-0.327830720181341,0.435570141826909,0.0419566063987436,0,0,0,0,0.416615710810625,0,0.153939738426437,0,0,0,0,0,0,0,-0.0719127260407682
XLM,0,0.0433396642863348,0,0.0000000000000000277555756156289,0,0.32841463389966,0.0474931705660623,0,0,0,0,0,0.129709724009122,0.0944469817283264,0,0,0,0,0,-0.000558075024190612
ADA,0,0,0,0.230158825860716,0.120059064005639,0.230592460801022,0,0,0,0.0209009253291071,0,0,0.198790640045077,0,0,0,0,0,0,0
TRX,0,0,0,-0.021948588633376,0.0977737322564515,0.15248652376797,-0.0622292577468718,0.256358988904086,0,0,0.238165038339054,0,0,0,0.0642668972570739,0.390059829337976,0.233827115838494,0,0,0.107682002823546
BSV,0,0.177101325033072,0,0,0,0.246160122319765,0,0,0,0.150237674309055,0,0,0.159090959586669,0.0705826407770936,0.111040376796489,0,0,0,0,0
XMR,0,0,0,0,0,0.187614506001112,0.00908352905009325,0.181420541505327,0.109427080275528,0,0,0,0,0,0.0674308767433646,0,0,0,0,-0.0327345414123924
MIOTA,0,0.321263221033052,0,0.0478648113722811,0,0.00290582986311224,0,0.0647989077892336,0.158751809475609,0,0.116900889089226,0,0,0.0223506511035705,0.00000000000000000346944695195361,0,-0.0668175438932292,0,0,-0.0125491365903418
DASH,0,0.192804314283403,0,0.0154753175463147,0.00256239834461491,0,0.0554791924889354,0.162403760020828,0.195623103233746,0,0,0,0,0,0,0,0,0,0,0
MKR,0,0,-0.492299774535373,0,0.373611127890609,0,0,0,0,-0.135823034707196,0.596063305681082,0.175725200100779,0,0,0,0,0,0,0,-0.0130450698377134
BV010082.INDEX,0,0,0.183875922462354,0,0,0,0.0568899305452866,0.0457930917021172,-0.0835443867816229,0,0,0,-0.257774657275806,0.0276058736430324,0.05889393648215,0,0,0,0,-0.0448889609276892
CVIX.INDEX,0,0,0.350300056653257,0,0.0656878258861234,-0.32389495998053,0.0270791610142393,0.0242851031654914,0,0,-0.0381045164870888,0,0,-0.140256407687926,0,0,0,0,0,-0.142400616572577
DXY.INDEX,0,0,0,0,0,0,0.00726702916145492,0,0,0,0.0119778186086002,0.0314856920672413,-0.0342338825152692,0.0131002714791937,0.00434038858986738,0,0,0,0,0.0165213263680304
SPX.INDEX,0,0,0,-0.0192561352488404,0.0189658086325407,0,0.00842589606486848,0,-0.025658066743657,0,0,0.0136972776093632,0,0,0.00805225237323981,0,-0.00720704215398275,0,0,-0.0739439725395438
VIX.INDEX,-1.20166286284057,0,0,-0.104559082677034,0,0.309390657859152,0.104907609684794,0,0,0,0,0,0.339872703039361,-0.240141397478098,0.0733786441560518,-0.237408951291206,0,0,-4.24738395864117,0
